模型角色,样本范围,参数,估计值,标准误,Wald95%下限,Wald95%上限,优化器,收敛标志,警告,推断可用标志,诊断说明,赤池信息准则（AIC）,贝叶斯信息准则（BIC）,对数似然,孕妇数,事件数
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,Intercept,-2.885904894659948,0.032948904578706,-2.950483560964259,-2.821326228355637,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,孕周中心,0.0315823332803912,0.0049741067263742,0.0218332632414393,0.0413314033193431,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,I(孕周中心 ** 2),0.0050823231687264,0.0008277571658307,0.0034599489357531,0.0067046974016997,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,妇间BMI中心,-0.0330269040717111,0.0086982706975854,-0.0500752013667587,-0.0159786067766634,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,BMI个体内偏差,-0.012842393972846,0.0207070388922071,-0.0534274444280422,0.02774265648235,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,年龄中心,-0.0167455507655948,0.0079789085621615,-0.0323839241833697,-0.0011071773478199,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683前,生产次数中心,0.188630644769497,0.0506931379687519,0.0892739200874232,0.2879873694515709,lbfgs,1,The MLE may be on the boundary of the parameter space.,1,数值诊断未触发硬失败；仍按敏感性解释,626.7206280029964,675.3226422982947,-302.3603140014982,167,613
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,Intercept,-2.31968167303466,0.0241693396770387,-2.3670527083317703,-2.272310637737549,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,孕周中心,-0.000666836842965,0.0022339732943839,-0.0050453440423819,0.0037116703564517,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,I(孕周中心 ** 2),-0.0006419545490348,0.0001840389654555,-0.0010026642930797,-0.0002812448049899,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
第一问混合模型敏感性；全样本分段GEE另作主模型,序号683后,妇间BMI中心,-0.0101313693104982,0.0055992774629216,-0.0211057514772715,0.0008430128562749,powell,1,"Maximum Likelihood optimization failed to converge. Check mle_retvals；MixedLM optimization failed, trying a different optimizer may help.；Gradient optimization failed, |grad| = 61.899412；The MLE may be on the boundary of the parameter space.；The Hessian matrix at the estimated parameter values is not positive definite.",0,Hessian/梯度诊断未通过，系数和Wald区间不得作有效推断,-1569.2861189144603,-1525.407543328672,795.6430594572302,100,399
