模型角色,参数,估计值,稳健标准误,Wald95%下限,Wald95%上限,P值,P值说明,孕妇数,事件数,相关结构,收敛标志,警告
第一问全样本主模型,Intercept,-2.8781482418539768,0.03475405898798548,-2.946264945787009,-2.8100315379209446,,小于双精度浮点最小正数（数值下溢），不报告为精确0,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,孕周中心,0.03225472321018586,0.0047833333472163285,0.022879562123592434,0.04162988429677929,1.5499151591286434e-11,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,I(孕周中心 ** 2),0.0049304156513358035,0.0008514236863431302,0.0032616558905189407,0.006599175412152667,7.00561818973359e-09,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,妇间BMI中心,-0.03215229098323802,0.010049487935364112,-0.051848925399621465,-0.012455656566854573,0.0013771588860368856,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,BMI个体内偏差,-0.01307783508825997,0.022526561330003646,-0.05722908399059982,0.031073413814079874,0.5615425847133114,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,年龄中心,-0.013947022767804922,0.006523138411162623,-0.026732139119853497,-0.0011619064157563485,0.03250986530524566,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,生产次数中心,0.10106345137176848,0.03698071750150595,0.02858257694636676,0.1735443257971702,0.0062785324796340745,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,后段标志,0.576711968983949,0.04702492456371915,0.48454481046334663,0.6688791275045515,1.41409795293464e-34,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,后段标志:孕周中心,-0.02914652582629147,0.005994169361591894,-0.04089488189224503,-0.01739816976033791,1.159243697816802e-06,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,后段标志:I(孕周中心 ** 2),-0.006967905977727842,0.001084402908965103,-0.009093296624029912,-0.0048425153314257735,1.3137694586330651e-10,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,后段标志:妇间BMI中心,-0.023365115918737075,0.015491826503062826,-0.0537285379194833,0.006998306082009152,0.1314976793925413,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
第一问全样本主模型,后段标志:BMI个体内偏差,0.30825578428633277,0.0326620579563166,0.24423932703099233,0.3722722415416732,3.8093136012835565e-21,,267,1012,可交换相关；孕妇聚类稳健协方差,1,
