分析批次（683断点口径）,分箱左边界（天）,分箱右边界（天）,记录数（条）,批次总记录数（条）,有效日期孕周差记录数（条）,日期孕周差缺失记录数（条）
683前,-195.0,-188.45,1,682,670,12
683前,-188.45,-181.9,0,682,670,12
683前,-181.9,-175.35,0,682,670,12
683前,-175.35,-168.8,0,682,670,12
683前,-168.8,-162.25,0,682,670,12
683前,-162.25,-155.7,0,682,670,12
683前,-155.7,-149.15,0,682,670,12
683前,-149.15,-142.6,0,682,670,12
683前,-142.6,-136.05,0,682,670,12
683前,-136.05,-129.5,0,682,670,12
683前,-129.5,-122.95,0,682,670,12
683前,-122.95,-116.4,0,682,670,12
683前,-116.4,-109.85000000000001,0,682,670,12
683前,-109.85000000000001,-103.3,0,682,670,12
683前,-103.3,-96.75,0,682,670,12
683前,-96.75,-90.2,0,682,670,12
683前,-90.2,-83.65,1,682,670,12
683前,-83.65,-77.10000000000001,0,682,670,12
683前,-77.10000000000001,-70.55,0,682,670,12
683前,-70.55,-64.0,0,682,670,12
683前,-64.0,-57.45000000000002,0,682,670,12
683前,-57.45000000000002,-50.900000000000006,0,682,670,12
683前,-50.900000000000006,-44.349999999999994,0,682,670,12
683前,-44.349999999999994,-37.80000000000001,0,682,670,12
683前,-37.80000000000001,-31.25,0,682,670,12
683前,-31.25,-24.700000000000017,0,682,670,12
683前,-24.700000000000017,-18.150000000000006,0,682,670,12
683前,-18.150000000000006,-11.599999999999994,2,682,670,12
683前,-11.599999999999994,-5.050000000000011,2,682,670,12
683前,-5.050000000000011,1.5,27,682,670,12
683前,1.5,8.049999999999983,530,682,670,12
683前,8.049999999999983,14.599999999999994,76,682,670,12
683前,14.599999999999994,21.150000000000006,18,682,670,12
683前,21.150000000000006,27.69999999999999,5,682,670,12
683前,27.69999999999999,34.25,4,682,670,12
683前,34.25,40.79999999999998,1,682,670,12
683前,40.79999999999998,47.349999999999994,2,682,670,12
683前,47.349999999999994,53.900000000000006,0,682,670,12
683前,53.900000000000006,60.44999999999999,0,682,670,12
683前,60.44999999999999,67.0,1,682,670,12
683后,-0.5,0.5,400,400,400,0
