检验块,完整模型,简化模型,似然比统计量,自由度,预期自由度,P值,显著性结论_0.05
线性模型_孕周块,临床调整线性模型（随机截距）,删去线性模型_孕周块,123.271512091,1,1,1.21614576951e-28,显著
线性模型_BMI总体块,临床调整线性模型（随机截距）,删去线性模型_BMI总体块,13.5148769159,2,2,0.00116220239459,显著
线性模型_妇间BMI项,临床调整线性模型（随机截距）,删去线性模型_妇间BMI项,13.5135521417,1,1,0.000236846795324,显著
线性模型_BMI个体内项,临床调整线性模型（随机截距）,删去线性模型_BMI个体内项,0.000506523667354,1,1,0.982044261552,不显著
线性模型_临床调整块,临床调整线性模型（随机截距）,删去线性模型_临床调整块,14.893912284,2,2,0.000583214134189,显著
孕周二次模型_孕周总体块,孕周二次模型（随机截距）,删去孕周二次模型_孕周总体块,151.32582198,2,2,1.38043280757e-33,显著
孕周二次模型_BMI总体块,孕周二次模型（随机截距）,删去孕周二次模型_BMI总体块,14.2378943782,2,2,0.000809618677974,显著
孕周二次模型_妇间BMI项,孕周二次模型（随机截距）,删去孕周二次模型_妇间BMI项,13.8151123714,1,1,0.000201707261177,显著
孕周二次模型_BMI个体内项,孕周二次模型（随机截距）,删去孕周二次模型_BMI个体内项,0.445789955438,1,1,0.504341047723,不显著
孕周二次模型_临床调整块,孕周二次模型（随机截距）,删去孕周二次模型_临床调整块,14.9765204071,2,2,0.000559615731491,显著
完整低阶模型_孕周总体块,低阶曲率交互模型（随机截距）,删去完整低阶模型_孕周总体块,152.56243097,3,3,7.37856822216e-33,显著
完整低阶模型_BMI总体块,低阶曲率交互模型（随机截距）,删去完整低阶模型_BMI总体块,17.58647961,4,4,0.00148617812188,显著
完整低阶模型_妇间BMI块,低阶曲率交互模型（随机截距）,删去完整低阶模型_妇间BMI块,17.1636976033,3,3,0.00065401332401,显著
完整低阶模型_BMI个体内项,低阶曲率交互模型（随机截距）,删去完整低阶模型_BMI个体内项,0.689509391469,1,1,0.406331304993,不显著
完整低阶模型_临床调整块,低阶曲率交互模型（随机截距）,删去完整低阶模型_临床调整块,14.4347162963,2,2,0.000733738288463,显著
孕周二次项增量块,孕周二次模型（随机截距）,临床调整线性模型（随机截距）,28.0543098893,1,1,1.17958117565e-07,显著
妇间BMI二次项与孕周-BMI交互增量块,低阶曲率交互模型（随机截距）,孕周二次模型（随机截距）,3.34858523189,2,2,0.187440725176,不显著
