自助序号,收敛标志,孕周效应_百分点,妇间BMI效应_百分点,BMI个体内效应_百分点,警告或异常
1,1,0.356747493049,-0.153084708251,-0.0487923440328,The MLE may be on the boundary of the parameter space.
2,1,0.372286760583,-0.24524024943,-0.10364992863,The MLE may be on the boundary of the parameter space.
3,1,0.394063582222,-0.195450511969,-0.0971705162347,The MLE may be on the boundary of the parameter space.
4,1,0.297945412241,-0.267919102835,-0.121378605405,The MLE may be on the boundary of the parameter space.
5,1,0.301595184971,-0.261874510817,0.0796826872279,The MLE may be on the boundary of the parameter space.
6,1,0.33840573589,-0.213891358848,-0.153790507925,The MLE may be on the boundary of the parameter space.
7,1,0.390394816143,-0.234678362953,-0.408613007984,The MLE may be on the boundary of the parameter space.
8,1,0.282554164299,-0.249028840433,0.0447034371984,The MLE may be on the boundary of the parameter space.
9,1,0.417609291467,-0.133339975282,-0.448394093957,The MLE may be on the boundary of the parameter space.
10,1,0.358465698245,-0.20964166688,-0.0678666168518,The MLE may be on the boundary of the parameter space.
11,1,0.39546399652,-0.0419444685088,-0.119599072364,The MLE may be on the boundary of the parameter space.
12,1,0.406150040711,-0.231700758675,-0.185930719538,The MLE may be on the boundary of the parameter space.
13,1,0.382835499377,-0.146241962699,-0.262674776173,The MLE may be on the boundary of the parameter space.
14,1,0.333578945419,-0.167931069187,-0.104962318309,The MLE may be on the boundary of the parameter space.
15,1,0.360114164447,-0.202027773593,-0.0550208405094,The MLE may be on the boundary of the parameter space.
16,1,0.430571466372,-0.0721350152659,-0.0917686772822,The MLE may be on the boundary of the parameter space.
17,1,0.291811285443,-0.18213094646,-0.155400269928,The MLE may be on the boundary of the parameter space.
18,1,0.348630098835,-0.217481483009,0.0594441465737,The MLE may be on the boundary of the parameter space.
19,1,0.311085225442,-0.291946862276,-0.0696610474831,The MLE may be on the boundary of the parameter space.
20,1,0.38630841906,-0.157189019608,-0.00908326976075,The MLE may be on the boundary of the parameter space.
21,1,0.32761807389,-0.299254060203,-0.00522806325406,The MLE may be on the boundary of the parameter space.
22,1,0.353109966214,-0.20894264288,-0.116164047639,The MLE may be on the boundary of the parameter space.
23,1,0.372046174884,-0.229610608099,-0.13817803194,The MLE may be on the boundary of the parameter space.
24,1,0.379553171134,-0.194168003489,-0.12307568299,The MLE may be on the boundary of the parameter space.
25,1,0.378308096085,-0.110608559459,-0.2189611154,The MLE may be on the boundary of the parameter space.
26,1,0.374729615284,-0.335994510477,-0.0429109037271,The MLE may be on the boundary of the parameter space.
27,1,0.403463046547,-0.171967568858,-0.0593946114304,The MLE may be on the boundary of the parameter space.
28,1,0.387323178558,-0.141505478067,-0.203952635749,The MLE may be on the boundary of the parameter space.
29,1,0.378279671379,-0.20459569836,-0.23762001972,The MLE may be on the boundary of the parameter space.
