删去孕妇,被删事件数,收敛标志,孕周效应_百分点,妇间BMI效应_百分点,BMI个体内效应_百分点,孕周效应变化_百分点,妇间BMI效应变化_百分点,BMI个体内效应变化_百分点,孕周系数变化_主模型标准误,妇间BMI系数变化_主模型标准误,BMI个体内系数变化_主模型标准误,最大标准化系数变化,最大相对变化,任一核心效应方向翻转标志,警告或异常
A163,4,1,0.369522345036,-0.184603383832,-0.184119648784,0.0113560709488,0.00641486722229,-0.108817814579,0.290741525597,0.144033900361,-0.903057730423,0.903057730423,1.44508849923,0,The MLE may be on the boundary of the parameter space.
A052,4,1,0.351500118448,-0.21822027101,-0.0615629042416,-0.00666615563911,-0.0272020199561,0.0137389299626,-0.110813110314,-0.558608341855,0.112046333117,0.558608341855,0.182451464931,0,The MLE may be on the boundary of the parameter space.
A160,4,1,0.357566691244,-0.216942486873,-0.0721122216031,-0.000599582843689,-0.0259242358182,0.0031896126011,-0.0223713951702,-0.505571037738,0.0281201011039,0.505571037738,0.135716014963,0,The MLE may be on the boundary of the parameter space.
A102,4,1,0.364067593878,-0.193744638731,-0.131096133059,0.00590131979046,-0.0027263876771,-0.0557942988548,0.143168787177,-0.0541382226478,-0.464609905556,0.464609905556,0.740942095826,0,The MLE may be on the boundary of the parameter space.
A074,2,1,0.357501288396,-0.170267533488,-0.0694565473913,-0.000664985690876,0.0207507175667,0.00584528681291,-0.065166112294,0.423021366282,0.0501691519912,0.423021366282,0.108632119979,0,The MLE may be on the boundary of the parameter space.
A046,4,1,0.355062325484,-0.177006653704,-0.0755081032224,-0.00310394860339,0.01401159735,-0.000206269018227,-0.0391094627097,0.256019775594,-0.0057900748407,0.256019775594,0.0733521392469,0,The MLE may be on the boundary of the parameter space.
A124,4,1,0.348800653451,-0.192281343445,-0.064727606631,-0.00936562063623,-0.0012630923906,0.0105742275732,-0.243313174502,-0.0259955167566,0.0875145463722,0.243313174502,0.140424568471,0,The MLE may be on the boundary of the parameter space.
A144,3,1,0.353214423415,-0.191449107512,-0.0573044414529,-0.00495185067216,-0.000430856457586,0.0179973927513,-0.211164717143,-0.00938805426774,0.148960761587,0.211164717143,0.239003378091,0,The MLE may be on the boundary of the parameter space.
A026,4,1,0.352586087979,-0.20169300068,-0.0589534796387,-0.00558018610855,-0.0106747496259,0.0163483545655,-0.187345420992,-0.206605183962,0.136184980733,0.206605183962,0.217104334021,0,The MLE may be on the boundary of the parameter space.
A082,4,1,0.358188782517,-0.189469236288,-0.0503164687574,2.25084298436e-05,0.00154901476662,0.0249853654468,0.0487551664549,0.0208741932333,0.205729285159,0.205729285159,0.331802879848,0,The MLE may be on the boundary of the parameter space.
A042,4,1,0.361986702507,-0.181717648913,-0.0750226844033,0.00382042841963,0.00930060214117,0.000279149800898,0.0774066247102,0.199584041719,0.0047773653001,0.199584041719,0.0486895995007,0,The MLE may be on the boundary of the parameter space.
A010,4,1,0.362377194779,-0.184394322245,-0.0985842549307,0.00421092069206,0.00662392880894,-0.0232824207265,0.0868876947137,0.153474088271,-0.188626276936,0.188626276936,0.309187962983,0,The MLE may be on the boundary of the parameter space.
A088,2,1,0.362602672454,-0.192873659964,-0.0940749252233,0.00443639836716,-0.00185540890916,-0.0187730910191,0.187431127854,-0.0307194643409,-0.154639706603,0.187431127854,0.249304564988,0,The MLE may be on the boundary of the parameter space.
A053,4,1,0.354932437008,-0.18235423433,-0.0658126438436,-0.00323383707946,0.00866401672426,0.00948919036059,-0.111974089811,0.185196711904,0.0805344436103,0.185196711904,0.126015394723,0,The MLE may be on the boundary of the parameter space.
A103,4,1,0.358391102967,-0.190494833692,-0.0573367992547,0.000224828879231,0.000523417361882,0.0179650349495,0.0192824977306,0.00673866672727,0.148330811131,0.148330811131,0.238573670075,0,The MLE may be on the boundary of the parameter space.
A101,4,1,0.3623717616,-0.188481704682,-0.0784908356328,0.00420548751309,0.00253654637277,-0.00318900142862,0.146050987831,0.0574601172623,-0.025257742301,0.146050987831,0.0423495850044,0,The MLE may be on the boundary of the parameter space.
A151,4,1,0.357455926997,-0.182996817438,-0.0705417370139,-0.000710347090453,0.00802143361682,0.00476009719029,0.0421139451982,0.144350592699,0.0369897234761,0.144350592699,0.0632135623334,0,The MLE may be on the boundary of the parameter space.
A112,4,1,0.353300718001,-0.198291722241,-0.0660401676256,-0.00486555608618,-0.00727347118663,0.00926166657857,-0.0558799806934,-0.14270788893,0.0770824411858,0.14270788893,0.122993904152,0,The MLE may be on the boundary of the parameter space.
