模型,效应,变化单位,Y浓度变化估计（百分点）,聚类稳健标准误（百分点）,95%置信区间下限（百分点）,95%置信区间上限（百分点）,P值
Beta回归-孕周变精度-二次孕周,孕周平均,每增加1周,0.33287823835529945,0.03293057191184851,0.2683343174080764,0.3974221593025225,5.066088513978724e-24
Beta回归-孕周变精度-二次孕周,妇间BMI,孕妇平均BMI每增加1 kg/m²,-0.15998491717945845,0.05714079253710171,-0.2719808705521778,-0.04798896380673909,0.0051128383540172614
Beta回归-孕周变精度-二次孕周,个体内BMI,同一孕妇BMI相对本人均值每增加1 kg/m²,-0.09833195536391583,0.13633172146263317,-0.3655421294306768,0.16887821870284514,0.4707435254579432
Beta回归-孕周变精度-二次孕周,孕周局部@12周,在指定孕周附近每增加1周,-0.0612946902264665,0.05991086923345901,-0.17871999392404614,0.05613061347111315,0.3062615145762928
Beta回归-孕周变精度-二次孕周,孕周局部@16周,在指定孕周附近每增加1周,0.14504745629770577,0.030439996928797446,0.08538506231726278,0.20470985027814878,1.8882685334831773e-06
Beta回归-孕周变精度-二次孕周,孕周局部@20周,在指定孕周附近每增加1周,0.4133469418689166,0.03655426004615526,0.3417005921784523,0.48499329155938087,1.2011161633653081e-29
Beta回归-孕周变精度-二次孕周,孕周局部@24周,在指定孕周附近每增加1周,0.8672434816058209,0.11137477732594797,0.6489489180469629,1.085538045164679,6.877466325674642e-15
分数logit GEE-二次孕周,孕周平均,每增加1周,0.3405159364648623,0.03151183195635892,0.2787527458303988,0.4022791270993258,3.225270489835009e-27
分数logit GEE-二次孕周,妇间BMI,孕妇平均BMI每增加1 kg/m²,-0.15299135343906003,0.07205240263437442,-0.2942140626024339,-0.011768644275686165,0.03372583035094414
分数logit GEE-二次孕周,个体内BMI,同一孕妇BMI相对本人均值每增加1 kg/m²,-0.16465337269740876,0.13595074620376554,-0.43111683525678923,0.1018100898619717,0.22584743027944343
分数logit GEE-二次孕周,孕周局部@12周,在指定孕周附近每增加1周,-0.06908353710528858,0.057742220069565024,-0.18225828844163602,0.04409121423105888,0.2315354687839296
分数logit GEE-二次孕周,孕周局部@16周,在指定孕周附近每增加1周,0.14481518665395599,0.02913197792798578,0.08771650991510387,0.20191386339280812,6.660698256900755e-07
分数logit GEE-二次孕周,孕周局部@20周,在指定孕周附近每增加1周,0.4235461622837293,0.03442842038701299,0.35606645832518385,0.49102586624227473,8.811338107915038e-35
分数logit GEE-二次孕周,孕周局部@24周,在指定孕周附近每增加1周,0.9018808520712774,0.10784377084357549,0.6905070612178695,1.1132546429246855,6.12230867216774e-17
高斯GEE-二次孕周,孕周平均,每增加1周,0.31620953335251034,0.027971986390666663,0.2613844400268037,0.371034626678217,1.246513891871303e-29
高斯GEE-二次孕周,妇间BMI,孕妇平均BMI每增加1 kg/m²,-0.16714371982544446,0.06063129476390415,-0.2859810575626966,-0.04830638208819234,0.005838368386516558
高斯GEE-二次孕周,个体内BMI,同一孕妇BMI相对本人均值每增加1 kg/m²,-0.21119960609238836,0.1306768162194518,-0.46732616588251386,0.04492695369773714,0.10605151591567728
高斯GEE-二次孕周,孕周局部@12周,在指定孕周附近每增加1周,-0.14124276656655568,0.0639454716603671,-0.2665758910208752,-0.015909642112236166,0.027188545520121815
高斯GEE-二次孕周,孕周局部@16周,在指定孕周附近每增加1周,0.16243974265064998,0.03091478446751817,0.10184676509431434,0.22303272020698559,1.484791244982083e-07
高斯GEE-二次孕周,孕周局部@20周,在指定孕周附近每增加1周,0.4661222518678554,0.039091587714143027,0.38950273994813506,0.5427417637875757,8.890253694413487e-33
高斯GEE-二次孕周,孕周局部@24周,在指定孕周附近每增加1周,0.769804761085061,0.07619913608358869,0.6204544543612271,0.9191550678088949,5.382999857956953e-24
