模型,收敛,警告,绝对标准化残差与拟合值Spearman相关,相关检验P值,按拟合值四分位Brown-Forsythe统计量,Brown-Forsythe检验P值,交换型工作相关系数,原尺度预测越界数,诊断项目,聚类稳健标准误/独立样本标准误
Beta回归-孕周变精度-二次孕周,是,,0.031041939973166607,0.44297537675577936,0.5616249756879886,0.6405127162708621,,0.0,,
分数logit GEE-二次孕周,是,,0.1056698654402114,0.008838024649759175,3.30899263807796,0.019839699027404713,0.6007758272190742,0.0,,
高斯GEE-二次孕周,是,,0.23803252244460443,2.4112447828954877e-09,10.211168383561239,1.4398871288771222e-06,0.5910305912442543,0.0,,
Beta回归-孕周变精度-二次孕周,,,,,,,,,截距标准误稳健化比值,1.2642366298005223
Beta回归-孕周变精度-二次孕周,,,,,,,,,孕周中心化标准误稳健化比值,0.8175364726473725
Beta回归-孕周变精度-二次孕周,,,,,,,,,孕周二次项标准误稳健化比值,0.6898351989225385
Beta回归-孕周变精度-二次孕周,,,,,,,,,妇间BMI中心化标准误稳健化比值,1.6701118994625843
Beta回归-孕周变精度-二次孕周,,,,,,,,,BMI个体内偏差标准误稳健化比值,0.7995998794390412
Beta回归-孕周变精度-二次孕周,,,,,,,,,年龄中心化标准误稳健化比值,1.7461348057868762
Beta回归-孕周变精度-二次孕周,,,,,,,,,生产次数中心化标准误稳健化比值,1.4407663303016158
