变量块,变量,方差膨胀因子VIF
主均值方程,孕周中心化,1.3820587382306135
主均值方程,孕周二次项,1.0227200462053085
主均值方程,妇间BMI中心化,1.0053693862186586
主均值方程,BMI个体内偏差,1.4027101196789644
主均值方程,年龄中心化,1.0652837273438416
主均值方程,生产次数中心化,1.0639382034630016
质量敏感性方程,孕周中心化,1.4365193098475577
质量敏感性方程,孕周二次项,1.0620372122857946
质量敏感性方程,妇间BMI中心化,1.0119817573104914
质量敏感性方程,BMI个体内偏差,1.4125012928031035
质量敏感性方程,年龄中心化,1.0781815957760132
质量敏感性方程,生产次数中心化,1.1201020881556545
质量敏感性方程,GC含量标准化,1.0309977649855229
质量敏感性方程,读段数对数标准化,1.1836991639269367
质量敏感性方程,比对比例标准化,1.2622443062058968
质量敏感性方程,重复读段比例标准化,1.167764954273299
质量敏感性方程,过滤读段比例标准化,1.3516912961093317
