结果类型,项目,自助中位数,95%分位区间下限,95%分位区间上限,符号检验近似P值,成功重复数
链接尺度参数,BMI个体内偏差,-0.016108444631439713,-0.08104832608319909,0.01729157100050762,0.37924151696606784,500
链接尺度参数,妇间BMI中心化,-0.025419888343197857,-0.04435415868155397,-0.010612861721590344,0.011976047904191617,500
链接尺度参数,孕周中心化,0.0456699043720249,0.03738660008582172,0.053367469663758514,0.003992015968063872,500
链接尺度参数,孕周二次项,0.004824500889241625,0.0031137397610953663,0.00631546320537576,0.003992015968063872,500
链接尺度参数,年龄中心化,-0.016539836248555817,-0.034325224448918855,0.0002879889812997461,0.059880239520958084,500
链接尺度参数,截距,-2.719039649279466,-2.7823651196436097,-2.642785584646177,0.003992015968063872,500
链接尺度参数,生产次数中心化,0.1660129497429902,0.07584231135512291,0.246791925281741,0.003992015968063872,500
原尺度边际效应（百分点）,个体内BMI,-0.10143490273105091,-0.5267951146266675,0.10860910529307936,0.37924151696606784,500
原尺度边际效应（百分点）,妇间BMI,-0.16168800267651587,-0.2871950172169043,-0.06849581574520802,0.011976047904191617,500
原尺度边际效应（百分点）,孕周平均,0.3347125971942403,0.26695626856074695,0.3983924091180847,0.003992015968063872,500
