自助重复,结果类型,项目,数值
1,原尺度边际效应（百分点）,个体内BMI,-0.0569562335655082
1,原尺度边际效应（百分点）,妇间BMI,-0.187950363593998
1,原尺度边际效应（百分点）,孕周平均,0.37478655445283493
1,链接尺度参数,BMI个体内偏差,-0.008602183313851892
1,链接尺度参数,妇间BMI中心化,-0.02838641848887607
1,链接尺度参数,孕周中心化,0.04890627248267991
1,链接尺度参数,孕周二次项,0.004870842904349823
1,链接尺度参数,年龄中心化,-0.01585273588645105
1,链接尺度参数,截距,-2.6766585774563
1,链接尺度参数,生产次数中心化,0.17334452728547378
2,原尺度边际效应（百分点）,个体内BMI,-0.2300214278822554
2,原尺度边际效应（百分点）,妇间BMI,-0.24426050663769552
2,原尺度边际效应（百分点）,孕周平均,0.35751299756854704
2,链接尺度参数,BMI个体内偏差,-0.03499168036315308
2,链接尺度参数,妇间BMI中心化,-0.03715777983076951
2,链接尺度参数,孕周中心化,0.046689617317068416
2,链接尺度参数,孕周二次项,0.005341779296808628
2,链接尺度参数,年龄中心化,-0.027370683729080893
2,链接尺度参数,截距,-2.696724292290844
2,链接尺度参数,生产次数中心化,0.208494810895129
3,原尺度边际效应（百分点）,个体内BMI,-0.07338716697481626
3,原尺度边际效应（百分点）,妇间BMI,-0.11794312309362417
3,原尺度边际效应（百分点）,孕周平均,0.26741012666232283
3,链接尺度参数,BMI个体内偏差,-0.011746631798685256
3,链接尺度参数,妇间BMI中心化,-0.01887842925784619
3,链接尺度参数,孕周中心化,0.03654280801889185
3,链接尺度参数,孕周二次项,0.005163545661146053
3,链接尺度参数,年龄中心化,-0.017021554854403962
3,链接尺度参数,截距,-2.741349985394231
3,链接尺度参数,生产次数中心化,0.16303580580981852
4,原尺度边际效应（百分点）,个体内BMI,0.09006077922146502
4,原尺度边际效应（百分点）,妇间BMI,-0.0666468886589429
4,原尺度边际效应（百分点）,孕周平均,0.321497248770224
4,链接尺度参数,BMI个体内偏差,0.014430295890578114
4,链接尺度参数,妇间BMI中心化,-0.010678725321374323
4,链接尺度参数,孕周中心化,0.044984495648245054
4,链接尺度参数,孕周二次项,0.004240114186509637
4,链接尺度参数,年龄中心化,-0.03067774403027384
4,链接尺度参数,截距,-2.7367331202551686
4,链接尺度参数,生产次数中心化,0.24110378329560483
5,原尺度边际效应（百分点）,个体内BMI,-0.1500271465420548
5,原尺度边际效应（百分点）,妇间BMI,-0.14538736390792437
5,原尺度边际效应（百分点）,孕周平均,0.32477861809036834
5,链接尺度参数,BMI个体内偏差,-0.02377207317176059
5,链接尺度参数,妇间BMI中心化,-0.02303689120755057
5,链接尺度参数,孕周中心化,0.04343349425700175
5,链接尺度参数,孕周二次项,0.005752630113327981
5,链接尺度参数,年龄中心化,-0.031734263442929164
5,链接尺度参数,截距,-2.7506656818434285
5,链接尺度参数,生产次数中心化,0.2526057769307662
6,原尺度边际效应（百分点）,个体内BMI,-0.2557295935812685
6,原尺度边际效应（百分点）,妇间BMI,-0.13958688186922855
6,原尺度边际效应（百分点）,孕周平均,0.30618838058803505
6,链接尺度参数,BMI个体内偏差,-0.040669858848158005
6,链接尺度参数,妇间BMI中心化,-0.022199146775212546
6,链接尺度参数,孕周中心化,0.04323869471619917
6,链接尺度参数,孕周二次项,0.004198840446385469
6,链接尺度参数,年龄中心化,-0.005900945616362171
6,链接尺度参数,截距,-2.718356782436925
