诊断指标,数值
条件残差标准差,0.22815568341014814
条件残差偏度,-0.40540444381544494
条件残差超额峰度,1.112674945286508
Shapiro检验P值,1.5196161157596894e-05
Breusch-Pagan检验P值,0.09771371601027005
绝对残差与拟合值Spearman相关,-0.09291248846994309
大于3倍残差标准差事件数,3.0
边际R2,0.2299396004121346
条件R2,0.7258968541293865
固定效应预测最小Y浓度,0.02915532560344802
固定效应预测最大Y浓度,0.12463898713925098
预测越出0到1范围数,0.0
随机效应协方差最小最大特征值比,0.009005570269998812
随机截距标准差,0.3526543675968734
残差标准差,0.2823405543065274
随机孕周斜率标准差,0.03357132634768129
随机截距斜率相关,0.07841105554646355
18周处ICC,0.6093900230415438
最大VIF,1.4024852650462092
