模型代号,模型名称,重复轮次,均方根误差_RMSE,平均绝对误差_MAE,组外决定系数_R2,失败折数
空模型_随机截距,空模型（随机截距）,1,0.0364322300754,0.0264547277481,-0.0507367091136,0
核心线性_随机截距,核心线性模型（随机截距）,1,0.0336757525716,0.0241515342208,0.102246693586,0
调整线性_随机截距,临床调整线性模型（随机截距）,1,0.0331795162978,0.0238144887725,0.128509827022,0
孕周二次_随机截距,孕周二次模型（随机截距）,1,0.0327690696156,0.0236846840907,0.149937974693,0
二次交互_随机截距,低阶曲率交互模型（随机截距）,1,0.032947610184,0.0237498347519,0.1406497028,0
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,1,0.0331845815373,0.0238077410625,0.128243720468,0
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,1,0.0327436953272,0.0236794248377,0.151253933195,0
空模型_随机截距,空模型（随机截距）,2,0.0364443421095,0.0264607272342,-0.0514354681152,0
核心线性_随机截距,核心线性模型（随机截距）,2,0.033724532422,0.0242040274154,0.0996439907204,0
调整线性_随机截距,临床调整线性模型（随机截距）,2,0.0332803882504,0.0238330235963,0.123202784905,0
孕周二次_随机截距,孕周二次模型（随机截距）,2,0.0328651340232,0.0236997748413,0.144946658044,0
二次交互_随机截距,低阶曲率交互模型（随机截距）,2,0.0329998364556,0.0237726350439,0.137923178319,0
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,2,0.0333110064544,0.023830982291,0.121588722893,0
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,2,0.0328377123503,0.0236898733967,0.146372924023,0
空模型_随机截距,空模型（随机截距）,3,0.0364829399212,0.0264653558203,-0.0536637755216,0
核心线性_随机截距,核心线性模型（随机截距）,3,0.0338334549886,0.0242989499605,0.0938187086019,0
调整线性_随机截距,临床调整线性模型（随机截距）,3,0.0338861234949,0.0243935078746,0.0909952095837,0
孕周二次_随机截距,孕周二次模型（随机截距）,3,0.0334786528062,0.0242677668984,0.112724804924,0
二次交互_随机截距,低阶曲率交互模型（随机截距）,3,0.0337119512829,0.0244819916859,0.100315631835,0
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,3,0.0339555200507,0.0244294469033,0.0872682329435,0
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,3,0.0335081519332,0.0242931409874,0.111160502131,0
空模型_随机截距,空模型（随机截距）,4,0.0366007559934,0.0265815703203,-0.0604800557311,0
核心线性_随机截距,核心线性模型（随机截距）,4,0.0337943339533,0.0243047337021,0.0959131003682,0
调整线性_随机截距,临床调整线性模型（随机截距）,4,0.0332967316052,0.0239257817891,0.122341417161,0
孕周二次_随机截距,孕周二次模型（随机截距）,4,0.0328939124229,0.0237538437462,0.143448545152,0
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,0.03292275495,0.0236987498007,0.141945778356,0
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,0.033327704876,0.0239167969852,0.120707827367,0
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,0.0328963691353,0.0237644228207,0.143320595696,0
空模型_随机截距,空模型（随机截距）,5,0.0364958549941,0.0265287953773,-0.054409908,0
核心线性_随机截距,核心线性模型（随机截距）,5,0.0337039380166,0.0241944136926,0.100743287508,0
调整线性_随机截距,临床调整线性模型（随机截距）,5,0.0335337930107,0.0241533578668,0.109799667764,0
孕周二次_随机截距,孕周二次模型（随机截距）,5,0.0331325570681,0.0240339921767,0.130974935102,0
二次交互_随机截距,低阶曲率交互模型（随机截距）,5,0.0333315090334,0.0242420562637,0.120507084067,0
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,5,0.0335785329564,0.0241698452833,0.107422717269,0
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,5,0.0331386979034,0.0240440571897,0.130652772564,0
