模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
空模型_随机截距,空模型（随机截距）,1,1,134,33,491,122,0.039505326298,0.0265106110883,-0.0726738882424,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,1,2,133,34,490,123,0.0371978631695,0.0264355636788,-0.0484254818553,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,1,3,134,33,490,123,0.0343573073857,0.0257030135987,-0.0231218851685,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,1,4,133,34,490,123,0.0352525178561,0.0273980540809,-0.105909903125,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,1,5,134,33,491,122,0.0356434507139,0.0262249827845,-0.0207232536395,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,1,1,134,33,491,122,0.0360658191468,0.0244807304169,0.10597841682,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,1,2,133,34,490,123,0.0342062828892,0.0235534078054,0.113429351978,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,1,3,134,33,490,123,0.0326002366139,0.024189154069,0.0788494025175,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,1,4,133,34,490,123,0.0320076636703,0.0246831652283,0.0883095313958,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,1,5,134,33,491,122,0.0333674939547,0.0238514502692,0.105468362717,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,1,1,134,33,491,122,0.0378669361383,0.0263850473967,0.0144543694461,1,lbfgs,Random effects covariance is singular
调整线性_随机截距,临床调整线性模型（随机截距）,1,2,133,34,490,123,0.0327928159666,0.0225731387912,0.18518501703,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,1,3,134,33,490,123,0.0312659651071,0.0234280156748,0.152708574385,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,1,4,133,34,490,123,0.0316678292357,0.024495319541,0.107566111604,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,1,5,134,33,491,122,0.0318863503477,0.0221986846907,0.183120210562,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,1,1,134,33,491,122,0.0375056546108,0.0264507478291,0.0331704800103,1,powell,lbfgs:LinAlgError:Singular matrix
孕周二次_随机截距,孕周二次模型（随机截距）,1,2,133,34,490,123,0.032681166729,0.0226780637833,0.190723949926,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,1,3,134,33,490,123,0.0304908360232,0.0231210352517,0.194199006568,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,1,4,133,34,490,123,0.0312917174763,0.0240687525599,0.128638704125,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,1,5,134,33,491,122,0.0314240096676,0.0221145439861,0.206637399853,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,1,1,134,33,491,122,0.0376069205549,0.0264138610897,0.0279425174357,1,powell,lbfgs:LinAlgError:Singular matrix
二次交互_随机截距,低阶曲率交互模型（随机截距）,1,2,133,34,490,123,0.0324916431237,0.0225958803547,0.200082990662,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,1,3,134,33,490,123,0.0313406318257,0.0235528919645,0.14865688357,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,1,4,133,34,490,123,0.0311294754321,0.0238912301646,0.13765098956,1,lbfgs,
