诊断项目,统计量,P值,判读
收敛,1,,通过
随机效应奇异,0,,通过
随机截距方差,0.127889542305,,logit尺度
孕周随机斜率方差,0.00114606882997,,logit尺度；随机截距模型为空
残差方差,0.0801049533664,,logit尺度
中心孕周处组内相关系数ICC,0.614869840148,,随机斜率模型中ICC随孕周变化，此值仅对应中心孕周
随机截距与随机斜率相关系数,0.0789828618705,,随机截距模型为空
随机效应协方差最小特征值,0.00113885507904,,接近0提示奇异
Breusch-Pagan异方差LM,10.1118187407,0.120021386304,P<0.05提示异方差
Breusch-Pagan异方差F,1.69400184737,0.119977398066,P<0.05提示异方差
条件残差偏度,-0.406732854683,,绝对值越小越对称
条件残差超额峰度,1.14371963358,,0附近接近正态
原尺度固定效应预测低于0的比例,0,,logit反变换理论上应为0
原尺度固定效应预测高于1的比例,0,,logit反变换理论上应为0
