孕周,妇间BMI参考值,BMI个体内偏差,年龄参考值,受孕方式,生产次数参考值,预测Y浓度,固定效应均值95%置信区间下限,固定效应均值95%置信区间上限,模型代号
10,28,0,29.0359281437,自然受孕,0.467065868263,0.0618918149617,0.0543908098175,0.0708582651264,孕周二次_随机斜率
10.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0613994577166,0.0541417205086,0.0700352303945,孕周二次_随机斜率
10.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0609471117596,0.0539803496657,0.0691751574756,孕周二次_随机斜率
10.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0605340018842,0.0537984269305,0.0685524772701,孕周二次_随机斜率
11,28,0,29.0359281437,自然受孕,0.467065868263,0.0601594219942,0.0536798808529,0.0678788172313,孕周二次_随机斜率
11.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0598227334206,0.053530728171,0.067267213004,孕周二次_随机斜率
11.5,28,0,29.0359281437,自然受孕,0.467065868263,0.059523363396,0.0534015497593,0.0666962320702,孕周二次_随机斜率
11.75,28,0,29.0359281437,自然受孕,0.467065868263,0.059260803684,0.053288611971,0.0662130552966,孕周二次_随机斜率
12,28,0,29.0359281437,自然受孕,0.467065868263,0.0590346093613,0.0532260542408,0.0657739626868,孕周二次_随机斜率
12.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0588443977495,0.0531143142526,0.0654621784564,孕周二次_随机斜率
12.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0586898474963,0.0530901718539,0.065185033802,孕周二次_随机斜率
12.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0585706978022,0.0530104346709,0.0648905976666,孕周二次_随机斜率
13,28,0,29.0359281437,自然受孕,0.467065868263,0.0584867477933,0.0530166984599,0.0646638521105,孕周二次_随机斜率
13.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0584378560373,0.0530066680309,0.0645268749293,孕周二次_随机斜率
13.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0584239402031,0.0530796337836,0.0644050779144,孕周二次_随机斜率
13.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0584449768624,0.0531485903867,0.0643999553728,孕周二次_随机斜率
14,28,0,29.0359281437,自然受孕,0.467065868263,0.0585010014328,0.0531957619906,0.0644082178683,孕周二次_随机斜率
14.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0585921082638,0.0532959215208,0.0644922232242,孕周二次_随机斜率
14.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0587184508637,0.0534995539216,0.0645766410436,孕周二次_随机斜率
14.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0588802422694,0.0536925622187,0.0648337966939,孕周二次_随机斜率
15,28,0,29.0359281437,自然受孕,0.467065868263,0.0590777555595,0.0538781657864,0.0649772356681,孕周二次_随机斜率
15.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0593113245111,0.0541108424385,0.0651533101589,孕周二次_随机斜率
15.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0595813444025,0.0543779648695,0.0654123830323,孕周二次_随机斜率
15.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0598882729626,0.0546447028758,0.0657115077201,孕周二次_随机斜率
16,28,0,29.0359281437,自然受孕,0.467065868263,0.0602326314692,0.0549520382302,0.0660912831697,孕周二次_随机斜率
16.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0606150059976,0.0552530405064,0.0665098241707,孕周二次_随机斜率
16.5,28,0,29.0359281437,自然受孕,0.467065868263,0.061036048823,0.0556483968142,0.0669964944552,孕周二次_随机斜率
16.75,28,0,29.0359281437,自然受孕,0.467065868263,0.061496479978,0.0560629697342,0.0675227687886,孕周二次_随机斜率
17,28,0,29.0359281437,自然受孕,0.467065868263,0.0619970889675,0.0565288824095,0.0680492951593,孕周二次_随机斜率
17.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0625387366458,0.0570003692819,0.0686830828991,孕周二次_随机斜率
17.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0631223572565,0.0575112942651,0.0693181383739,孕周二次_随机斜率
17.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0637489606396,0.0580085067898,0.0700276860977,孕周二次_随机斜率
18,28,0,29.0359281437,自然受孕,0.467065868263,0.0644196346085,0.0586050837736,0.0707732386713,孕周二次_随机斜率
18.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0651355474996,0.0592347903362,0.0715351259335,孕周二次_随机斜率
18.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0658979508987,0.0599140350952,0.0723547925328,孕周二次_随机斜率
18.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0667081825456,0.060638132684,0.0732432769392,孕周二次_随机斜率
19,28,0,29.0359281437,自然受孕,0.467065868263,0.0675676694205,0.061416116813,0.07416849952,孕周二次_随机斜率
19.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0684779310148,0.0622735285754,0.075207251394,孕周二次_随机斜率
19.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0694405827883,0.0631406269577,0.0762714451058,孕周二次_随机斜率
19.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0704573398136,0.0640345255476,0.077337658373,孕周二次_随机斜率
20,28,0,29.0359281437,自然受孕,0.467065868263,0.0715300206103,0.0650154500009,0.07850106026,孕周二次_随机斜率
20.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0726605511683,0.0660270871851,0.0797308414381,孕周二次_随机斜率
20.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0738509691599,0.0670608493123,0.0810979148673,孕周二次_随机斜率
20.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0751034283389,0.0681721029786,0.0824185189489,孕周二次_随机斜率
21,28,0,29.0359281437,自然受孕,0.467065868263,0.0764202031243,0.0693249847376,0.0838412426769,孕周二次_随机斜率
21.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0778036933642,0.0705614379356,0.0853381189238,孕周二次_随机斜率
21.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0792564292732,0.0718868695085,0.0869931905449,孕周二次_随机斜率
21.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0807810765351,0.073211495932,0.0887124706248,孕周二次_随机斜率
22,28,0,29.0359281437,自然受孕,0.467065868263,0.0823804415624,0.0746083239388,0.0905526577958,孕周二次_随机斜率
22.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0840574768959,0.0760555132546,0.0924630563713,孕周二次_随机斜率
22.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0858152867312,0.0775851918252,0.0944531975041,孕周二次_随机斜率
22.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0876571325505,0.0791654712707,0.0965278213794,孕周二次_随机斜率
23,28,0,29.0359281437,自然受孕,0.467065868263,0.089586438837,0.0808969361168,0.0987885702137,孕周二次_随机斜率
23.25,28,0,29.0359281437,自然受孕,0.467065868263,0.0916067988416,0.0825294819591,0.101181017088,孕周二次_随机斜率
23.5,28,0,29.0359281437,自然受孕,0.467065868263,0.0937219803707,0.0842695062167,0.10358429652,孕周二次_随机斜率
23.75,28,0,29.0359281437,自然受孕,0.467065868263,0.0959359315538,0.0860142718582,0.106202714235,孕周二次_随机斜率
24,28,0,29.0359281437,自然受孕,0.467065868263,0.0982527865455,0.0879278025253,0.108924377923,孕周二次_随机斜率
24.25,28,0,29.0359281437,自然受孕,0.467065868263,0.10067687111,0.0898158542338,0.111961427314,孕周二次_随机斜率
24.5,28,0,29.0359281437,自然受孕,0.467065868263,0.103212708025,0.0919787902877,0.114999657491,孕周二次_随机斜率
24.75,28,0,29.0359281437,自然受孕,0.467065868263,0.105865022238,0.0940039221672,0.1183165306,孕周二次_随机斜率
25,28,0,29.0359281437,自然受孕,0.467065868263,0.108638745689,0.0962374979872,0.12166642818,孕周二次_随机斜率
10,32,0,29.0359281437,自然受孕,0.467065868263,0.0546493786854,0.0489462386103,0.0611489170628,孕周二次_随机斜率
10.25,32,0,29.0359281437,自然受孕,0.467065868263,0.0542113065191,0.048863521537,0.0603585050386,孕周二次_随机斜率
10.5,32,0,29.0359281437,自然受孕,0.467065868263,0.0538088815994,0.0486544045772,0.0596846881003,孕周二次_随机斜率
10.75,32,0,29.0359281437,自然受孕,0.467065868263,0.0534414023242,0.0485310516321,0.0590545240924,孕周二次_随机斜率
11,32,0,29.0359281437,自然受孕,0.467065868263,0.0531082298857,0.0484132200963,0.0584413813158,孕周二次_随机斜率
11.25,32,0,29.0359281437,自然受孕,0.467065868263,0.0528087866796,0.0483526562736,0.0579234867558,孕周二次_随机斜率
11.5,32,0,29.0359281437,自然受孕,0.467065868263,0.0525425548657,0.0482492657154,0.0574086917488,孕周二次_随机斜率
11.75,32,0,29.0359281437,自然受孕,0.467065868263,0.0523090750764,0.0481981964675,0.0569797109333,孕周二次_随机斜率
12,32,0,29.0359281437,自然受孕,0.467065868263,0.0521079452692,0.0481762012722,0.0565532490772,孕周二次_随机斜率
12.25,32,0,29.0359281437,自然受孕,0.467065868263,0.0519388197229,0.0481616110987,0.0562447229684,孕周二次_随机斜率
