模型,响应尺度,固定效应参数数,随机效应协方差参数数,收敛,最大似然对数似然值,赤池信息准则_AIC,贝叶斯信息准则_BIC,随机截距方差,残差方差,拟合警告,组外RMSE,组外MAE,组外R方,折均RMSE,折间RMSE标准差,折均MAE,折间MAE标准差,全部折收敛,预测最小值,预测最大值,越界预测数
线性,原Y尺度,6,1,1,1341.97872134,-2667.95744267,-2632.61052319,0.000542595802097,0.000470614934314,The MLE may be on the boundary of the parameter space.,0.0328755295404,0.0247352665657,0.144405651427,0.0326217215921,0.00448333029158,0.0247369794391,0.00305195726476,1,0.0191952176804,0.10826220009,0
孕周样条3,原Y尺度,8,1,1,1363.29156688,-2706.58313377,-2662.39948441,0.000548812373509,0.000429108609776,The MLE may be on the boundary of the parameter space.,0.0323217430298,0.0243520376004,0.17298775537,0.0320667771566,0.00447159466999,0.0243503377902,0.00320411539334,1,0.0222297759349,0.121014836189,0
孕周样条4,原Y尺度,9,1,1,1363.57663116,-2705.15326232,-2656.55124803,0.000550367556741,0.000428250047109,The MLE may be on the boundary of the parameter space.,0.0323502525385,0.0243743355746,0.171528173736,0.0320953886464,0.00447239618949,0.0243725855074,0.00322266041782,1,0.0226070917243,0.121249417677,0
孕周样条3+妇间BMI样条3,原Y尺度,10,1,1,1364.34130826,-2704.68261651,-2651.66223728,0.000539866356983,0.000429227833474,The MLE may be on the boundary of the parameter space.,0.0332185437211,0.0249797510619,0.126458439721,0.0329153982408,0.00481085137447,0.0249654244279,0.00339142359922,1,0.00814577560293,0.142204159172,0
孕周样条3+孕周妇间BMI交互,原Y尺度,11,1,1,1364.79539443,-2703.59078885,-2646.15204468,0.000549256187829,0.00042631246842,The MLE may be on the boundary of the parameter space.,0.0324111973507,0.0244507832773,0.168403708479,0.0321609376532,0.00443874522776,0.0244499319509,0.00310625866419,1,0.0221918843762,0.120811512678,0
线性,logit尺度,6,1,1,-329.122840926,674.245681853,709.59260134,0.117507185917,0.112046092491,,0.0333937656304,0.0240927795346,0.117218581829,0.0330011771771,0.00553212779648,0.0240794770942,0.0042001455956,1,0.028087812467,0.108092371872,0
孕周样条3,logit尺度,8,1,1,-314.840019346,649.680038691,693.86368805,0.118317052008,0.105390365849,,0.0329688224242,0.0239400811174,0.139542817488,0.0325875225717,0.00543056574056,0.0239273647955,0.00434656002879,1,0.0291842064034,0.123634770654,0
孕周样条4,logit尺度,9,1,1,-314.750710666,651.501421333,700.103435628,0.118391554417,0.105332860434,,0.0329805342989,0.0239451713035,0.138931369704,0.0325971955092,0.00544445709835,0.0239322901819,0.0043612126605,1,0.0291931426787,0.126530209296,0
孕周样条3+妇间BMI样条3,logit尺度,10,1,1,-313.529478578,651.058957155,704.079336387,0.115911789184,0.105411911528,,0.0343190908796,0.0246321413524,0.0676178663105,0.0337775662352,0.00649611758289,0.0246063195953,0.00490067320338,1,0.0239993540357,0.191183503323,0
孕周样条3+孕周妇间BMI交互,logit尺度,11,1,1,-313.874278209,653.748556418,711.187300585,0.118041407457,0.105035065479,,0.032972426442,0.0239700152644,0.139354683831,0.0325917851505,0.00543005236331,0.0239580873319,0.00428679155292,1,0.0288240918464,0.121736867662,0
