诊断指标,数值,解释
主模型收敛,1,1为通过
随机截距方差,0.00056399247051,与残差方差共同计算ICC
残差方差,0.000433041100165,响应变换尺度
组内相关系数ICC,0.565670492046,说明同一孕妇重复测量的相关程度
随机截距近奇异标志,0,1为风险
绝对残差与条件拟合值Spearman相关,0.273724723349,接近0较好
上述相关P值,5.3716228287e-12,仅作异方差诊断
Breusch-Pagan检验P值,6.34287515575e-08,小于0.05提示异方差
残差Shapiro-Wilk检验P值,1.13309402296e-08,小样本尾部诊断，不作唯一否决依据
残差偏度,0.566095030223,接近0较好
残差超额峰度,1.53187818762,接近0较好
固定效应设计矩阵条件数,2.31247203885,过大提示共线性或基函数数值不稳
固定效应最大VIF,1.55378232132,样条基函数VIF不单独作变量删除依据
边际预测最小Y浓度,0.0259774173647,原Y尺度
边际预测最大Y浓度,0.121322084193,原Y尺度
边际预测越界数,0,原Y尺度模型需重点检查
最大绝对标准化条件残差,3.6813521713,大值提示离群事件
