敏感性场景,事件数,孕妇数,响应尺度,收敛,效应名称,Y浓度变化,95%置信区间下限,95%置信区间上限,相对主模型变化比例,效应方向与主模型一致,拟合警告
主模型,613,167,原Y尺度,1,孕周由12周增至20周,0.0124912111617,0.0071554474169,0.0178269749065,0,1,The MLE may be on the boundary of the parameter space.
主模型,613,167,原Y尺度,1,孕周由12周增至24周,0.03989657169,0.0337083584472,0.0460847849329,0,1,The MLE may be on the boundary of the parameter space.
主模型,613,167,原Y尺度,1,妇间平均BMI增加1单位,-0.00167169379671,-0.00282758224726,-0.000515805346165,0,1,The MLE may be on the boundary of the parameter space.
主模型,613,167,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.00197655161572,-0.00445712665433,0.000504023422886,0,1,The MLE may be on the boundary of the parameter space.
截至25周0天,610,167,原Y尺度,1,孕周由12周增至20周,0.0124959484488,0.00715084714069,0.0178410497568,0.000379249619478,1,The MLE may be on the boundary of the parameter space.
截至25周0天,610,167,原Y尺度,1,孕周由12周增至24周,0.0399518943374,0.0336161577225,0.0462876309523,0.0013866516606,1,The MLE may be on the boundary of the parameter space.
截至25周0天,610,167,原Y尺度,1,妇间平均BMI增加1单位,-0.00170647193544,-0.00286169820011,-0.000551245670782,-0.0208041321921,1,The MLE may be on the boundary of the parameter space.
截至25周0天,610,167,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.00198955508934,-0.00448421293158,0.000505102752896,-0.00657886873057,1,The MLE may be on the boundary of the parameter space.
排除日期孕周偏差超14天事件,580,159,原Y尺度,1,孕周由12周增至20周,0.0124612149818,0.00690512940032,0.0180173005632,-0.0024013828212,1,The MLE may be on the boundary of the parameter space.
排除日期孕周偏差超14天事件,580,159,原Y尺度,1,孕周由12周增至24周,0.0402693607042,0.0338139671513,0.0467247542571,0.00934388591294,1,The MLE may be on the boundary of the parameter space.
排除日期孕周偏差超14天事件,580,159,原Y尺度,1,妇间平均BMI增加1单位,-0.00166112294758,-0.00283230014699,-0.000489945748182,0.00632343623489,1,The MLE may be on the boundary of the parameter space.
排除日期孕周偏差超14天事件,580,159,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.00182274344788,-0.00436013551597,0.000714648620214,0.0778164185647,1,The MLE may be on the boundary of the parameter space.
不加入临床调整块,613,167,原Y尺度,1,孕周由12周增至20周,0.0124532946708,0.00711731689935,0.0177892724422,-0.00303545352251,1,The MLE may be on the boundary of the parameter space.
不加入临床调整块,613,167,原Y尺度,1,孕周由12周增至24周,0.0399510660972,0.0337625158797,0.0461396163148,0.00136589197765,1,The MLE may be on the boundary of the parameter space.
不加入临床调整块,613,167,原Y尺度,1,妇间平均BMI增加1单位,-0.00153156652311,-0.00271381953163,-0.000349313514595,0.0838235290896,1,The MLE may be on the boundary of the parameter space.
不加入临床调整块,613,167,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.00196703048382,-0.00444700341248,0.000512942444847,0.00481704187645,1,The MLE may be on the boundary of the parameter space.
加入辅助生殖标志敏感性调整,613,167,原Y尺度,1,孕周由12周增至20周,0.0124911847601,0.00715510354981,0.0178272659704,-2.11361231301e-06,1,The MLE may be on the boundary of the parameter space.
加入辅助生殖标志敏感性调整,613,167,原Y尺度,1,孕周由12周增至24周,0.0398942990007,0.0337056266109,0.0460829713905,-5.69645274472e-05,1,The MLE may be on the boundary of the parameter space.
加入辅助生殖标志敏感性调整,613,167,原Y尺度,1,妇间平均BMI增加1单位,-0.00167621739115,-0.00283610095272,-0.000516333829577,-0.00270599462982,1,The MLE may be on the boundary of the parameter space.
加入辅助生殖标志敏感性调整,613,167,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.00197526369432,-0.00445593061242,0.000505403223772,0.000651600185176,1,The MLE may be on the boundary of the parameter space.
替代响应尺度,613,167,logit尺度,1,孕周由12周增至20周,0.0110537397317,0.00666390472765,0.0154435747358,-0.115078626991,1,
替代响应尺度,613,167,logit尺度,1,孕周由12周增至24周,0.0356669795425,0.0291922587929,0.0421417002922,-0.106013924714,1,
替代响应尺度,613,167,logit尺度,1,妇间平均BMI增加1单位,-0.00171555267761,-0.00260664609166,-0.000824459263564,-0.0262361928865,1,
替代响应尺度,613,167,logit尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.000647586267393,-0.00268196397522,0.00138679144043,0.672365617856,1,
加入测序质量调整块,613,167,原Y尺度,1,孕周由12周增至20周,0.0129603925849,0.00763966762873,0.018281117541,0.0375609232059,1,The MLE may be on the boundary of the parameter space.
加入测序质量调整块,613,167,原Y尺度,1,孕周由12周增至24周,0.0394739090483,0.0331898996249,0.0457579184716,-0.0105939589261,1,The MLE may be on the boundary of the parameter space.
加入测序质量调整块,613,167,原Y尺度,1,妇间平均BMI增加1单位,-0.00172126482353,-0.00287172234345,-0.000570807303623,-0.0296531738766,1,The MLE may be on the boundary of the parameter space.
加入测序质量调整块,613,167,原Y尺度,1,同一孕妇BMI相对本人均值增加1单位,-0.0019040487682,-0.00437288851899,0.000564790982579,0.0366814845317,1,The MLE may be on the boundary of the parameter space.
