模型,响应尺度,折号,训练事件数,测试事件数,训练孕妇数,测试孕妇数,孕妇泄漏数,收敛,警告,均方根误差,平均绝对误差,R方
线性,原Y尺度,1,486,127,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0283607629898,0.0215978226494,0.0976389467109
线性,原Y尺度,2,488,125,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0342197753,0.0260469771241,0.058481925258
线性,原Y尺度,3,496,117,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0274948479019,0.0218737927959,0.130958455559
线性,原Y尺度,4,490,123,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.035278406718,0.0252830854757,0.171374131897
线性,原Y尺度,5,492,121,134,33,0,1,The MLE may be on the boundary of the parameter space. | lbfgs失败:LinAlgError:Singular matrix,0.0377548150509,0.0288832191502,0.134155011643
孕周样条3,原Y尺度,1,486,127,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0275877725759,0.0212989781062,0.146157445304
孕周样条3,原Y尺度,2,488,125,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0338876969569,0.025819918564,0.0766667730514
孕周样条3,原Y尺度,3,496,117,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0271205324586,0.0211669616743,0.154459686117
孕周样条3,原Y尺度,4,490,123,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0345990689497,0.0247194948878,0.202979694769
孕周样条3,原Y尺度,5,492,121,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0371388148418,0.0287463357185,0.162178435335
孕周样条4,原Y尺度,1,486,127,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0276358630154,0.0213251692276,0.143178049088
孕周样条4,原Y尺度,2,488,125,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0339141775213,0.0258400537671,0.0752231849568
孕周样条4,原Y尺度,3,496,117,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0271416920131,0.0211705776509,0.153139783138
孕周样条4,原Y尺度,4,490,123,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0345816649748,0.0247122777167,0.203781325164
孕周样条4,原Y尺度,5,492,121,134,33,0,1,The MLE may be on the boundary of the parameter space.,0.0372035457077,0.0288148491746,0.159255338405
孕周样条3+妇间BMI样条3,原Y尺度,1,486,127,133,34,0,1,The MLE may be on the boundary of the parameter space.,0.0283232772247,0.0219667729152,0.100022757047
