模型,方程部分,参数,估计值,聚类稳健标准误,95%置信区间下限,95%置信区间上限,P值,重复测量处理,收敛
Beta回归-常精度-二次孕周,均值方程,截距,-2.714230394643617,0.03710498250324736,-2.786954823996971,-2.6415059652902633,0.0,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,孕周中心化,0.042223331571156895,0.00395603722417297,0.034469641090278065,0.049977022052035726,1.3595571371628936e-26,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,孕周二次项,0.004886907690359973,0.0008398271040731735,0.0032408768131359815,0.006532938567583965,5.9220230796200266e-09,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,妇间BMI中心化,-0.024251979720585008,0.00902659738927885,-0.04194378550651483,-0.006560173934655186,0.007215645553371455,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,BMI个体内偏差,-0.022935173830311913,0.020379225730570997,-0.06287772229504304,0.01700737463441921,0.26041139904122934,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,年龄中心化,-0.018131653046172713,0.008883923057195223,-0.03554382227970032,-0.0007194838126451039,0.04125568214975404,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,均值方程,生产次数中心化,0.15771620496935254,0.04355167734175243,0.07235648591320866,0.24307592402549644,0.00029306091158946737,孕妇聚类稳健协方差,是
Beta回归-常精度-二次孕周,精度方程,精度截距,4.279542889073139,0.10121891668539987,4.0811574578155945,4.477928320330683,0.0,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,截距,-2.714497574378171,0.03699493289932303,-2.78700631047132,-2.641988838285022,0.0,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,孕周中心化,0.04528699935370707,0.004113440867162023,0.0372248034015343,0.053349195305879844,3.4384004925552504e-28,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,孕周二次项,0.004727598980323243,0.0008421263467706922,0.003077061670220398,0.006378136290426088,1.9783573903573012e-08,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,妇间BMI中心化,-0.025078543147947184,0.008885034364907523,-0.042492890504566644,-0.007664195791327728,0.004764189721284138,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,BMI个体内偏差,-0.015414091708718958,0.021336988830169094,-0.057233821354383804,0.02640563793694589,0.470041357222562,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,年龄中心化,-0.01686304134740708,0.008823778919275159,-0.03415733023673015,0.00043124754191599043,0.0559929331357782,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,均值方程,生产次数中心化,0.16637453604752053,0.042846192423205,0.0823975420233658,0.25035153007167527,0.00010314812012892948,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,精度方程,精度截距,4.298871008305829,0.10067690099775223,4.10154790827513,4.496194108336528,0.0,孕妇聚类稳健协方差,是
Beta回归-孕周变精度-二次孕周,精度方程,精度方程孕周中心化,-0.04333540520713516,0.012845556612976046,-0.06851223352993853,-0.018158576884331784,0.0007419974170273411,孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,截距,-2.635294858642221,0.03183086609695637,-2.6976822097889723,-2.5729075074954695,0.0,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,孕周中心化,0.04892403181181214,0.004305019230551205,0.04048634916717944,0.057361714456444834,6.2883204828643044e-30,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,妇间BMI中心化,-0.02414551032510756,0.01117981417580318,-0.04605754346353214,-0.002233477186682979,0.0307926749097394,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,BMI个体内偏差,-0.014220456198657349,0.019840277646964864,-0.05310668582998357,0.024665773432668875,0.4735303218356367,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,年龄中心化,-0.019087888332457694,0.009641184065744211,-0.0379842618696378,-0.00019151479527759058,0.047722833722834035,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-线性孕周,均值方程,生产次数中心化,0.13454757733928044,0.04722290377869392,0.04199238668763994,0.22710276799092094,0.004382908572720498,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-二次孕周,均值方程,截距,-2.72201480879091,0.03689909779660043,-2.794335711534268,-2.6496939060475517,0.0,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-二次孕周,均值方程,孕周中心化,0.04629642998429799,0.004064621643563145,0.038329917952132225,0.054262942016463755,4.684742683396811e-30,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-二次孕周,均值方程,孕周二次项,0.004938784690840053,0.0008199890527742916,0.0033316356796853274,0.006545933701994778,1.7122554155722388e-09,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-二次孕周,均值方程,妇间BMI中心化,-0.024057870334434524,0.011302943194195844,-0.046211231914360495,-0.001904508754508552,0.03329890539870473,交换型GEE+孕妇聚类稳健协方差,是
分数logit GEE-二次孕周,均值方程,BMI个体内偏差,-0.025891721338744955,0.021412425327406247,-0.06785930380211447,0.016075861124624564,0.22658930694760093,交换型GEE+孕妇聚类稳健协方差,是
