模型,检验项,Wald卡方,自由度,P值,显著性水平
Beta回归-常精度-二次孕周,孕周总体关联,148.32489563379863,2,6.189536789967905e-33,0.05
Beta回归-常精度-二次孕周,孕周非线性,33.86012038988978,1,5.9220230796200365e-09,0.05
Beta回归-常精度-二次孕周,妇间BMI关联,7.218488159803387,1,0.007215645553371442,0.05
Beta回归-常精度-二次孕周,个体内BMI关联,1.26656858690389,1,0.260411399041226,0.05
Beta回归-常精度-二次孕周,临床调整块,15.48529422947966,2,0.0004339214136756809,0.05
Beta回归-孕周变精度-二次孕周,孕周总体关联,154.74626255035497,2,2.496180807086174e-34,0.05
Beta回归-孕周变精度-二次孕周,孕周非线性,31.515684982019867,1,1.978357390357297e-08,0.05
Beta回归-孕周变精度-二次孕周,妇间BMI关联,7.966845303636631,1,0.004764189721284131,0.05
Beta回归-孕周变精度-二次孕周,个体内BMI关联,0.5218787546981465,1,0.4700413572225619,0.05
Beta回归-孕周变精度-二次孕周,临床调整块,16.66939850382884,2,0.00024004137541598763,0.05
分数logit GEE-线性孕周,妇间BMI关联,4.664483998749394,1,0.030792674909739443,0.05
分数logit GEE-线性孕周,个体内BMI关联,0.5137260247364488,1,0.4735303218356367,0.05
分数logit GEE-线性孕周,临床调整块,11.094592070378384,2,0.003897983015311135,0.05
分数logit GEE-二次孕周,孕周总体关联,164.89160911863576,2,1.564018996998411e-36,0.05
分数logit GEE-二次孕周,孕周非线性,36.27639129165935,1,1.7122554155722497e-09,0.05
分数logit GEE-二次孕周,妇间BMI关联,4.530344933086569,1,0.03329890539870481,0.05
分数logit GEE-二次孕周,个体内BMI关联,1.4621439298959453,1,0.22658930694759744,0.05
分数logit GEE-二次孕周,临床调整块,10.492414773950149,2,0.005267457993492427,0.05
高斯GEE-二次孕周,孕周总体关联,147.0995188364355,2,1.1422083727485718e-32,0.05
高斯GEE-二次孕周,孕周非线性,49.7732547645268,1,1.725805115052369e-12,0.05
高斯GEE-二次孕周,妇间BMI关联,7.599524884148237,1,0.005838368386516444,0.05
高斯GEE-二次孕周,个体内BMI关联,2.612095902781115,1,0.10605151591567669,0.05
高斯GEE-二次孕周,临床调整块,12.927797377091487,2,0.0015587069361112313,0.05
