模型,交叉验证折,训练孕妇数,测试孕妇数,测试事件数,收敛,均方根误差（RMSE）,平均绝对误差（MAE）,组外R²,分数对数损失
Beta回归-常精度-二次孕周,1,133,34,127,是,0.027668537072167775,0.020990852535395937,0.14115079928443142,0.24151855188207108
Beta回归-常精度-二次孕周,2,133,34,125,是,0.033904527319766294,0.025828085268965427,0.07574939632650413,0.2658969319926561
Beta回归-常精度-二次孕周,3,134,33,117,是,0.027401579047611375,0.021593356543278056,0.13684443330191642,0.2277103302662899
Beta回归-常精度-二次孕周,4,134,33,123,是,0.03485562978317196,0.02536412288885944,0.19111565616993575,0.24166637997024265
Beta回归-常精度-二次孕周,5,134,33,121,是,0.037328878595266235,0.02889326731529365,0.15358112393909928,0.2658332524718748
Beta回归-孕周变精度-二次孕周,1,133,34,127,是,0.027657385931701747,0.020950848890544747,0.1418429369374914,0.24149459720707495
Beta回归-孕周变精度-二次孕周,2,133,34,125,是,0.034032763458360774,0.026015504584604075,0.0687446403409131,0.26598572957788813
Beta回归-孕周变精度-二次孕周,3,134,33,117,是,0.027505289370649257,0.021573600359170348,0.13029827419321494,0.22771175101470986
Beta回归-孕周变精度-二次孕周,4,134,33,123,是,0.03470819556610607,0.02517945241352828,0.19794410886741354,0.2415785309106598
Beta回归-孕周变精度-二次孕周,5,134,33,121,是,0.037191832277195754,0.028752014163938966,0.15978466719041318,0.26575988510105303
分数logit GEE-线性孕周,1,133,34,127,是,0.02782591784482701,0.020954081480040666,0.1313526109113693,0.24158964350047413
分数logit GEE-线性孕周,2,133,34,125,是,0.034360059794280536,0.02625218853410069,0.0507465664694956,0.26625055345181176
分数logit GEE-线性孕周,3,134,33,117,是,0.027511849631130555,0.02169159869374588,0.12988336125130495,0.22775841439738403
分数logit GEE-线性孕周,4,134,33,123,是,0.03542249883196554,0.025536742428159148,0.1645913828244675,0.24194010515662884
分数logit GEE-线性孕周,5,134,33,121,是,0.03790150600349464,0.029153665399002097,0.12741370626100723,0.26617562694241725
分数logit GEE-二次孕周,1,133,34,127,是,0.02722704633621862,0.020776027859258573,0.16834044329160214,0.24135956629766356
分数logit GEE-二次孕周,2,133,34,125,是,0.0341763104745579,0.025977089239824114,0.06087217644449516,0.26608432929613735
分数logit GEE-二次孕周,3,134,33,117,是,0.027263999200870782,0.021362803669944173,0.1454902627256316,0.22762869322337914
分数logit GEE-二次孕周,4,134,33,123,是,0.03496253804259521,0.02513961609892005,0.18614606951237644,0.2417108464949416
分数logit GEE-二次孕周,5,134,33,121,是,0.03748647448335932,0.029087497502308317,0.14641917756199263,0.26595164940467964
高斯GEE-二次孕周,1,133,34,127,是,0.027620744223056198,0.021387229791873318,0.1441152783466636,0.2415702660503701
高斯GEE-二次孕周,2,133,34,125,是,0.03386512517900855,0.025706353134402896,0.07789638340996974,0.26591496076502
高斯GEE-二次孕周,3,134,33,117,是,0.027178237672020076,0.021228580981156688,0.15085769249404757,0.22758440061750462
高斯GEE-二次孕周,4,134,33,123,是,0.034655209853195965,0.024831213126882957,0.20039108509521508,0.24151121334754885
高斯GEE-二次孕周,5,134,33,121,是,0.037099998403922106,0.028687812878429284,0.1639288548717227,0.2657072282815392
