随机种子,折号,候选模型,测试事件数,测试孕妇数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常
20250824,1,原尺度线性随机斜率,127,34,1,lbfgs,0.028672728767970772,0.02171746619286401,0.07767798606747645,
20250824,2,原尺度线性随机斜率,125,34,1,lbfgs,0.03423172830393524,0.02608041593202592,0.05782406384830019,
20250824,3,原尺度线性随机斜率,117,33,1,lbfgs,0.02757342038579196,0.021992378353278826,0.12598440955750256,
20250824,4,原尺度线性随机斜率,123,33,1,powell,0.035051181227918664,0.025171222590567043,0.18201398625123266,lbfgs:未收敛
20250824,5,原尺度线性随机斜率,121,33,1,lbfgs,0.037390858490227656,0.02827602423048585,0.15076804691104595,
20250824,1,原尺度二次随机斜率,127,34,1,lbfgs,0.02794447077788076,0.02159805318793607,0.12393506069092297,
20250824,2,原尺度二次随机斜率,125,34,1,lbfgs,0.03386429419903542,0.025824787685768978,0.07794163587742053,
20250824,3,原尺度二次随机斜率,117,33,1,lbfgs,0.0274083209048667,0.021398586440383602,0.13641964117635297,
20250824,4,原尺度二次随机斜率,123,33,1,lbfgs,0.03437928607778937,0.024717556718702256,0.21307332146482683,
20250824,5,原尺度二次随机斜率,121,33,1,lbfgs,0.03668930015581869,0.028125529248686252,0.18233707018833833,
20250824,1,原尺度样条随机斜率,127,34,1,lbfgs,0.027914573501115002,0.021505744298707174,0.12580862952797334,
20250824,2,原尺度样条随机斜率,125,34,1,lbfgs,0.03389870845350623,0.02593736007483623,0.0760666182181583,
20250824,3,原尺度样条随机斜率,117,33,1,lbfgs,0.02735528838151319,0.021336574805181033,0.139758301610438,
20250824,4,原尺度样条随机斜率,123,33,1,lbfgs,0.03432647918521206,0.024618857260516387,0.21548891775973789,
20250824,5,原尺度样条随机斜率,121,33,1,lbfgs,0.036710081605745626,0.028183876512368262,0.1814105311971983,
20250824,1,logit线性随机斜率,127,34,1,lbfgs,0.028494775311055265,0.020588691868622513,0.08909099565100331,
20250824,2,logit线性随机斜率,125,34,1,lbfgs,0.036073346807887215,0.026838219419207304,-0.04627832641940355,
20250824,3,logit线性随机斜率,117,33,1,lbfgs,0.025935496422323016,0.01952162705674299,0.22673736435755,
20250824,4,logit线性随机斜率,123,33,1,lbfgs,0.03548453603111183,0.02397881189784922,0.1616626343985137,
20250824,5,logit线性随机斜率,121,33,1,lbfgs,0.03908631152769667,0.029490483865303032,0.07200671952974136,
20250824,1,logit二次随机截距,127,34,1,lbfgs,0.02786556417194323,0.020270653829563313,0.12887555244967952,
20250824,2,logit二次随机截距,125,34,1,lbfgs,0.0358811670552623,0.026884860502441838,-0.035159984434230074,
20250824,3,logit二次随机截距,117,33,1,lbfgs,0.02590801211347448,0.019265468827575214,0.22837537643790418,
20250824,4,logit二次随机截距,123,33,1,lbfgs,0.03480685427205303,0.023633705182829808,0.19337791007780625,
20250824,5,logit二次随机截距,121,33,1,powell,0.03849265004498919,0.02952317877111605,0.09998224725744786,lbfgs:LinAlgError:Singular matrix
20250824,1,logit二次随机斜率,127,34,1,lbfgs,0.0278697646212685,0.020272629735530328,0.12861290642088175,
20250824,2,logit二次随机斜率,125,34,1,lbfgs,0.03588803977284354,0.02691778713418325,-0.0355565737402459,
20250824,3,logit二次随机斜率,117,33,1,lbfgs,0.025949047303674398,0.019345773889153577,0.2259291185885942,
20250824,4,logit二次随机斜率,123,33,1,lbfgs,0.03477985723139388,0.02366919125988698,0.19462869614610956,
20250824,5,logit二次随机斜率,121,33,1,lbfgs,0.03841855589077041,0.02945777667420234,0.10344378458480563,
20250824,1,logit样条随机斜率,127,34,1,lbfgs,0.027855861310611792,0.020245051851050577,0.12948210239004077,
20250824,2,logit样条随机斜率,125,34,1,lbfgs,0.035890967317877207,0.026950728811175995,-0.03572553042752946,
20250824,3,logit样条随机斜率,117,33,1,lbfgs,0.025934935369087985,0.01937575038027988,0.2267708194188005,
20250824,4,logit样条随机斜率,123,33,1,lbfgs,0.03475624289863954,0.02364111531047826,0.19572196397892938,
20250824,5,logit样条随机斜率,121,33,1,lbfgs,0.038442496059285375,0.02948390342360253,0.10232607498652457,
20250825,1,原尺度线性随机斜率,121,34,1,lbfgs,0.027753051045533814,0.023455269046150598,-0.054901490830723265,
20250825,2,原尺度线性随机斜率,126,34,1,lbfgs,0.0277551018416053,0.02278106345026941,-0.14613782526296393,
20250825,3,原尺度线性随机斜率,124,33,1,lbfgs,0.03758107902357454,0.02746366183317852,0.12680397924710396,
20250825,4,原尺度线性随机斜率,123,33,1,lbfgs,0.040565632940046455,0.029100085103094,0.06037036090462278,
20250825,5,原尺度线性随机斜率,119,33,1,lbfgs,0.031854931050072866,0.021985369954130522,0.15953701430126577,
20250825,1,原尺度二次随机斜率,121,34,1,lbfgs,0.027407497494869346,0.023166684587464473,-0.02879584911214228,
20250825,2,原尺度二次随机斜率,126,34,1,lbfgs,0.02789546420672813,0.022763705932021757,-0.15775957338351487,
20250825,3,原尺度二次随机斜率,124,33,1,lbfgs,0.03637406300894641,0.02614967662175453,0.181993251205679,
20250825,4,原尺度二次随机斜率,123,33,1,lbfgs,0.03986853634325852,0.029196328656387827,0.09238685234392796,
20250825,5,原尺度二次随机斜率,119,33,1,lbfgs,0.03144600639592589,0.022086088570187245,0.18097671358837397,
20250825,1,原尺度样条随机斜率,121,34,1,lbfgs,0.027551063742230812,0.023263624029441713,-0.03960217699298196,
20250825,2,原尺度样条随机斜率,126,34,1,lbfgs,0.02782599189756882,0.022679572456069712,-0.15200006537737387,
20250825,3,原尺度样条随机斜率,124,33,1,lbfgs,0.03631932041311757,0.02614860589891464,0.18445358214212026,
