折数,随机种子,折号,候选模型,测试孕妇数,测试事件数,收敛,优化器,均方根误差_RMSE,平均绝对误差_MAE,决定系数_R2,异常或提示
3,20250824,1,原尺度二次随机斜率,56,204,1,powell,0.027771847313345626,0.021708583027620094,0.16721625025749365,lbfgs:未收敛
3,20250824,2,原尺度二次随机斜率,56,206,1,lbfgs,0.031520469157251235,0.024460108418198255,0.11790593299643326,
3,20250824,3,原尺度二次随机斜率,55,203,1,lbfgs,0.03688878735690832,0.026695340816556633,0.21009736569860527,
3,20250824,1,logit线性随机斜率,56,204,1,lbfgs,0.028816709862879545,0.02140282625999469,0.10337366155021221,
3,20250824,2,logit线性随机斜率,56,206,1,lbfgs,0.03142315132345556,0.023487804120320484,0.12334436506404467,
3,20250824,3,logit线性随机斜率,55,203,1,lbfgs,0.03903392919708737,0.027430271517516105,0.11555802766697376,
3,20250824,1,logit二次随机截距,56,204,1,lbfgs,0.028242725941324046,0.021035565229907932,0.13873672697813777,
3,20250824,2,logit二次随机截距,56,206,1,lbfgs,0.031434127276577524,0.02354155728508259,0.12273183505164809,
3,20250824,3,logit二次随机截距,55,203,1,powell,0.03833074032276204,0.027182925447935474,0.14713710740482921,lbfgs:LinAlgError:Singular matrix
3,20250824,1,logit二次随机斜率,56,204,1,lbfgs,0.02827366066876825,0.021056570786268027,0.13684898173044524,
3,20250824,2,logit二次随机斜率,56,206,1,lbfgs,0.03149207592701458,0.023647903791818605,0.11949437506428484,
3,20250824,3,logit二次随机斜率,55,203,1,lbfgs,0.03821086869502419,0.027100759516689103,0.15246307836958783,
3,20250824,1,logit样条随机斜率,56,204,1,lbfgs,0.02828122404982555,0.021053464970058996,0.13638712337233894,
3,20250824,2,logit样条随机斜率,56,206,1,lbfgs,0.03162044048823619,0.023774212063922263,0.11230170412026441,
3,20250824,3,logit样条随机斜率,55,203,1,lbfgs,0.03831026581509989,0.02719975365411205,0.14804798384499052,
3,20250825,1,原尺度二次随机斜率,56,200,1,lbfgs,0.029929461808951657,0.025076173578158435,-0.2036316878000175,
3,20250825,2,原尺度二次随机斜率,56,210,1,lbfgs,0.03273989480425043,0.023780763461962878,0.20046729865144386,
3,20250825,3,原尺度二次随机斜率,55,203,1,lbfgs,0.03664670297722711,0.025578753940373535,0.13122250306544914,
3,20250825,1,logit线性随机斜率,56,200,1,lbfgs,0.027514326087177028,0.022921137537440607,-0.017216879141438657,
3,20250825,2,logit线性随机斜率,56,210,1,lbfgs,0.035381706706081,0.024855175840840325,0.06623148055565953,
3,20250825,3,logit线性随机斜率,55,203,1,lbfgs,0.038737869477303524,0.026345450630856717,0.02924371746441312,
3,20250825,1,logit二次随机截距,56,200,1,lbfgs,0.027675903939664067,0.022867584585690312,-0.02919916934657696,
3,20250825,2,logit二次随机截距,56,210,1,lbfgs,0.03465087488139742,0.02441903087177954,0.10440825734373771,
3,20250825,3,logit二次随机截距,55,203,1,lbfgs,0.03819168610444053,0.026410693561773533,0.05642503133028587,
3,20250825,1,logit二次随机斜率,56,200,1,lbfgs,0.02762249883432553,0.022840118379970666,-0.025230991196828922,
3,20250825,2,logit二次随机斜率,56,210,1,lbfgs,0.034534255108952215,0.02433814231341307,0.11042645743529489,
3,20250825,3,logit二次随机斜率,55,203,1,lbfgs,0.03822305416667716,0.02644945826676981,0.054874417764533945,
3,20250825,1,logit样条随机斜率,56,200,1,lbfgs,0.027667976724826716,0.022863383264301068,-0.02860966632640416,
3,20250825,2,logit样条随机斜率,56,210,1,lbfgs,0.03453426962140186,0.024337944970624165,0.11042570977799582,
3,20250825,3,logit样条随机斜率,55,203,1,lbfgs,0.038213187365946345,0.026451443582172496,0.055362299352012534,
4,20250824,1,原尺度二次随机斜率,42,156,1,lbfgs,0.026946533755075174,0.02074446851759332,0.18840868834929247,
4,20250824,2,原尺度二次随机斜率,42,157,1,lbfgs,0.03375407057296022,0.026207607638539056,0.12317351635564833,
4,20250824,3,原尺度二次随机斜率,42,149,1,lbfgs,0.03363449857298319,0.024767497928396203,0.16301085771814683,
4,20250824,4,原尺度二次随机斜率,41,151,1,lbfgs,0.03386000729614379,0.025503845433932377,0.23094455409151893,
4,20250824,1,logit线性随机斜率,42,156,1,lbfgs,0.027723730295435404,0.019969693751728756,0.1409174380593179,
4,20250824,2,logit线性随机斜率,42,157,1,lbfgs,0.03519006608882611,0.026660413009370647,0.04698109561155828,
4,20250824,3,logit线性随机斜率,42,149,1,lbfgs,0.033716175203815486,0.023156053410012655,0.15894090214447254,
4,20250824,4,logit线性随机斜率,41,151,1,lbfgs,0.03625761961346844,0.02678008764220304,0.11817555456295548,
4,20250824,1,logit二次随机截距,42,156,1,lbfgs,0.027173866518588923,0.01968424383842975,0.17465704487010192,
4,20250824,2,logit二次随机截距,42,157,1,lbfgs,0.03500743478460603,0.026445822234685508,0.05684748433377218,
4,20250824,3,logit二次随机截距,42,149,1,lbfgs,0.03337602842303331,0.02288630326435727,0.17582540704904737,
4,20250824,4,logit二次随机截距,41,151,1,powell,0.03557454744800153,0.026740430637574513,0.1510886791992715,lbfgs:LinAlgError:Singular matrix
4,20250824,1,logit二次随机斜率,42,156,1,lbfgs,0.027195451832207507,0.019698199615790755,0.17334531676379383,
4,20250824,2,logit二次随机斜率,42,157,1,lbfgs,0.03500978551937771,0.0265490067977481,0.05672081547808827,
4,20250824,3,logit二次随机斜率,42,149,1,lbfgs,0.03345687862868588,0.02297273614629088,0.17182760404305897,
4,20250824,4,logit二次随机斜率,41,151,1,lbfgs,0.035484108130805714,0.026678688280823887,0.15539947864574988,
4,20250824,1,logit样条随机斜率,42,156,1,lbfgs,0.027209917856057336,0.019671457986316757,0.17246564122517827,
4,20250824,2,logit样条随机斜率,42,157,1,lbfgs,0.034966369233686505,0.026557843862613912,0.05905892091036269,
4,20250824,3,logit样条随机斜率,42,149,1,lbfgs,0.033499429593954355,0.022980847035602762,0.16971970005504733,
4,20250824,4,logit样条随机斜率,41,151,1,lbfgs,0.035528447500591344,0.026718116976918487,0.15328740909397165,
4,20250825,1,原尺度二次随机斜率,42,151,1,lbfgs,0.027798368993271424,0.023461291471642078,-0.18905418900721638,
4,20250825,2,原尺度二次随机斜率,42,158,1,lbfgs,0.02790129770621706,0.021716943968892146,0.1261689113630362,
4,20250825,3,原尺度二次随机斜率,42,154,1,lbfgs,0.044062112209072,0.03219081477495995,-0.0002612525206471261,
4,20250825,4,原尺度二次随机斜率,41,150,1,lbfgs,0.031229517412979888,0.022792152303856443,0.17081978975084755,
4,20250825,1,logit线性随机斜率,42,151,1,lbfgs,0.024759491883947164,0.020745726411598036,0.05670730314162786,
4,20250825,2,logit线性随机斜率,42,158,1,lbfgs,0.028519028695695278,0.021031864947824774,0.08704757614604353,
4,20250825,3,logit线性随机斜率,42,154,1,lbfgs,0.04705696685853319,0.03397371412833297,-0.14085561041213257,
4,20250825,4,logit线性随机斜率,41,150,1,lbfgs,0.03287416358763292,0.02313651030536935,0.08118557258718484,
4,20250825,1,logit二次随机截距,42,151,1,powell,0.02518303853010012,0.02098670390204966,0.024158516288930287,lbfgs:LinAlgError:Singular matrix
4,20250825,2,logit二次随机截距,42,158,1,lbfgs,0.028022186187612964,0.020558375252721396,0.11858037836993474,
4,20250825,3,logit二次随机截距,42,154,1,lbfgs,0.0464384029189943,0.03367351070149788,-0.11105964075231989,
4,20250825,4,logit二次随机截距,41,150,1,lbfgs,0.032370031591835755,0.023396228266963675,0.10914990925479195,
4,20250825,1,logit二次随机斜率,42,151,1,lbfgs,0.02511473291813413,0.020950116493917238,0.029445015189104917,
4,20250825,2,logit二次随机斜率,42,158,1,lbfgs,0.0279173763340084,0.02044605029723378,0.12516149921615582,
4,20250825,3,logit二次随机斜率,42,154,1,lbfgs,0.046358487257753385,0.0336287151567349,-0.10723889498166583,
4,20250825,4,logit二次随机斜率,41,150,1,lbfgs,0.03235500090555346,0.023401216605781972,0.10997703105890322,
4,20250825,1,logit样条随机斜率,42,151,1,lbfgs,0.02522929739964494,0.02101545024412882,0.02057016581904947,
4,20250825,2,logit样条随机斜率,42,158,1,lbfgs,0.027956242818857807,0.020490766138048466,0.12272390869207694,
4,20250825,3,logit样条随机斜率,42,154,1,lbfgs,0.046372688578044295,0.033690605068882086,-0.10791737538846813,
4,20250825,4,logit样条随机斜率,41,150,1,lbfgs,0.03235749760234148,0.023411412301088518,0.10983966724117689,
5,20250824,1,原尺度二次随机斜率,34,127,1,lbfgs,0.02794447077788076,0.02159805318793607,0.12393506069092297,
5,20250824,2,原尺度二次随机斜率,34,125,1,lbfgs,0.03386429419903542,0.025824787685768978,0.07794163587742053,
5,20250824,3,原尺度二次随机斜率,33,117,1,lbfgs,0.0274083209048667,0.021398586440383602,0.13641964117635297,
5,20250824,4,原尺度二次随机斜率,33,123,1,lbfgs,0.03437928607778937,0.024717556718702256,0.21307332146482683,
5,20250824,5,原尺度二次随机斜率,33,121,1,lbfgs,0.03668930015581869,0.028125529248686252,0.18233707018833833,
5,20250824,1,logit线性随机斜率,34,127,1,lbfgs,0.028494775311055265,0.020588691868622513,0.08909099565100331,
5,20250824,2,logit线性随机斜率,34,125,1,lbfgs,0.036073346807887215,0.026838219419207304,-0.04627832641940355,
5,20250824,3,logit线性随机斜率,33,117,1,lbfgs,0.025935496422323016,0.01952162705674299,0.22673736435755,
5,20250824,4,logit线性随机斜率,33,123,1,lbfgs,0.03548453603111183,0.02397881189784922,0.1616626343985137,
5,20250824,5,logit线性随机斜率,33,121,1,lbfgs,0.03908631152769667,0.029490483865303032,0.07200671952974136,
5,20250824,1,logit二次随机截距,34,127,1,lbfgs,0.02786556417194323,0.020270653829563313,0.12887555244967952,
5,20250824,2,logit二次随机截距,34,125,1,lbfgs,0.0358811670552623,0.026884860502441838,-0.035159984434230074,
5,20250824,3,logit二次随机截距,33,117,1,lbfgs,0.02590801211347448,0.019265468827575214,0.22837537643790418,
5,20250824,4,logit二次随机截距,33,123,1,lbfgs,0.03480685427205303,0.023633705182829808,0.19337791007780625,
5,20250824,5,logit二次随机截距,33,121,1,powell,0.03849265004498919,0.02952317877111605,0.09998224725744786,lbfgs:LinAlgError:Singular matrix
5,20250824,1,logit二次随机斜率,34,127,1,lbfgs,0.0278697646212685,0.020272629735530328,0.12861290642088175,
5,20250824,2,logit二次随机斜率,34,125,1,lbfgs,0.03588803977284354,0.02691778713418325,-0.0355565737402459,
5,20250824,3,logit二次随机斜率,33,117,1,lbfgs,0.025949047303674398,0.019345773889153577,0.2259291185885942,
5,20250824,4,logit二次随机斜率,33,123,1,lbfgs,0.03477985723139388,0.02366919125988698,0.19462869614610956,
