孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
11.0,28.0,0.0,29.0,0,0.05540020585072691,0.04980728391814245,0.06305440415450922
11.25,28.0,0.0,29.0,0,0.055088494257120306,0.049415501115504475,0.06246141623470485
11.5,28.0,0.0,29.0,0,0.054811337246337015,0.04909195653014036,0.061917114825302905
11.75,28.0,0.0,29.0,0,0.05456825910388856,0.048938357892454085,0.06143822812215966
12.0,28.0,0.0,29.0,0,0.0543588434273687,0.048812953107059666,0.06123664895805102
12.25,28.0,0.0,29.0,0,0.05418273209947532,0.048715533105941386,0.061069486139714364
12.5,28.0,0.0,29.0,0,0.05403962440415778,0.048645934661148985,0.060936473260790346
12.75,28.0,0.0,29.0,0,0.053929276284007836,0.04860403997733643,0.0608147842952644
13.0,28.0,0.0,29.0,0,0.053851499737292426,0.04861709067005417,0.060798928081073615
13.25,28.0,0.0,29.0,0,0.053806162353314445,0.048658177272766966,0.06044499987761783
13.5,28.0,0.0,29.0,0,0.05379318698508242,0.04872619245551308,0.060202998849750486
13.75,28.0,0.0,29.0,0,0.053812551558565534,0.04881068107400936,0.06022271337609418
14.0,28.0,0.0,29.0,0,0.05386428901811176,0.04880831115148379,0.060271084603884015
14.25,28.0,0.0,29.0,0,0.05394848740790786,0.04881867738308743,0.06034817378551688
14.5,28.0,0.0,29.0,0,0.0540652900896619,0.0488630138393743,0.06044471364712762
14.75,28.0,0.0,29.0,0,0.05421489609699052,0.048941408239983976,0.060564195009751215
15.0,28.0,0.0,29.0,0,0.054397560627292875,0.049054015846153806,0.06088156209584795
15.25,28.0,0.0,29.0,0,0.054613595672188826,0.04920105991437206,0.06127143855777587
15.5,28.0,0.0,29.0,0,0.054863370787893204,0.049325688010344766,0.0616755773782314
15.75,28.0,0.0,29.0,0,0.05514731400718283,0.049477247379214495,0.06211018800346087
16.0,28.0,0.0,29.0,0,0.05546591289489379,0.0497126950765472,0.06256479274021112
16.25,28.0,0.0,29.0,0,0.05581971574915775,0.04998539488015118,0.0630464122589469
16.5,28.0,0.0,29.0,0,0.056209332950844286,0.050301932948680454,0.06356050681326308
16.75,28.0,0.0,29.0,0,0.056635438463924506,0.05066796028492277,0.06410155508085591
17.0,28.0,0.0,29.0,0,0.05709877148970101,0.051072441966262844,0.06461274124472656
17.25,28.0,0.0,29.0,0,0.05760013827806084,0.05151620290578605,0.06516249636799838
17.5,28.0,0.0,29.0,0,0.058140414099097835,0.05200015198058614,0.06580601894971821
17.75,28.0,0.0,29.0,0,0.058720545378611634,0.052562167322564426,0.0665254044518468
18.0,28.0,0.0,29.0,0,0.059341552001122955,0.05317703763916538,0.0672877069755023
18.25,28.0,0.0,29.0,0,0.060004529784138075,0.05382698634175572,0.06809412299570912
18.5,28.0,0.0,29.0,0,0.060710653127445835,0.05447826212526513,0.06894592277832044
18.75,28.0,0.0,29.0,0,0.06146117784123202,0.05517176934184625,0.0698191057645417
19.0,28.0,0.0,29.0,0,0.062257444156738166,0.055912163418988525,0.07071150802740435
19.25,28.0,0.0,29.0,0,0.06310087992306666,0.056700989480181624,0.07164684225791684
19.5,28.0,0.0,29.0,0,0.06399300399353182,0.057539901819884644,0.07262639545191715
19.75,28.0,0.0,29.0,0,0.06493542980466359,0.05843066861310775,0.07365152006123366
20.0,28.0,0.0,29.0,0,0.06592986915057565,0.05937517692354693,0.0747236362425658
20.25,28.0,0.0,29.0,0,0.06697813615489716,0.06037543801713484,0.07584423419027878
20.5,28.0,0.0,29.0,0,0.0680821514418185,0.06143359298729527,0.07701487655155778
20.75,28.0,0.0,29.0,0,0.06924394650700162,0.06253490207513444,0.07823720092178765
21.0,28.0,0.0,29.0,0,0.07046566828812939,0.06372452391776295,0.07951292241736266
21.25,28.0,0.0,29.0,0,0.071749583933696,0.0649302986122628,0.08084383632237589
21.5,28.0,0.0,29.0,0,0.07309808576724326,0.06611444544787498,0.08222447012202033
21.75,28.0,0.0,29.0,0,0.07451369644259927,0.06736046899625862,0.08365592532619785
22.0,28.0,0.0,29.0,0,0.07599907428374365,0.06867083908302817,0.08514778198268518
22.25,28.0,0.0,29.0,0,0.07755701880067249,0.07004816511152491,0.08670214316212485
22.5,28.0,0.0,29.0,0,0.07919047637002852,0.07149520214944036,0.08834160631920811
22.75,28.0,0.0,29.0,0,0.08090254606625873,0.07301485724453137,0.09029848731067779
23.0,28.0,0.0,29.0,0,0.08269648562561425,0.07461019595996811,0.09234349426818533
23.25,28.0,0.0,29.0,0,0.08457571752137001,0.07628444911661261,0.09448019477015922
23.5,28.0,0.0,29.0,0,0.0865438351241643,0.07804101972576329,0.0966025388732906
23.75,28.0,0.0,29.0,0,0.08860460891628336,0.07988978169047257,0.09910427654825876
24.0,28.0,0.0,29.0,0,0.09076199272298727,0.08195596883891983,0.10159040963430495
24.25,28.0,0.0,29.0,0,0.09302012991753308,0.08421174851732816,0.1041870143227237
24.5,28.0,0.0,29.0,0,0.09538335954933232,0.08624607928471634,0.10710623324910015
24.75,28.0,0.0,29.0,0,0.09785622233662732,0.08822481127592091,0.11039719455853
25.0,28.0,0.0,29.0,0,0.10044346645611629,0.09038951884289316,0.11377733102800952
25.25,28.0,0.0,29.0,0,0.10315005305204254,0.09253432397575988,0.11672860171709915
25.5,28.0,0.0,29.0,0,0.10598116137633494,0.09477494713140505,0.11980446017153236
11.0,32.0,0.0,29.0,0,0.04887901101783389,0.04510183857175014,0.05363771021891275
11.25,32.0,0.0,29.0,0,0.04860210331496522,0.04501104116189147,0.05311535310241394
11.5,32.0,0.0,29.0,0,0.048355910098617914,0.04494129893724902,0.05254523723115437
11.75,32.0,0.0,29.0,0,0.048140002478882185,0.04488124815926026,0.05214126144139209
12.0,32.0,0.0,29.0,0,0.0479540051258827,0.04484479356621171,0.0519219317355669
12.25,32.0,0.0,29.0,0,0.047797595310137095,0.04469390340635543,0.05167574707636708
12.5,32.0,0.0,29.0,0,0.04767050207724836,0.04442439758486073,0.051618459486550174
12.75,32.0,0.0,29.0,0,0.047572505554907746,0.044259097826978316,0.05153556441824801
13.0,32.0,0.0,29.0,0,0.04750343639049338,0.044247706241511475,0.05124078956410559
13.25,32.0,0.0,29.0,0,0.047463175317863406,0.0442655128888778,0.05098442239752655
13.5,32.0,0.0,29.0,0,0.04745165285225944,0.044313559579363004,0.05076179948538529
13.75,32.0,0.0,29.0,0,0.04746884911255208,0.044389106125783846,0.0508856193801468
14.0,32.0,0.0,29.0,0,0.04751479377038093,0.04434489946103109,0.05103494507020198
14.25,32.0,0.0,29.0,0,0.04758956612606076,0.044356677161597226,0.05118331166867017
14.5,32.0,0.0,29.0,0,0.047693295311444825,0.0443492857739044,0.051180365032947706
14.75,32.0,0.0,29.0,0,0.04782616062025737,0.04450323728116677,0.05130189010043616
15.0,32.0,0.0,29.0,0,0.047988391966725066,0.04459765887281754,0.05156377747668713
