请求重复次数,有效重复次数,参数,自助均值,自助标准误,95%区间下限,95%区间上限,区间相对0状态
200,198,截距,-2.8956618793881383,0.0427140622161003,-2.9811114707970794,-2.805745401696384,区间全为负
200,198,孕周一次项,0.0459095796780026,0.0042826892819462,0.0375661931712732,0.0541462405608292,区间全为正
200,198,孕周二次项,0.0052107921000337,0.0008338357105291,0.0037066014364257,0.0067022630421916,区间全为正
200,198,妇间BMI效应,-0.033502508492015,0.0096687710216708,-0.0529329512168175,-0.0155542027789204,区间全为负
200,198,个体内BMI效应,-0.016368645725397,0.0222665595528566,-0.0712732755193221,0.0185718445171267,区间跨0
200,198,年龄效应,-0.0173166985965334,0.0090360837966414,-0.0356581273823072,-0.0012959792598976,区间全为负
200,198,生产次数效应,0.1873102898365433,0.0501181339313848,0.0951815168192976,0.2819995156538281,区间全为正
200,198,曲线最低点孕周,13.472415554241504,0.8935431546250411,11.51201623202643,14.86520409967478,区间全为正
400,397,截距,-2.8954276026454817,0.0416233985265163,-2.9774866321060918,-2.805684897330974,区间全为负
400,397,孕周一次项,0.0463280011179001,0.0042367067333262,0.0378706286500201,0.0540882703101295,区间全为正
400,397,孕周二次项,0.0051584171768402,0.0008334091172958,0.0036101287125355,0.0066987658454129,区间全为正
400,397,妇间BMI效应,-0.0334249851447788,0.00966477162634,-0.0529301874186229,-0.0156129291165079,区间全为负
400,397,个体内BMI效应,-0.0173202332089227,0.0235926453451606,-0.0718245693563173,0.0189285935649837,区间跨0
400,397,年龄效应,-0.0167035907677534,0.0092878122342723,-0.0351518803941022,0.0004240730023621,区间跨0
400,397,生产次数效应,0.1877652350483122,0.0480024270672508,0.0931700886785128,0.2787474627575632,区间全为正
400,397,曲线最低点孕周,13.377324278626824,0.9385065030359666,11.346905472126696,14.838462730480934,区间全为正
800,792,截距,-2.895565396294852,0.0415485115708897,-2.977465313207585,-2.8093508188167853,区间全为负
800,792,孕周一次项,0.0463737575334981,0.0042917781776858,0.0379014492741419,0.0545661979615245,区间全为正
800,792,孕周二次项,0.0051424923390497,0.0008350442449889,0.0035747291937631,0.0067575558761475,区间全为正
800,792,妇间BMI效应,-0.0335571654027455,0.0098561689224606,-0.0531909939051407,-0.0144147434052071,区间全为负
800,792,个体内BMI效应,-0.018657241777261,0.0238561020982113,-0.0783098624698487,0.016946554200521,区间跨0
800,792,年龄效应,-0.0168045685147592,0.0090607851390586,-0.0342157840400579,0.0003192682846623,区间跨0
800,792,生产次数效应,0.1881015070065193,0.0486958931648895,0.0936458639186764,0.2843516082031176,区间全为正
800,792,曲线最低点孕周,13.35542126917469,0.960809469438087,11.15471025239814,14.858838160119772,区间全为正
