效应,变化单位,点估计,簇自助95%区间下限,簇自助95%区间上限,簇自助符号P值,结果单位,解释,有效自助次数
观测范围内标准化孕周增加1周,以孕周不超过25周0天的事件为基准，孕周整体增加1周,0.353309586674256,0.28595414435556354,0.419916248401689,0.0,Y浓度百分点,区间不跨0,397
全样本标准化妇间BMI增加1,孕妇平均BMI增加1 kg/m²,-0.19097095078262807,-0.29795170107547925,-0.0897822059608347,0.0,Y浓度百分点,区间不跨0,397
全样本标准化个体内BMI增加1,同一孕妇BMI相对本人均值增加1 kg/m²,-0.07490970789803889,-0.40383188353332483,0.1090557579833196,0.3677581863979849,Y浓度百分点,区间跨0，证据不足,397
全样本标准化年龄增加1岁,年龄增加1岁,-0.09751209493605222,-0.19770746388736507,0.0025148825610846765,0.0654911838790932,Y浓度百分点,区间跨0，证据不足,397
全样本标准化生产次数增加1,生产次数增加1次,1.2010775675037997,0.5646762200111799,1.8685673915176513,0.0,Y浓度百分点,区间不跨0,397
参考孕妇12至20周变化,参考孕妇由12周变为20周,1.0292747986724817,0.5882607357055851,1.4346175824955576,0.0,Y浓度百分点,区间不跨0,397
参考孕妇12至24周变化,参考孕妇由12周变为24周,3.2481248274480845,2.6158514669439246,3.9487888775156472,0.0,Y浓度百分点,区间不跨0,397
参考孕妇18周妇间BMI增加1,18周参考孕妇的平均BMI增加1 kg/m²,-0.16153674280534394,-0.2559186336950313,-0.07576786139067103,0.0,Y浓度百分点,区间不跨0,397
参考孕妇18周个体内BMI增加1,18周同一孕妇BMI偏差增加1 kg/m²,-0.06338175120659331,-0.3492996227232576,0.09303684795750998,0.3677581863979849,Y浓度百分点,区间跨0，证据不足,397
曲线最低点孕周,曲线驻点位置,13.475080890420045,11.346905472126654,14.838462730480911,,孕周,估计曲线低谷位置,397
参考孕妇12周局部斜率,12周附近孕周增加1周,-0.06845157381509402,-0.16981254438665686,0.02239346301760859,0.16624685138539042,Y浓度百分点,区间跨0，证据不足,397
参考孕妇16周局部斜率,16周附近孕周增加1周,0.11944994359624128,0.0675345018059468,0.16720921152073473,0.0,Y浓度百分点,区间不跨0,397
参考孕妇20周局部斜率,20周附近孕周增加1周,0.3638062506246924,0.29798434860660933,0.4282351558452703,0.0,Y浓度百分点,区间不跨0,397
参考孕妇24周局部斜率,24周附近孕周增加1周,0.791289648354041,0.6061423733928148,0.9881066102081455,0.0,Y浓度百分点,区间不跨0,397
