分析批次（683断点口径）,分箱左边界（周）,分箱右边界（周）,箱内孕周中位数（周）,箱内Y染色体浓度中位数（%）,箱内记录数（条）
683前,11.0,12.0,11.571428571428571,5.4166998,25
683前,12.0,13.0,12.285714285714286,4.948931149999999,78
683前,13.0,14.0,13.285714285714286,5.44502745,70
683前,14.0,15.0,14.428571428571429,4.78104845,2
683前,15.0,16.0,15.714285714285714,5.3511666,37
683前,16.0,17.0,16.285714285714285,5.216569499999999,99
683前,17.0,18.0,17.285714285714285,5.8182258000000004,25
683前,18.0,19.0,18.714285714285715,7.78531345,4
683前,19.0,20.0,19.428571428571427,5.1690295,59
683前,20.0,21.0,20.285714285714285,6.3739695,86
683前,21.0,22.0,21.285714285714285,6.4443305,24
683前,22.0,23.0,22.857142857142858,5.2179455,7
683前,23.0,24.0,23.428571428571427,8.24024085,90
683前,24.0,25.0,24.285714285714285,9.676566950000002,64
683前,25.0,26.0,25.285714285714285,9.51941495,4
683前,26.0,27.0,26.142857142857142,8.036503,5
683前,27.0,28.0,27.714285714285715,9.86700315,2
683前,29.0,30.0,29.0,11.0460166,1
683后,11.0,12.0,11.571428571428571,7.8124577,31
683后,12.0,13.0,12.571428571428571,8.2940628,63
683后,13.0,14.0,13.571428571428571,8.547447499999999,84
683后,14.0,15.0,14.428571428571429,9.3268287,75
683后,15.0,16.0,15.428571428571429,9.8597877,65
683后,16.0,17.0,16.428571428571427,10.2773899,49
683后,17.0,18.0,17.357142857142854,10.0652605,22
683后,18.0,19.0,18.42857142857143,12.00632425,6
683后,19.0,20.0,19.857142857142858,9.2937879,1
683后,20.0,21.0,20.57142857142857,11.178637700000001,2
683后,23.0,24.0,23.285714285714285,6.899393099999999,1
683后,26.0,27.0,26.428571428571427,8.235717300000001,1
