统计范围,事件键记号,事件键定义,建议统计角色,检测记录数（条）,唯一事件或组数（个）,多记录组数（个）,多记录组内记录数（条）,组内Y染色体浓度合并标准差（比例，0–1）,跨越4%阈值的组数（个）,组大小分布（JSON）
全男胎1082条,B+I,孕妇代码＋检测抽血次数,抽血事件主口径,1082,1021,40,101,0.006100848548098696,8,"{""1"": 981, ""2"": 19, ""3"": 21}"
全男胎1082条,B+H,孕妇代码＋检测日期,检测日期会话；不是抽血事件,1082,1063,19,38,0.004711098811171928,4,"{""1"": 1044, ""2"": 19}"
全男胎1082条,B+I+H,孕妇代码＋检测抽血次数＋检测日期,同次抽血的检测会话,1082,1063,19,38,0.004711098811171928,4,"{""1"": 1044, ""2"": 19}"
全男胎1082条,B+I+H+J,再加记录孕周,严格元数据一致组；只作冲突诊断,1082,1064,18,36,0.004733604810078214,4,"{""1"": 1046, ""2"": 18}"
683前682条,B+I,孕妇代码＋检测抽血次数,抽血事件主口径,682,621,40,101,0.006100848548098696,8,"{""1"": 581, ""2"": 19, ""3"": 21}"
683前682条,B+H,孕妇代码＋检测日期,检测日期会话；不是抽血事件,682,663,19,38,0.004711098811171928,4,"{""1"": 644, ""2"": 19}"
683前682条,B+I+H,孕妇代码＋检测抽血次数＋检测日期,同次抽血的检测会话,682,663,19,38,0.004711098811171928,4,"{""1"": 644, ""2"": 19}"
683前682条,B+I+H+J,再加记录孕周,严格元数据一致组；只作冲突诊断,682,664,18,36,0.004733604810078214,4,"{""1"": 646, ""2"": 18}"
主参考674条,B+I,孕妇代码＋检测抽血次数,抽血事件主口径,674,614,39,99,0.0060549425268131545,8,"{""1"": 575, ""2"": 18, ""3"": 21}"
主参考674条,B+H,孕妇代码＋检测日期,检测日期会话；不是抽血事件,674,655,19,38,0.004711098811171928,4,"{""1"": 636, ""2"": 19}"
主参考674条,B+I+H,孕妇代码＋检测抽血次数＋检测日期,同次抽血的检测会话,674,655,19,38,0.004711098811171928,4,"{""1"": 636, ""2"": 19}"
主参考674条,B+I+H+J,再加记录孕周,严格元数据一致组；只作冲突诊断,674,656,18,36,0.004733604810078214,4,"{""1"": 638, ""2"": 18}"
敏感性670条,B+I,孕妇代码＋检测抽血次数,抽血事件主口径,670,611,38,97,0.006102817207763445,8,"{""1"": 573, ""2"": 17, ""3"": 21}"
敏感性670条,B+H,孕妇代码＋检测日期,检测日期会话；不是抽血事件,670,651,19,38,0.004711098811171928,4,"{""1"": 632, ""2"": 19}"
敏感性670条,B+I+H,孕妇代码＋检测抽血次数＋检测日期,同次抽血的检测会话,670,651,19,38,0.004711098811171928,4,"{""1"": 632, ""2"": 19}"
敏感性670条,B+I+H+J,再加记录孕周,严格元数据一致组；只作冲突诊断,670,652,18,36,0.004733604810078214,4,"{""1"": 634, ""2"": 18}"
