分析批次（683断点口径）,相关结构层级,变量代码,相关分析方法,相关计算有效样本量,相关系数r（无量纲）,双侧检验P值
全部,raw,gest_week,pearson,1082,0.12656002844735784,2.9795639953541916e-05
全部,raw,gest_week,spearman,1082,0.08428675276902133,0.0055330486404856286
全部,within,gest_week,pearson,1082,0.5936779376013493,4.9792428650404555e-104
全部,between,gest_week,pearson,267,-0.26445156666384406,1.1916458092797854e-05
全部,raw,bmi,pearson,1082,-0.15129981392456496,5.736662841941766e-07
全部,raw,bmi,spearman,1082,-0.15495941516592615,3.018672242238758e-07
全部,within,bmi,pearson,1082,0.34608639272958164,8.383560945535559e-32
全部,between,bmi,pearson,267,-0.24161279071549538,6.64317389388908e-05
全部,raw,weight_kg,pearson,1082,-0.1806009455711049,2.190083110974552e-09
全部,raw,weight_kg,spearman,1082,-0.16697018963604288,3.299411462457054e-08
全部,within,weight_kg,pearson,1082,0.327081568647392,2.1458807798317963e-28
全部,between,weight_kg,pearson,267,-0.26708803105221285,9.67034082301809e-06
全部,raw,height_cm,pearson,1082,-0.10465062664355511,0.0005650770230304496
全部,raw,height_cm,spearman,1082,-0.10112886401612817,0.0008647006231826148
全部,within,height_cm,pearson,1082,0.056523104576582155,0.06308459241496972
全部,between,height_cm,pearson,267,-0.13434659228947296,0.02817065916393672
全部,raw,age,pearson,1082,-0.1193909001467903,8.258709162388902e-05
全部,raw,age,spearman,1082,-0.11720094019880418,0.00011152318585615414
全部,within,age,pearson,1082,0.037412229217417436,0.21883298466423712
全部,between,age,pearson,267,-0.13164341543406058,0.03152788399467536
全部,raw,gc_rate,pearson,1082,-0.019352347606999398,0.5248446094354245
全部,raw,gc_rate,spearman,1082,-0.016646062308148555,0.5844084746807454
全部,within,gc_rate,pearson,1082,0.01857170531159545,0.5417029149762853
全部,between,gc_rate,pearson,267,-0.04563374112879984,0.45775420714036263
全部,raw,filtered_rate,pearson,1082,0.05992508220158677,0.04876340822472262
全部,raw,filtered_rate,spearman,1082,0.0860377141892331,0.004624537062341289
全部,within,filtered_rate,pearson,1082,0.058212829235746166,0.055588290654001914
全部,between,filtered_rate,pearson,267,0.051225149810374224,0.4044803948900652
683前,raw,gest_week,pearson,682,0.3500781135020847,4.282875047986969e-21
683前,raw,gest_week,spearman,682,0.3466977572490097,1.07569616680506e-20
683前,within,gest_week,pearson,682,0.5687445298729669,1.06368471206311e-59
683前,between,gest_week,pearson,167,0.10925588960516135,0.15987155122672764
683前,raw,bmi,pearson,682,-0.09574423232764553,0.012365609422002526
683前,raw,bmi,spearman,682,-0.12645604248137615,0.0009341163885942203
683前,within,bmi,pearson,682,0.28589064783066653,2.702849509013363e-14
683前,between,bmi,pearson,167,-0.19365161941039663,0.012158271720288607
683前,raw,weight_kg,pearson,682,-0.13755421589397146,0.00031481260413766885
683前,raw,weight_kg,spearman,682,-0.13744441614935002,0.0003183487388061776
683前,within,weight_kg,pearson,682,0.2689072336237092,9.223758429031298e-13
683前,between,weight_kg,pearson,167,-0.2347886112385774,0.002256931883567521
683前,raw,height_cm,pearson,682,-0.10198371705351057,0.00769002563870657
683前,raw,height_cm,spearman,682,-0.11252847202699406,0.0032540960890403057
683前,within,height_cm,pearson,682,0.059033383164694905,0.12351652466677773
683前,between,height_cm,pearson,167,-0.13814084430837287,0.07502520613138455
683前,raw,age,pearson,682,-0.09648719420995708,0.01170093332711069
683前,raw,age,spearman,682,-0.11368691634485417,0.0029476346571204303
683前,within,age,pearson,682,0.039073764241750825,0.30823443610377194
683前,between,age,pearson,167,-0.10224659571582252,0.18856314608519492
683前,raw,gc_rate,pearson,682,-0.021216708528003562,0.5801792134213257
683前,raw,gc_rate,spearman,682,-0.03182527826335973,0.40664798446665196
683前,within,gc_rate,pearson,682,0.025473351679425296,0.5066088112511792
683前,between,gc_rate,pearson,167,-0.059407917873636584,0.4456858179965818
683前,raw,filtered_rate,pearson,682,0.055072483727599306,0.15080972522595554
