源数据字段代码,源数据字段中文名,缺失记录数（条）,缺失比例（0–1）
seq,序号,0,0.0
woman_id,孕妇代码,0,0.0
age,年龄,0,0.0
height_cm,身高(cm),0,0.0
weight_kg,体重(kg),0,0.0
lmp_raw,末次月经,12,0.011090573012939002
conception,受孕方式,0,0.0
test_date_raw,检测日期,0,0.0
draw_no,检测抽血次数,0,0.0
gest_raw,检测孕周,0,0.0
bmi,BMI(kg/m²),0,0.0
reads_total,原始读段数,0,0.0
align_rate,比对率,0,0.0
duplicate_rate,重复读段率,0,0.0
unique_reads,唯一比对读段数,0,0.0
gc_rate,GC含量,0,0.0
z13,13号染色体Z值,0,0.0
z18,18号染色体Z值,0,0.0
z21,21号染色体Z值,0,0.0
zx,X染色体Z值,0,0.0
zy,Y染色体Z值,0,0.0
y_conc,Y染色体浓度,0,0.0
x_conc,X染色体浓度,0,0.0
gc13,13号染色体GC含量,0,0.0
gc18,18号染色体GC含量,0,0.0
gc21,21号染色体GC含量,0,0.0
filtered_rate,过滤读段率,0,0.0
aneuploidy,非整倍体结果,956,0.8835489833641405
gravidity,怀孕次数,0,0.0
parity,生产次数,0,0.0
healthy,胎儿是否健康,0,0.0
