折数,候选模型,验证折数,收敛折数,RMSE均值,RMSE标准差,MAE均值,R2均值,RMSE组内排名
3,logit二次随机截距,6,6,0.033087676411027604,0.004721848677509291,0.024242892830361563,0.09003996479367694,3.0
3,logit二次随机斜率,6,6,0.03305940223346032,0.004696719102582134,0.02423882550915488,0.0914793865278863,2.0
3,logit样条随机斜率,6,6,0.03310456067755609,0.004696065040442353,0.02428003375086517,0.08898585902353301,4.0
3,logit线性随机斜率,6,6,0.03348461544233067,0.004973406240476032,0.024407110984494818,0.07008906219331078,5.0
3,原尺度二次随机斜率,6,6,0.03258286056965573,0.0036440507518539847,0.024549953873811637,0.10387961047823462,1.0
4,logit二次随机截距,8,8,0.03289319205034662,0.006671079419735633,0.024296452262284957,0.08740597232669126,4.0
4,logit二次随机斜率,8,8,0.03286147769081577,0.006663694246134117,0.02429059117429019,0.08932973317664863,2.0
4,logit样条随机斜率,8,8,0.03288998632289726,0.00664403305173684,0.024317062451699976,0.08746850470604939,3.0
4,logit线性随机斜率,8,8,0.03326215527841925,0.006853672953998929,0.024431757950805027,0.06863747898012848,5.0
4,原尺度二次随机斜率,8,8,0.03239830081483784,0.005529371018846505,0.024673077754726446,0.10165135951257835,1.0
5,logit二次随机截距,10,10,0.03277031844525839,0.005940175659073358,0.02412451718685102,0.08837207559597557,4.0
5,logit二次随机斜率,10,10,0.03275016840353649,0.005894842427037534,0.02412819426207754,0.08907994288275138,2.0
5,logit样条随机斜率,10,10,0.03275940744155408,0.005886732934902842,0.024146495530108822,0.08846707274204421,3.0
5,logit线性随机斜率,10,10,0.03315041320661368,0.006202901439568452,0.02426173261989324,0.06960338506685199,5.0
5,原尺度二次随机斜率,10,10,0.03232772395651192,0.0045567340760919684,0.024502699764929296,0.10025081240401854,1.0
6,logit二次随机截距,12,12,0.032457490179979086,0.006688477365465182,0.023998316934357722,0.10935496734504276,3.0
6,logit二次随机斜率,12,12,0.032431334000849694,0.006683959611703523,0.024000683250638925,0.11064029972138835,2.0
6,logit样条随机斜率,12,12,0.032480598681149796,0.006643624167858715,0.02404457219602243,0.1074867764751201,4.0
6,logit线性随机斜率,12,12,0.03285271869375108,0.006925512200844696,0.024151765227631693,0.08916116791339025,5.0
6,原尺度二次随机斜率,12,12,0.031981881622551986,0.005546294224083497,0.024358395297940778,0.12219136795140619,1.0
7,logit二次随机截距,14,14,0.03208291177126591,0.008657806663209556,0.024055373003221716,0.0924436053919854,3.0
7,logit二次随机斜率,14,14,0.032080732406617386,0.008660622860311934,0.024070797502507738,0.09256953025156213,2.0
7,logit样条随机斜率,14,14,0.03210895491910334,0.00867142362569818,0.024111737524723037,0.0909039660538562,4.0
7,logit线性随机斜率,14,14,0.03254910619007296,0.00861185911076914,0.02422155149352911,0.06695256100139362,5.0
7,原尺度二次随机斜率,14,14,0.03174845798770708,0.007529112901678294,0.024468993286815583,0.09834533509030594,1.0
8,logit二次随机截距,16,16,0.032317922941672926,0.008002231663229593,0.024081140491129915,0.08816902865170881,4.0
8,logit二次随机斜率,16,16,0.032300342578646765,0.008000961330339739,0.024085692219549155,0.08890918852225113,2.0
8,logit样条随机斜率,16,16,0.032315645779691274,0.00798462037637273,0.024104358078965528,0.08775235816223662,3.0
8,logit线性随机斜率,16,16,0.032705680729199285,0.008183842592894274,0.02423570118377911,0.06831697335092193,5.0
8,原尺度二次随机斜率,16,16,0.031841014914623746,0.007113608310913223,0.024447766308927543,0.10056696669701021,1.0
9,logit二次随机截距,18,18,0.03214403020001277,0.007788134634564035,0.02391081467529184,0.10310730824863018,3.0
9,logit二次随机斜率,18,18,0.03213264961091094,0.0077815790029781605,0.02391512076786739,0.10346048600890219,2.0
9,logit样条随机斜率,18,18,0.03215011386748661,0.007803558042217936,0.02394443513366297,0.10248845514009691,4.0
9,logit线性随机斜率,18,18,0.0326150981846178,0.007716182007175978,0.024055988591602514,0.07740520218336898,5.0
9,原尺度二次随机斜率,18,18,0.031711562804314176,0.0066936641283485135,0.02429378948204724,0.1155867806464595,1.0
10,logit二次随机截距,20,20,0.03174780705059495,0.009277314186564746,0.023946293637638068,0.08202277676521345,3.0
10,logit二次随机斜率,20,20,0.03174695892027921,0.00924756652249393,0.023951638424714258,0.08148852538781828,2.0
10,logit样条随机斜率,20,20,0.03176993524097812,0.009251230228252433,0.02398729008544435,0.08006525071992174,4.0
10,logit线性随机斜率,20,20,0.03217744558400456,0.009374840583364904,0.024091185927265273,0.0601697322177933,5.0
10,原尺度二次随机斜率,20,20,0.03149070329464491,0.007868029086946437,0.024353168694170105,0.07806441037657044,1.0
