样本范围,问题,候选模型,参数,估计值,标准误,Wald95%下限,Wald95%上限,P值,参数来源,约束,达标事件数,未达标事件数,达标孕妇数,未达标孕妇数,两类结局均至少来自两个孕妇标志,生产次数水平单一结局标志,生产次数分布,推断可用标志,诊断说明,后段条件推断可用标志,P值解释边界
序号683前主分析,第二问,线性达标GEE,Intercept,1.461234312230082,0.1477605700126423,1.1716289166701936,1.7508397077899702,4.637035673179297e-23,附件数据估计,按候选公式,489,124,158,78,1,0,,1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第二问,线性达标GEE,孕周标准化,1.1166471003095848,0.1836322293422677,0.7567345443979406,1.4765596562212289,1.195184329510288e-09,附件数据估计,按候选公式,489,124,158,78,1,0,,1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第二问,线性达标GEE,BMI标准化,-0.4330732516075112,0.1567348532578568,-0.7402679191150809,-0.1258785840999415,0.0057256141312566,附件数据估计,按候选公式,489,124,158,78,1,0,,1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683后不稳定敏感性,第二问,线性达标GEE,Intercept,5.664756671217146,0.938744156660717,3.824851933464715,7.504661408969578,1.595555218183966e-09,附件数据估计,按候选公式,396,3,100,1,0,0,,0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第二问,线性达标GEE,孕周标准化,0.7910823131857803,0.0835528474757817,0.6273217413274796,0.9548428850440808,2.8512369190463724e-21,附件数据估计,按候选公式,396,3,100,1,0,0,,0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
序号683后不稳定敏感性,第二问,线性达标GEE,BMI标准化,-1.7140700526681631,0.554749480335447,-2.8013590545679503,-0.626781050768376,0.0020028510802846,附件数据估计,按候选公式,396,3,100,1,0,0,,0,至少一类结局仅来自0或1名孕妇；系数、P值和时点只作不稳定敏感性，不作有效推断,0,后段失败仅来自1名孕妇，系数和P值不作有效推断
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,Intercept,1.2319509328870577,0.1440792951658161,0.949560703444142,1.5143411623299734,1.2254965590814338e-17,附件数据估计,按候选公式,885,127,258,79,1,0,,1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,孕周标准化,0.962458711424148,0.1550153520746171,0.658634204307102,1.2662832185411936,5.339204873612917e-10,附件数据估计,按候选公式,885,127,258,79,1,0,,1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,BMI标准化,-0.3831610217450247,0.1377972764269696,-0.6532387207095953,-0.1130833227804541,0.0054256223626942,附件数据估计,按候选公式,885,127,258,79,1,0,,1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,后段标志,3.913856642742627,1.0116762788032558,1.9310075722747435,5.896705713210511,0.0001094239865267,附件数据估计,按候选公式,885,127,258,79,1,0,,1,两类结局均有至少两个独立孕妇提供信息,0,全样本参数只作段基线调整覆盖性描述，不解释为683后条件规律
序号683前主分析,第三问,线性达标GEE,Intercept,1.1328594063135613,0.1768328093808251,0.7862734686421076,1.479445343985015,1.4900848057217475e-10,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第三问,线性达标GEE,孕周标准化,1.1685727259323877,0.1897105187553269,0.7967469416835364,1.540398510181239,7.285173075423578e-10,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第三问,线性达标GEE,BMI标准化,-0.4824465224394645,0.1612611180037542,-0.7985125058334865,-0.1663805390454424,0.0027741952975113,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
序号683前主分析,第三问,线性达标GEE,年龄标准化,-0.3422412900040682,0.172000483630182,-0.6793560432426962,-0.0051265367654402,0.0466163495555679,附件数据估计,按候选公式,489,124,158,78,1,1,"{""0.0"": {""未达标"": 92, ""达标"": 280}, ""1.0"": {""未达标"": 32, ""达标"": 173}, ""2.0"": {""未达标"": 0, ""达标"": 36}}",1,两类结局均有至少两个独立孕妇提供信息,1,仅用于683前主分析样本的关联推断
