重复,折,训练孕妇数,单切点最优BMI切点,单切点模型BIC,连续BMI模型BIC,不使用BMI的一组模型BIC,折内BIC最优模型,折内单切点入选标志,分析样本
1,1,133,36.43617476,148.17463434087682,143.72025191263896,142.26685610378746,不使用BMI的一组模型,0,序号683前主分析
1,2,133,36.09730783,148.02122167031757,143.79092872963517,141.11557620010032,不使用BMI的一组模型,0,序号683前主分析
1,3,134,37.0437363,146.19303290617512,142.2083788062534,139.45876773218546,不使用BMI的一组模型,0,序号683前主分析
1,4,134,29.756464415,148.52315448145498,144.4129095007296,143.6169381544851,不使用BMI的一组模型,0,序号683前主分析
1,5,134,35.614437525,131.49226667414464,129.02683615902336,126.98606014199721,不使用BMI的一组模型,0,序号683前主分析
2,1,133,29.75646442,138.76235271694543,134.58302949477905,132.9279274025641,不使用BMI的一组模型,0,序号683前主分析
2,2,133,36.43617476,146.04254659754238,143.01563048584174,142.1851699641541,不使用BMI的一组模型,0,序号683前主分析
2,3,134,36.226429295,150.22922187922012,146.45535187292631,144.44172658666886,不使用BMI的一组模型,0,序号683前主分析
2,4,134,30.119388739999998,139.82287502176408,136.33120739653896,134.584647697873,不使用BMI的一组模型,0,序号683前主分析
2,5,134,36.43617476,146.1594869412263,142.70500031900127,139.47745649754137,不使用BMI的一组模型,0,序号683前主分析
3,1,133,36.43617476,146.89763371168874,143.7206049443098,142.2866691824897,不使用BMI的一组模型,0,序号683前主分析
3,2,133,31.41103571,144.99437181521705,141.65371183693352,138.47121178527297,不使用BMI的一组模型,0,序号683前主分析
3,3,134,29.756464415,144.68430234352113,140.80074915604033,137.59997009128512,不使用BMI的一组模型,0,序号683前主分析
3,4,134,35.689195755,142.36237618772302,138.20894564005545,137.79205382499552,不使用BMI的一组模型,0,序号683前主分析
3,5,134,35.689195755,143.83391593233193,139.43342368868417,138.4004567070085,不使用BMI的一组模型,0,序号683前主分析
4,1,133,31.71929008,141.60969151114364,137.99961587886486,136.43430102197024,不使用BMI的一组模型,0,序号683前主分析
4,2,133,35.475127404999995,143.05057251447323,139.53463197931754,139.7722656118476,连续BMI模型,0,序号683前主分析
4,3,134,29.75646442,137.28058150617022,134.716519838567,130.62533735022097,不使用BMI的一组模型,0,序号683前主分析
4,4,134,36.43617476,144.87976730758243,142.57884893913928,141.2254300403783,不使用BMI的一组模型,0,序号683前主分析
4,5,134,36.43617476,152.42485208313747,148.23456710676894,145.83706948747837,不使用BMI的一组模型,0,序号683前主分析
5,1,133,36.43617476,142.32439412814273,139.92609262550636,138.6431491257379,不使用BMI的一组模型,0,序号683前主分析
5,2,133,45.92884948,132.72695015822234,129.56696986642072,125.99524146577573,不使用BMI的一组模型,0,序号683前主分析
5,3,134,36.43617476,147.76729003377918,144.35948263488226,140.93839278372158,不使用BMI的一组模型,0,序号683前主分析
5,4,134,35.614437525,147.97084981488953,142.85349398800298,142.93120212859256,连续BMI模型,0,序号683前主分析
5,5,134,29.756464415,149.4837696572756,145.59518494385543,144.5416939160318,不使用BMI的一组模型,0,序号683前主分析
