分组方案,组别,BMI区间下限,BMI区间上限,检测孕周天数,检测孕周_周加天,题面风险等级,预计已达标比例,预计尚未达标比例,是否帕累托非支配点,是否题面边界点
主分组K=1,1,20.703125,46.875,70,10周0天,早期发现（12周以内，题面称风险较低）,0.48613290845521767,0.5138670915447823,1,0
主分组K=1,1,20.703125,46.875,71,10周1天,早期发现（12周以内，题面称风险较低）,0.5,0.5,1,0
主分组K=1,1,20.703125,46.875,72,10周2天,早期发现（12周以内，题面称风险较低）,0.5136732372359418,0.4863267627640582,1,0
主分组K=1,1,20.703125,46.875,73,10周3天,早期发现（12周以内，题面称风险较低）,0.5271379494139918,0.47286205058600816,1,0
主分组K=1,1,20.703125,46.875,74,10周4天,早期发现（12周以内，题面称风险较低）,0.540380986670218,0.45961901332978194,1,0
主分组K=1,1,20.703125,46.875,75,10周5天,早期发现（12周以内，题面称风险较低）,0.5533906949920149,0.4466093050079851,1,0
主分组K=1,1,20.703125,46.875,76,10周6天,早期发现（12周以内，题面称风险较低）,0.5661568797560833,0.4338431202439167,1,0
主分组K=1,1,20.703125,46.875,77,11周0天,早期发现（12周以内，题面称风险较低）,0.5786707594388242,0.4213292405611758,1,0
主分组K=1,1,20.703125,46.875,78,11周1天,早期发现（12周以内，题面称风险较低）,0.5909249110759371,0.40907508892406286,1,0
主分组K=1,1,20.703125,46.875,79,11周2天,早期发现（12周以内，题面称风险较低）,0.6029132089947841,0.39708679100521593,1,0
主分组K=1,1,20.703125,46.875,80,11周3天,早期发现（12周以内，题面称风险较低）,0.6146307582659734,0.38536924173402665,1,0
主分组K=1,1,20.703125,46.875,81,11周4天,早期发现（12周以内，题面称风险较低）,0.62607382422518,0.37392617577482,1,0
主分组K=1,1,20.703125,46.875,82,11周5天,早期发现（12周以内，题面称风险较低）,0.637239759307456,0.362760240692544,1,0
主分组K=1,1,20.703125,46.875,83,11周6天,早期发现（12周以内，题面称风险较低）,0.6481269283189205,0.3518730716810795,1,0
主分组K=1,1,20.703125,46.875,84,12周0天,早期发现（12周以内，题面称风险较低）,0.6587346331488306,0.34126536685116937,1,1
主分组K=1,1,20.703125,46.875,85,12周1天,12周与13周之间，题面未单列风险等级,0.66906303780216,0.33093696219783997,1,0
主分组K=1,1,20.703125,46.875,86,12周2天,12周与13周之间，题面未单列风险等级,0.6791130945119234,0.32088690548807663,1,0
主分组K=1,1,20.703125,46.875,87,12周3天,12周与13周之间，题面未单列风险等级,0.6888864715739501,0.3111135284260499,1,0
主分组K=1,1,20.703125,46.875,88,12周4天,12周与13周之间，题面未单列风险等级,0.6983854834364579,0.3016145165635421,1,0
主分组K=1,1,20.703125,46.875,89,12周5天,12周与13周之间，题面未单列风险等级,0.7076130234739825,0.29238697652601753,1,0
主分组K=1,1,20.703125,46.875,90,12周6天,12周与13周之间，题面未单列风险等级,0.7165724997808514,0.28342750021914864,1,0
主分组K=1,1,20.703125,46.875,91,13周0天,中期发现（13至27周，题面称风险高）,0.725267774234019,0.274732225765981,1,1
主分组K=1,1,20.703125,46.875,92,13周1天,中期发现（13至27周，题面称风险高）,0.7337031049988739,0.2662968950011261,1,0
主分组K=1,1,20.703125,46.875,93,13周2天,中期发现（13至27周，题面称风险高）,0.7418830925845552,0.2581169074154448,1,0
主分组K=1,1,20.703125,46.875,94,13周3天,中期发现（13至27周，题面称风险高）,0.7498126294971164,0.25018737050288364,1,0
主分组K=1,1,20.703125,46.875,95,13周4天,中期发现（13至27周，题面称风险高）,0.7574968534891086,0.24250314651089144,1,0
主分组K=1,1,20.703125,46.875,96,13周5天,中期发现（13至27周，题面称风险高）,0.764941104362302,0.235058895637698,1,0
主分组K=1,1,20.703125,46.875,97,13周6天,中期发现（13至27周，题面称风险高）,0.7721508842457101,0.2278491157542899,1,0
主分组K=1,1,20.703125,46.875,98,14周0天,中期发现（13至27周，题面称风险高）,0.779131821243181,0.22086817875681897,1,0
主分组K=1,1,20.703125,46.875,99,14周1天,中期发现（13至27周，题面称风险高）,0.785889636322859,0.21411036367714098,1,0
主分组K=1,1,20.703125,46.875,100,14周2天,中期发现（13至27周，题面称风险高）,0.7924301133041883,0.20756988669581167,1,0
主分组K=1,1,20.703125,46.875,101,14周3天,中期发现（13至27周，题面称风险高）,0.7987590717861259,0.20124092821387407,1,0
主分组K=1,1,20.703125,46.875,102,14周4天,中期发现（13至27周，题面称风险高）,0.804882342852241,0.19511765714775897,1,0
主分组K=1,1,20.703125,46.875,103,14周5天,中期发现（13至27周，题面称风险高）,0.8108057473838518,0.1891942526161482,1,0
主分组K=1,1,20.703125,46.875,104,14周6天,中期发现（13至27周，题面称风险高）,0.8165350768107017,0.1834649231892983,1,0
主分组K=1,1,20.703125,46.875,105,15周0天,中期发现（13至27周，题面称风险高）,0.8220760761294589,0.17792392387054112,1,0
主分组K=1,1,20.703125,46.875,106,15周1天,中期发现（13至27周，题面称风险高）,0.8274344290230704,0.1725655709769296,1,0
主分组K=1,1,20.703125,46.875,107,15周2天,中期发现（13至27周，题面称风险高）,0.8326157449183275,0.16738425508167254,1,0
主分组K=1,1,20.703125,46.875,108,15周3天,中期发现（13至27周，题面称风险高）,0.8376255478245748,0.16237445217542523,1,0
主分组K=1,1,20.703125,46.875,109,15周4天,中期发现（13至27周，题面称风险高）,0.8424692668029831,0.15753073319701694,1,0
主分组K=1,1,20.703125,46.875,110,15周5天,中期发现（13至27周，题面称风险高）,0.8471522279230036,0.1528477720769964,1,0
主分组K=1,1,20.703125,46.875,111,15周6天,中期发现（13至27周，题面称风险高）,0.8516796475702436,0.14832035242975639,1,0
主分组K=1,1,20.703125,46.875,112,16周0天,中期发现（13至27周，题面称风险高）,0.8560566269779193,0.1439433730220807,1,0
主分组K=1,1,20.703125,46.875,113,16周1天,中期发现（13至27周，题面称风险高）,0.8602881478620675,0.13971185213793247,1,0
主分组K=1,1,20.703125,46.875,114,16周2天,中期发现（13至27周，题面称风险高）,0.8643790690487098,0.13562093095129024,1,0
主分组K=1,1,20.703125,46.875,115,16周3天,中期发现（13至27周，题面称风险高）,0.8683341239890691,0.13166587601093094,1,0
主分组K=1,1,20.703125,46.875,116,16周4天,中期发现（13至27周，题面称风险高）,0.8721579190666471,0.12784208093335292,1,0
主分组K=1,1,20.703125,46.875,117,16周5天,中期发现（13至27周，题面称风险高）,0.875854932607427,0.12414506739257303,1,0
主分组K=1,1,20.703125,46.875,118,16周6天,中期发现（13至27周，题面称风险高）,0.8794295145116103,0.12057048548838967,1,0
主分组K=1,1,20.703125,46.875,119,17周0天,中期发现（13至27周，题面称风险高）,0.8828858864321206,0.11711411356787937,1,0
主分组K=1,1,20.703125,46.875,120,17周1天,中期发现（13至27周，题面称风险高）,0.8862281424315493,0.11377185756845065,1,0
主分组K=1,1,20.703125,46.875,121,17周2天,中期发现（13至27周，题面称风险高）,0.8894602500553118,0.11053974994468818,1,0
主分组K=1,1,20.703125,46.875,122,17周3天,中期发现（13至27周，题面称风险高）,0.8925860517644771,0.10741394823552286,1,0
主分组K=1,1,20.703125,46.875,123,17周4天,中期发现（13至27周，题面称风险高）,0.8956092666770707,0.10439073332292925,1,0
主分组K=1,1,20.703125,46.875,124,17周5天,中期发现（13至27周，题面称风险高）,0.8985334925715959,0.10146650742840413,1,0
主分组K=1,1,20.703125,46.875,125,17周6天,中期发现（13至27周，题面称风险高）,0.9013622081111183,0.09863779188888167,1,0
主分组K=1,1,20.703125,46.875,126,18周0天,中期发现（13至27周，题面称风险高）,0.9040987752505066,0.09590122474949336,1,0
主分组K=1,1,20.703125,46.875,127,18周1天,中期发现（13至27周，题面称风险高）,0.906746441793319,0.09325355820668102,1,0
主分组K=1,1,20.703125,46.875,128,18周2天,中期发现（13至27周，题面称风险高）,0.909308344068426,0.09069165593157402,1,0
主分组K=1,1,20.703125,46.875,129,18周3天,中期发现（13至27周，题面称风险高）,0.9117875096997472,0.0882124903002528,1,0
主分组K=1,1,20.703125,46.875,130,18周4天,中期发现（13至27周，题面称风险高）,0.9141868604454793,0.08581313955452075,1,0
主分组K=1,1,20.703125,46.875,131,18周5天,中期发现（13至27周，题面称风险高）,0.9165092150859337,0.08349078491406625,1,0
主分组K=1,1,20.703125,46.875,132,18周6天,中期发现（13至27周，题面称风险高）,0.9187572923415939,0.08124270765840613,1,0
主分组K=1,1,20.703125,46.875,133,19周0天,中期发现（13至27周，题面称风险高）,0.9209337138052545,0.07906628619474554,1,0
