组数K,负对数似然,贝叶斯信息准则,参数计数
1,151.9475962854915,314.1311801958165,2
2,148.08602512009892,316.6440254898649,4
3,145.6857010198951,322.07936491429075,6
4,144.6220431387436,330.18803677682126,8
5,142.82249082901436,336.8249197821963,10
6,141.52865726904636,344.4732402870938,12
7,139.61743477618734,350.88678292620926,14
8,138.5537768950358,358.9954547887397,16
9,136.7718457540377,365.66758013157704,18
10,135.70818787288619,373.7762519941075,20
11,134.43829077551678,381.4724454242022,22
12,133.37463289436528,389.5811172867327,24
13,132.51527123297194,398.0983815887795,26
14,131.4516133518204,406.20705345131,28
15,130.61051238297784,414.7608391384583,30
16,129.66207293189936,423.09994786113486,32
17,129.0084728280862,432.0287352783421,34
18,128.06003337700773,440.3678440010186,36
19,127.48608254654579,449.45592996492826,38
20,126.59406690013957,457.90788629694936,40
21,126.02011606967763,466.995972260859,42
22,125.13895045174553,475.46962864982834,44
23,124.56499962128359,484.55771461373797,46
24,123.8415410709945,493.34678513799327,48
25,123.26759024053256,502.4348711019029,50
26,122.61903725462282,511.37375275491695,52
27,122.04508642416089,520.4618387188266,54
28,121.40453092105933,529.4167153374569,56
29,120.8305800905974,538.5048013013666,58
30,120.21263537669812,547.5048994984015,60
31,119.63868454623618,556.5929854623112,62
32,119.10818287406224,565.7679697427968,64
33,118.5342320436003,574.8560557067065,66
34,118.02243235072811,584.0684439457956,68
35,117.44848152026617,593.1565299097052,70
36,116.95660150475003,602.4087575035064,72
37,116.48536942575247,611.7022809703449,74
38,115.99348941023632,620.9545085641461,76
39,115.56995528984663,630.3434279482002,78
40,115.12247105816576,639.684447109672,80
41,114.69893693777607,649.0733664937261,82
42,114.32817307612254,658.5678263952525,84
43,113.92250429842942,667.9924764646998,86
44,113.55174043677589,677.4869363662262,88
45,113.27257219779911,687.1645875131062,90
46,113.01702650885008,696.8894837600417,92
47,112.7378582698733,706.5671349069216,94
48,112.51297253640914,716.3533510648267,96
49,112.24729327942623,726.0579801756944,98
50,112.02240754596207,735.8441963335997,100
51,111.84430682123164,745.7239825089723,102
52,111.61942108776748,755.5101986668775,104
53,111.44132036303705,765.3899848422502,106
54,111.21643462957289,775.1762010001553,108
55,111.08104116971904,785.1414017052812,110
56,110.87299358946674,794.96129416961,112
57,110.7376001296129,804.9264948747359,114
58,110.53107034675634,814.7494229338563,116
59,110.39567688690249,824.7146236389822,118
60,110.2649936796565,834.6892448493236,120
61,110.16014247043263,844.7155300557095,122
62,110.03174264474751,854.6947180291727,124
63,109.92931873189906,864.7258578283094,126
64,109.8303106190196,874.7638292273839,128
65,109.77279215036515,884.8847799149084,130
66,109.72342733637663,895.022037911765,132
67,109.6822376542182,905.1756461722816,134
68,109.63287284022968,915.3129041691382,136
69,109.60589463467039,925.494935382853,138
70,109.55652982068187,935.6321933797095,140
71,109.54151721512574,945.8381557934307,142
72,109.52712153621084,956.0453520604344,144
73,109.51473147765965,966.2565595681656,146
74,109.510771169324,976.4846265763279,148
75,109.50876550104007,986.7166028645934,150
76,109.50870586960465,996.9524712265561,152
77,109.50870586960465,1007.1884588513897,154
78,109.50870586960465,1017.4244464762232,156
79,109.50870586960465,1027.6604341010566,158
80,109.50870586960465,1037.8964217258901,160
81,109.50870586960465,1048.1324093507237,162
82,109.50870586960465,1058.3683969755573,164
83,109.50870586960465,1068.6043846003906,166
84,109.50870586960465,1078.8403722252242,168
85,109.50870586960465,1089.0763598500578,170
86,109.50870586960465,1099.3123474748913,172
87,109.50870586960465,1109.5483350997247,174
88,109.50870586960465,1119.7843227245583,176
89,109.50870586960465,1130.0203103493918,178
90,109.50870586960465,1140.2562979742254,180
91,109.50870586960465,1150.4922855990587,182
92,109.50870586960465,1160.7282732238923,184
93,109.50870586960465,1170.9642608487259,186
94,109.50870586960465,1181.2002484735594,188
95,109.50870586960465,1191.4362360983928,190
96,109.50870586960465,1201.6722237232264,192
97,109.50870586960465,1211.90821134806,194
98,109.50870586960465,1222.1441989728933,196
99,109.50870586960465,1232.3801865977268,198
100,109.50870586960465,1242.6161742225604,200
101,109.50870586960465,1252.852161847394,202
102,109.50870586960465,1263.0881494722275,204
103,109.50870586960465,1273.3241370970609,206
104,109.50870586960465,1283.5601247218945,208
105,109.50870586960465,1293.796112346728,210
106,109.50870586960465,1304.0320999715616,212
107,109.50870586960465,1314.268087596395,214
108,109.50870586960465,1324.5040752212285,216
109,109.50870586960465,1334.740062846062,218
110,109.50870586960465,1344.9760504708956,220
111,109.50870586960465,1355.212038095729,222
112,109.50870586960465,1365.4480257205626,224
113,109.50870586960465,1375.6840133453961,226
114,109.50870586960465,1385.9200009702297,228
115,109.50870586960465,1396.155988595063,230
116,109.50870586960465,1406.3919762198966,232
117,109.50870586960465,1416.6279638447302,234
118,109.50870586960465,1426.8639514695637,236
119,109.50870586960465,1437.099939094397,238
120,109.50870586960465,1447.3359267192307,240
121,109.50870586960465,1457.5719143440642,242
122,109.50870586960465,1467.8079019688978,244
123,109.50870586960465,1478.0438895937311,246
124,109.50870586960465,1488.2798772185647,248
125,109.50870586960465,1498.5158648433983,250
126,109.50870586960465,1508.7518524682318,252
127,109.50870586960465,1518.9878400930652,254
128,109.50870586960465,1529.2238277178988,256
129,109.50870586960465,1539.4598153427323,258
130,109.50870586960465,1549.6958029675657,260
131,109.50870586960465,1559.9317905923992,262
132,109.50870586960465,1570.1677782172328,264
133,109.50870586960465,1580.4037658420664,266
134,109.50870586960465,1590.6397534668997,268
135,109.50870586960465,1600.8757410917333,270
136,109.50870586960465,1611.1117287165669,272
137,109.50870586960465,1621.3477163414004,274
138,109.50870586960465,1631.5837039662338,276
139,109.50870586960465,1641.8196915910673,278
