组数K,留一验证人数,留一负对数似然_每人
1,167,0.921134972020574
2,167,0.9067762717297351
3,167,0.9159327730408595
4,167,0.922497787553298
5,167,0.9573820928649659
6,167,0.967180220737203
7,167,0.9274233384899591
8,167,0.9561750190176733
9,167,0.9350354003816099
10,167,0.9496561277454042
11,167,0.9670132271178141
12,167,0.9735873679413627
13,167,1.0021371912182373
14,167,0.9811538608050926
15,167,0.9912387563317893
16,167,0.9776425026186336
17,167,1.0054007689752222
18,167,0.9915861416490022
19,167,1.0055764072878106
20,167,0.9973222381666381
21,167,1.013065398722906
22,167,1.0077483606294173
23,167,1.0192436553677306
24,167,1.023878194429345
25,167,1.0335932762531386
26,167,1.0478282182214704
27,167,1.0490912950888158
28,167,1.0519992685238302
29,167,1.0532623453911756
30,167,1.0577148189913907
31,167,1.052944188868186
32,167,1.0658241962108617
33,167,1.061053566087657
34,167,1.073175926111747
35,167,1.0650662013902052
36,167,1.0709202087344771
37,167,1.0700819120004126
38,167,1.0684717730797901
39,167,1.0686033343774772
40,167,1.0686033343774772
41,167,1.0686033343774772
42,167,1.0732407574155594
43,167,1.0868275541925718
44,167,1.0718676338046562
45,167,1.0927601349676535
46,167,1.0867833609341313
47,167,1.0999361580279134
48,167,1.0867833609341313
49,167,1.0894888969458723
50,167,1.0806583829511507
51,167,1.0964445259101345
52,167,1.0887306657314986
53,167,1.0964445259101345
54,167,1.0976262613867545
55,167,1.0964445259101345
56,167,1.0976262613867545
57,167,1.0974008143630063
58,167,1.0954574574619926
59,167,1.096509607570669
60,167,1.096148371278739
61,167,1.0987697394867082
62,167,1.0983234680203213
63,167,1.096389562210156
64,167,1.0919281817927378
65,167,1.0932572312028692
66,167,1.0932572312028692
67,167,1.0932572312028692
68,167,1.0918363126093726
69,167,1.0942434965428167
70,167,1.09477000106296
71,167,1.0958886935571808
72,167,1.0965467859663207
73,167,1.0963580986897745
74,167,1.09639661219721
75,167,1.096364108578879
76,167,1.096364108578879
77,167,1.096364108578879
78,167,1.096364108578879
79,167,1.096364108578879
80,167,1.096364108578879
81,167,1.096364108578879
82,167,1.096364108578879
83,167,1.096364108578879
84,167,1.096364108578879
85,167,1.096364108578879
86,167,1.096364108578879
87,167,1.096364108578879
88,167,1.096364108578879
89,167,1.096364108578879
90,167,1.096364108578879
91,167,1.096364108578879
92,167,1.096364108578879
93,167,1.096364108578879
94,167,1.096364108578879
95,167,1.096364108578879
96,167,1.096364108578879
97,167,1.096364108578879
98,167,1.096364108578879
99,167,1.096364108578879
100,167,1.096364108578879
101,167,1.096364108578879
102,167,1.096364108578879
103,167,1.096364108578879
104,167,1.096364108578879
105,167,1.096364108578879
106,167,1.096364108578879
107,167,1.096364108578879
108,167,1.096364108578879
109,167,1.096364108578879
110,167,1.096364108578879
111,167,1.096364108578879
112,167,1.096364108578879
113,167,1.096364108578879
114,167,1.096364108578879
115,167,1.096364108578879
116,167,1.096364108578879
117,167,1.096364108578879
118,167,1.096364108578879
119,167,1.096364108578879
120,167,1.096364108578879
121,167,1.096364108578879
122,167,1.096364108578879
123,167,1.096364108578879
124,167,1.096364108578879
125,167,1.096364108578879
126,167,1.096364108578879
127,167,1.096364108578879
128,167,1.096364108578879
129,167,1.096364108578879
130,167,1.096364108578879
131,167,1.096364108578879
132,167,1.096364108578879
133,167,1.096364108578879
134,167,1.096364108578879
135,167,1.096364108578879
136,167,1.096364108578879
137,167,1.096364108578879
138,167,1.096364108578879
