自助序号,有效标志,BMI每增加1单位的时间尺度倍数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则选择两组标志,两组切点,两组低BMI组人数,两组高BMI组人数,一组方案中位达标时间_天,两组低BMI组中位达标时间_天,两组高BMI组中位达标时间_天
1,1,1.0264424552402092,283.39236238918494,291.8640032578649,0,31.021087095,82,85,70,70,76
2,1,1.0230377466201819,332.2017059466611,332.623209855185,0,45.92884948,164,3,73,72,175
3,1,1.0328547995755195,279.62876772479075,288.8454791957064,0,31.41103571,98,69,70,70,75
4,1,0.9963315835319693,315.5934088822479,321.4812461074209,0,28.129328255,12,155,71,92,70
5,1,0.9884255863010208,287.3952880280704,292.1685061570666,0,28.136300130000002,10,157,70,96,70
6,1,1.0349085580603021,304.61514295205455,302.1547366129942,1,34.721552450000004,127,40,70,70,91
7,1,1.0700430655289208,324.51367657822294,322.1690182350399,1,36.09730783,151,16,70,70,109
8,1,1.0174985579813387,326.5644273304972,325.04474913922616,1,36.999319045,157,10,73,70,121
9,1,1.0074904097770472,300.89447260491403,306.4159171144894,0,30.9825528,91,76,73,70,79
10,1,1.0193776606243867,337.5612338086804,342.7860950309717,0,40.635610400000004,162,5,77,76,119
11,1,1.0339480307763214,351.1181617069047,349.5096186822166,1,30.9825528,76,91,76,70,86
12,1,0.9929405307575437,343.32922120192126,352.173161739894,0,32.30530665,104,63,71,76,70
13,1,1.0222855506376312,314.4191657165583,319.4299455800289,0,40.635610400000004,163,4,70,70,124
14,1,1.0400343694049716,296.5896020487895,300.783840002314,0,36.999319045,151,16,70,70,94
15,1,1.053791945022909,331.5054915590776,327.38369655118504,1,36.09730783,148,19,72,70,107
16,1,1.018369453852135,279.79813903622517,285.6160584717433,0,30.252208765,78,89,71,70,77
17,1,1.031388239524708,310.93024599211316,308.6699218130816,1,37.074498489999996,156,11,72,70,109
18,1,1.0387554328048403,329.4777665942345,329.6435440921094,0,36.09730783,151,16,72,70,102
19,1,1.0346610152034588,331.99433400990324,333.71174565131844,0,36.09730783,145,22,70,70,97
20,1,1.0068643655008007,285.08959852249285,288.6365586356528,0,28.129328255,13,154,70,95,70
21,1,1.0342577764503107,310.11907539274694,309.8175959767247,1,36.999319045,155,12,71,70,110
22,1,1.0300242469587646,326.5504806576209,330.48316740382955,0,36.09730783,149,18,70,70,94
23,1,1.042086260310862,322.0993135841464,313.66771469149336,1,35.971755044999995,151,16,75,71,115
24,1,1.0439453171888708,315.99693800013245,303.23605644843565,1,36.09730783,147,20,72,70,113
25,1,1.0345280506719794,368.8200006166648,360.68879512655474,1,30.97200247,83,84,80,70,92
26,1,1.0230637222708936,246.3298131485586,251.1824380008543,0,40.635610400000004,165,2,70,70,139
27,1,1.038005610948179,290.32735388241,290.3127149781883,1,36.09730783,142,25,70,70,94
28,1,1.0316134108123505,314.07583388439673,319.0619110137238,0,36.855547055,156,11,70,70,100
29,1,1.047157161649536,243.4427059267258,246.7048218462848,0,36.999319045,154,13,70,70,100
30,1,1.0228239292143158,290.65110676149516,297.37814296394873,0,43.088556015,166,1,70,70,175
31,1,0.9991485169283781,336.65949230687784,342.92485181071635,0,31.021087095,79,88,72,70,79
32,1,1.0354916626167932,288.3115933331643,283.96656047772103,1,34.056319955,125,42,73,70,91
33,1,1.0205902370670488,343.75514534728086,346.19720604938743,0,36.09730783,148,19,73,70,97
34,1,1.0150756164888473,286.0923786096214,292.78451783062764,0,36.999319045,151,16,70,70,91
35,1,1.0313285484888266,329.91782223818103,334.52980508282326,0,36.999319045,152,15,70,70,97
36,1,1.0243391340504195,301.97583709082676,309.7296991414029,0,31.430195355000002,83,84,70,70,77
37,1,1.0457138137116178,325.2445505757135,319.04742459810257,1,32.93975158,108,59,75,70,91
38,1,1.0496400388850649,301.9807407281439,304.46855822133796,0,33.83156313,126,41,70,70,91
39,1,1.0261667561644148,284.4677490072019,280.99743060391694,1,37.0437363,153,14,72,70,105
40,1,1.0561663055800925,317.02112450180607,314.43774829723515,1,30.98707349,81,86,71,70,85
41,1,1.0360248587304892,345.64421667118825,337.7697826570038,1,36.8111298,150,17,77,72,113
42,1,1.0190878290725374,306.53493913496646,312.94436880428884,0,36.067052364999995,151,16,70,70,90
43,1,1.0241106834221414,322.44550107826075,324.20870167773137,0,31.996085665000003,93,74,73,70,83
44,1,1.0349631651421185,336.68336347335725,334.38173928438414,1,40.14632793,160,7,70,70,141
45,1,1.044145498702379,369.0783309662708,362.4711975600373,1,32.99156095,109,58,78,70,97
46,1,1.0253046678622135,337.0067585716067,341.3304334714441,0,30.98707349,73,94,71,70,81
47,1,1.0243053442035406,372.3261772990753,370.9825550907683,1,36.999319045,153,14,82,79,118
48,1,1.0235857197399536,287.8291548975836,291.7987111408105,0,36.8111298,156,11,70,70,103
49,1,1.0317462071832875,297.9020103921586,290.50593152037726,1,31.247618505,99,68,74,70,88
50,1,0.9913659882975838,268.13563946756193,272.5452758646016,0,28.136300130000002,12,155,70,94,70
51,1,1.0130513709904823,337.3300226897313,341.0137802553846,0,45.92884948,165,2,77,76,175
52,1,1.0263423717323843,334.3050727088997,338.1763797753975,0,30.97200247,85,82,71,70,82
53,1,1.0471105882713883,335.7528804451309,336.8488834243498,0,36.8111298,150,17,70,70,110
54,1,1.0156663883662804,308.7154893887636,312.9360797330218,0,36.855547055,155,12,71,70,97
55,1,1.021278724280557,355.02635662833023,353.9297541048106,1,36.09730783,139,28,78,73,98
56,1,1.0269446825482769,302.6902064164166,309.95975265026533,0,45.92884948,166,1,70,70,175
57,1,1.0363376689766706,313.2371123123142,310.40694284197065,1,36.999319045,151,16,70,70,106
58,1,1.0329392696472999,314.06885233323345,313.86634982108626,1,34.056319955,126,41,71,70,90
59,1,1.044327399275292,311.4087260910025,307.5354750083777,1,36.999319045,150,17,70,70,107
60,1,1.0090446551238341,311.75476876490865,317.95302037237985,0,28.093989200000003,7,160,70,100,70
61,1,1.038915090341151,347.449849348534,338.80257039951107,1,36.999319045,153,14,73,70,124
