复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
孕妇整簇自助,100,100,BMI每增加1单位的时间尺度倍数,1.03014259708298,0.9921138959660648,1.051819789607433
孕妇整簇自助,100,100,一组方案BIC,313.99927090339395,271.2040129976739,362.26801972220574
孕妇整簇自助,100,100,两组方案BIC,313.3060417478911,275.9111780712915,357.4782506412262
孕妇整簇自助,100,100,BIC选择两组标志,0.0,0.0,1.0
孕妇整簇自助,100,100,两组切点,36.09730783,28.090328965625,45.92884948
孕妇整簇自助,100,100,两组低BMI组人数,148.5,7.0,166.0
孕妇整簇自助,100,100,两组高BMI组人数,18.5,1.0,160.0
孕妇整簇自助,100,100,一组方案中位达标时间_天,71.0,70.0,78.0
孕妇整簇自助,100,100,两组低BMI组中位达标时间_天,70.0,70.0,101.04999999999998
孕妇整簇自助,100,100,两组高BMI组中位达标时间_天,99.0,70.0,175.0
孕妇整簇自助,200,200,BMI每增加1单位的时间尺度倍数,1.0285956681589727,0.9973834383682553,1.0545773318103149
孕妇整簇自助,200,200,一组方案BIC,311.73338430167723,270.1942531426465,363.0737473461846
孕妇整簇自助,200,200,两组方案BIC,313.02201926766304,272.4848646844554,362.53876732674973
孕妇整簇自助,200,200,BIC选择两组标志,0.0,0.0,1.0
孕妇整簇自助,200,200,两组切点,36.09730783,28.128444778625,45.92884948
孕妇整簇自助,200,200,两组低BMI组人数,150.0,5.9750000000000005,166.0
孕妇整簇自助,200,200,两组高BMI组人数,17.0,1.0,161.025
孕妇整簇自助,200,200,一组方案中位达标时间_天,70.0,70.0,78.0
孕妇整簇自助,200,200,两组低BMI组中位达标时间_天,70.0,70.0,108.0
孕妇整簇自助,200,200,两组高BMI组中位达标时间_天,98.0,70.0,175.0
孕妇整簇自助,400,400,BMI每增加1单位的时间尺度倍数,1.0290537132222295,0.9991455928566837,1.0573389392411217
孕妇整簇自助,400,400,一组方案BIC,311.9378773201835,265.4728977548314,359.6722744752598
孕妇整簇自助,400,400,两组方案BIC,312.9420879970844,269.08594076917393,358.00147408965205
孕妇整簇自助,400,400,BIC选择两组标志,0.0,0.0,1.0
孕妇整簇自助,400,400,两组切点,36.322893640000004,28.087017325,45.92884948
孕妇整簇自助,400,400,两组低BMI组人数,150.0,5.0,165.02499999999998
孕妇整簇自助,400,400,两组高BMI组人数,17.0,1.9750000000000014,162.0
孕妇整簇自助,400,400,一组方案中位达标时间_天,71.0,70.0,78.02499999999998
孕妇整簇自助,400,400,两组低BMI组中位达标时间_天,70.0,70.0,104.07499999999993
孕妇整簇自助,400,400,两组高BMI组中位达标时间_天,100.0,70.0,175.0
