复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
检测误差多重插补,100,100,抽样技术误差标准差,0.004757457916173107,0.00382107436110606,0.00752847676800442
检测误差多重插补,100,100,左删失人数,118.0,112.0,122.52499999999999
检测误差多重插补,100,100,区间删失人数,40.0,35.0,46.52499999999999
检测误差多重插补,100,100,右删失人数,9.0,6.0,11.524999999999991
检测误差多重插补,100,100,一组方案中位达标时间_天,71.0,70.0,75.52499999999999
检测误差多重插补,100,100,两组方案低BMI组中位达标时间_天,70.0,70.0,73.52499999999999
检测误差多重插补,100,100,两组方案高BMI组中位达标时间_天,100.0,92.0,110.0
检测误差多重插补,100,100,一组方案第1组_12周0天已达标比例,0.6522729187900465,0.610667963058459,0.6735423148504185
检测误差多重插补,100,100,一组方案第1组_13周0天已达标比例,0.7177304028201373,0.6830936194942226,0.7409021986120362
检测误差多重插补,100,100,一组方案第1组_25周0天已达标比例,0.9708433315597703,0.9584687760162736,0.9793658269479876
检测误差多重插补,100,100,两组方案第1组_12周0天已达标比例,0.6681930912308369,0.6442114586769433,0.6853691210264248
检测误差多重插补,100,100,两组方案第1组_13周0天已达标比例,0.7331125250090952,0.707488793459343,0.7564405813076627
检测误差多重插补,100,100,两组方案第1组_25周0天已达标比例,0.9725547577015781,0.9584687760162736,0.982544950152171
检测误差多重插补,100,100,两组方案第2组_12周0天已达标比例,0.3329137974641012,0.2628791788560087,0.4132517034026688
检测误差多重插补,100,100,两组方案第2组_13周0天已达标比例,0.4043780809655889,0.32568135473830245,0.48947328063664963
检测误差多重插补,100,100,两组方案第2组_25周0天已达标比例,0.9006904294774876,0.8436026955918701,0.9356657678502708
检测误差多重插补,200,200,抽样技术误差标准差,0.004700141372093215,0.0037253349306723906,0.006918114186608538
检测误差多重插补,200,200,左删失人数,118.0,111.975,124.0
检测误差多重插补,200,200,区间删失人数,40.0,34.0,46.0
检测误差多重插补,200,200,右删失人数,9.0,6.0,11.025000000000006
检测误差多重插补,200,200,一组方案中位达标时间_天,71.0,70.0,75.0
检测误差多重插补,200,200,两组方案低BMI组中位达标时间_天,70.0,70.0,73.0
检测误差多重插补,200,200,两组方案高BMI组中位达标时间_天,99.0,88.95,111.0
检测误差多重插补,200,200,一组方案第1组_12周0天已达标比例,0.6524707613612394,0.6118993349740462,0.6747985007619415
检测误差多重插补,200,200,一组方案第1组_13周0天已达标比例,0.7178223303032865,0.6852147826619148,0.7414468071078559
检测误差多重插补,200,200,一组方案第1组_25周0天已达标比例,0.9702039799932244,0.9560000779287989,0.9794926588495472
检测误差多重插补,200,200,两组方案第1组_12周0天已达标比例,0.665814062876958,0.6439134661965352,0.6857964375847991
检测误差多重插补,200,200,两组方案第1组_13周0天已达标比例,0.7312469853869304,0.7065010453210956,0.7582548857825363
检测误差多重插补,200,200,两组方案第1组_25周0天已达标比例,0.9721926715209253,0.9560000779287989,0.982770471003629
检测误差多重插补,200,200,两组方案第2组_12周0天已达标比例,0.34055431439595635,0.2613127574577698,0.44821223586034853
检测误差多重插补,200,200,两组方案第2组_13周0天已达标比例,0.41452841907918625,0.3249937331056814,0.5232692940103278
检测误差多重插补,200,200,两组方案第2组_25周0天已达标比例,0.9024929686804685,0.8441579991785824,0.9417064519331896
检测误差多重插补,400,400,抽样技术误差标准差,0.004749493300908853,0.0035753850835319365,0.007274004968827634
检测误差多重插补,400,400,左删失人数,118.0,112.0,123.0
检测误差多重插补,400,400,区间删失人数,40.0,35.0,46.0
检测误差多重插补,400,400,右删失人数,9.0,6.0,11.0
检测误差多重插补,400,400,一组方案中位达标时间_天,71.0,70.0,75.0
检测误差多重插补,400,400,两组方案低BMI组中位达标时间_天,70.0,70.0,72.02499999999998
检测误差多重插补,400,400,两组方案高BMI组中位达标时间_天,100.0,87.0,110.0
检测误差多重插补,400,400,一组方案第1组_12周0天已达标比例,0.6536672025675566,0.6138836559638352,0.6745352320322703
检测误差多重插补,400,400,一组方案第1组_13周0天已达标比例,0.7180548694870552,0.6880960990377308,0.7410998269752086
检测误差多重插补,400,400,一组方案第1组_25周0天已达标比例,0.969569190003615,0.9554541479994721,0.9790476489254045
检测误差多重插补,400,400,两组方案第1组_12周0天已达标比例,0.6649981776452223,0.6439134661965352,0.6856671907291484
检测误差多重插补,400,400,两组方案第1组_13周0天已达标比例,0.7297278691956088,0.7060365452370299,0.7557689476837958
检测误差多重插补,400,400,两组方案第1组_25周0天已达标比例,0.9712868725312565,0.9554541479994721,0.9820887737316943
检测误差多重插补,400,400,两组方案第2组_12周0天已达标比例,0.3425350913737537,0.26137546227771,0.46742373016996885
检测误差多重插补,400,400,两组方案第2组_13周0天已达标比例,0.4141588914980524,0.32508907218054495,0.5400554406062626
检测误差多重插补,400,400,两组方案第2组_25周0天已达标比例,0.8989407158906255,0.8441579991785824,0.9429899482097162
