重复序号,有效标志,抽样技术误差标准差,左删失人数,区间删失人数,右删失人数,一组方案中位达标时间_天,两组方案低BMI组中位达标时间_天,两组方案高BMI组中位达标时间_天,一组方案第1组_12周0天已达标比例,一组方案第1组_13周0天已达标比例,一组方案第1组_25周0天已达标比例,两组方案第1组_12周0天已达标比例,两组方案第1组_13周0天已达标比例,两组方案第1组_25周0天已达标比例,两组方案第2组_12周0天已达标比例,两组方案第2组_13周0天已达标比例,两组方案第2组_25周0天已达标比例
1,1,0.004170607986369899,113,44,10,74,71,102,0.6249677194587778,0.6970275998752464,0.9697599171222617,0.6631650048888508,0.731044039570774,0.9742848398861079,0.3138324359190103,0.3870410374910233,0.8979754889945089
2,1,0.00754445422100884,119,43,5,70,70,94,0.6642230042203932,0.7274368592326278,0.9685796563289933,0.6642230042203932,0.7274368592326278,0.9685796563289933,0.3963144751253915,0.4696973869451412,0.9109556024297766
3,1,0.005365459852570991,116,42,9,73,70,100,0.6370314937855303,0.7075027190267379,0.9708011931522658,0.6749546527677684,0.7410559056982937,0.9752090124150091,0.33209005313380036,0.40661802498948824,0.9040227770542517
4,1,0.005688369018935346,117,41,9,72,70,105,0.6518959654637123,0.7217487097880443,0.9737781922349485,0.6774411980357685,0.7441794741884602,0.976552069453053,0.28737235592619464,0.35837790533984787,0.8888480645308328
5,1,0.005988106683105603,122,36,9,70,70,107,0.6516303915006082,0.7111823631296279,0.9587963517541904,0.6516303915006082,0.7111823631296279,0.9587963517541904,0.3033849887255633,0.36440158750386276,0.8441857643579179
6,1,0.005378469797991089,115,44,8,74,71,102,0.629773200922057,0.7040628163213712,0.9735956787772123,0.6692286457676103,0.7388837339809683,0.9777066852640031,0.3070919511629195,0.38265985118956153,0.9057211305652285
7,1,0.005201278368259348,117,43,7,71,70,98,0.6537824658572671,0.7187642525191968,0.9680392759759634,0.6658196333621483,0.729476997641442,0.96965755588703,0.3582823771101984,0.43040617330493564,0.8995496407317842
8,1,0.004127772240517519,117,42,8,73,70,98,0.6489618070334566,0.7241023076610352,0.9787051717553277,0.6895885422008554,0.7592587898389422,0.982215505778134,0.33740824422466786,0.41959365321859443,0.9267918284159415
9,1,0.004530710341236918,112,46,9,75,72,110,0.6120367362333317,0.6852198901671365,0.9679654958841861,0.650239985222783,0.7195192258199522,0.9726842343244712,0.25260587504892273,0.3180433543930872,0.8661964469767914
10,1,0.005230694529076047,118,41,8,71,70,103,0.6581861065137717,0.7245498312373347,0.9711245525103764,0.670511220013605,0.7354438400967148,0.9726348890652912,0.31117414802095805,0.38161162998087494,0.8875150444831885
11,1,0.004082785668028665,119,40,8,71,70,100,0.6590331606637236,0.7256582484798982,0.9716859874401587,0.6714131038379638,0.7365860319327834,0.9731760672657561,0.3355133205413864,0.40862868390746065,0.899649309035363
12,1,0.004760949115052062,121,37,9,70,70,99,0.6718663299794729,0.7371594255919115,0.9734443644215828,0.6718663299794729,0.7371594255919115,0.9734443644215828,0.34393339519108945,0.4179496152142955,0.9037101738007189
13,1,0.0040740805877670806,125,34,8,70,70,101,0.6638720179954509,0.7269877358422455,0.9683381300312037,0.6638720179954509,0.7269877358422455,0.9683381300312037,0.33447886295055146,0.4039096051367105,0.8861368497580727
14,1,0.00462819352500502,117,40,10,71,70,104,0.6524513595623505,0.7170078618462872,0.9670494425732352,0.6644005460350644,0.7276639547161904,0.968701196568953,0.3100175577807698,0.3774933184226671,0.8753781775160935
15,1,0.0039032217738749105,120,39,8,70,70,94,0.6738063898041747,0.7396093459746966,0.9745656649631154,0.6738063898041747,0.7396093459746966,0.9745656649631154,0.38994430345543046,0.46777997524478615,0.9222195935187705
16,1,0.0056599702514265405,119,43,5,72,70,94,0.6591605294125377,0.7314574241687019,0.9781175831533738,0.6856992041331054,0.7544637481366278,0.980554061373925,0.3819562990651667,0.4653608476581135,0.9345719773717803
17,1,0.004067438200165879,115,42,10,73,71,100,0.6424263260828642,0.7150508043455525,0.9746625349304641,0.668603202057954,0.7380786825569566,0.9773740235230736,0.32567231508440886,0.4028287248834237,0.9118207680227323
18,1,0.005639864743794851,121,40,6,71,70,93,0.6718194763314774,0.742209661020346,0.9790376902235327,0.6850042923295674,0.7536036982843972,0.9802428393488503,0.3932449000876407,0.47685820575317295,0.9366553878070002
19,1,0.00403279846376395,121,37,9,70,70,105,0.6686804353829439,0.7331204181641562,0.9715059254795625,0.6686804353829439,0.7331204181641562,0.9715059254795625,0.2974539806041446,0.3655948875901916,0.8773398516271692
20,1,0.005210780471748679,112,46,9,74,71,105,0.6223849900618049,0.6932228624174459,0.9674899225831263,0.6598966034984992,0.7267866152185775,0.9722480458061623,0.2932436885384283,0.3625910926955137,0.8822372765842355
21,1,0.004608303706670565,118,38,11,70,70,100,0.6569196357610133,0.7180445778478728,0.9631966892800079,0.6569196357610133,0.7180445778478728,0.9631966892800079,0.349506981399981,0.41677626624339276,0.8801515234734573
22,1,0.0044288563607371555,118,39,10,70,70,99,0.6631228955706296,0.7260283868885136,0.9678170346854947,0.6631228955706296,0.7260283868885136,0.9678170346854947,0.35198813325501505,0.42238530690079773,0.8924535938338255
23,1,0.005253644483075721,119,38,10,70,70,92,0.6720077136727285,0.7373382138295232,0.9735275626356029,0.6720077136727285,0.7373382138295232,0.9735275626356029,0.4114689052578334,0.489252514340612,0.9261941586072371
