样本范围,问题,候选模型,原变量,中心值_中位数,尺度_四分位距或退化时标准差
序号683前主分析,第二问,线性达标GEE,孕周数,17.285714285714285,7.571428571428569
序号683前主分析,第二问,线性达标GEE,首次BMI,31.217481790000004,4.14637703
序号683后不稳定敏感性,第二问,线性达标GEE,孕周数,14.285714285714286,2.6428571428571423
序号683后不稳定敏感性,第二问,线性达标GEE,首次BMI,31.7136830091578,2.9650782262349935
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,孕周数,15.857142857142858,6.428571428571429
全样本段基线调整覆盖性敏感性,第二问,全样本段调整线性达标GEE,首次BMI,31.3328724074796,3.5895427478899755
序号683前主分析,第三问,线性达标GEE,孕周数,17.285714285714285,7.571428571428569
序号683前主分析,第三问,线性达标GEE,首次BMI,31.217481790000004,4.14637703
序号683前主分析,第三问,线性达标GEE,首次年龄,29.0,5.0
序号683前主分析,第三问,线性达标GEE,首次身高,161.0,7.0
序号683前主分析,第三问,线性达标GEE,首次生产次数,0.0,1.0
序号683后不稳定敏感性,第三问,线性达标GEE,孕周数,14.285714285714286,2.6428571428571423
序号683后不稳定敏感性,第三问,线性达标GEE,首次BMI,31.7136830091578,2.9650782262349935
序号683后不稳定敏感性,第三问,线性达标GEE,首次年龄,29.0,3.5
序号683后不稳定敏感性,第三问,线性达标GEE,首次身高,160.0,5.5
序号683后不稳定敏感性,第三问,线性达标GEE,首次生产次数,0.0,0.6696749358421802
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,孕周数,15.857142857142858,6.428571428571429
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,首次BMI,31.3328724074796,3.5895427478899755
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,首次年龄,29.0,5.0
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,首次身高,161.0,7.0
全样本段基线调整覆盖性敏感性,第三问,全样本段调整线性达标GEE,首次生产次数,0.0,1.0
