分组方案,组别,BMI区间下限,BMI区间上限,组内孕妇数,检测孕周天数,检测孕周_周加天,题面风险等级,数据支持标志,预计已达标比例,预计尚未达标比例,是否帕累托非支配点,是否题面边界点
主分组K=1,1,20.703125,46.875,167,70,10周0天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5587195123755383,0.4412804876244617,1,1
主分组K=1,1,20.703125,46.875,167,71,10周1天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.563828069741371,0.436171930258629,1,0
主分组K=1,1,20.703125,46.875,167,72,10周2天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5689590827664627,0.4310409172335373,1,0
主分组K=1,1,20.703125,46.875,167,73,10周3天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.574110890568852,0.425889109431148,1,0
主分组K=1,1,20.703125,46.875,167,74,10周4天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5792817767623606,0.4207182232376394,1,0
主分组K=1,1,20.703125,46.875,167,75,10周5天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5844699709606672,0.4155300290393328,1,0
主分组K=1,1,20.703125,46.875,167,76,10周6天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5896736504878638,0.4103263495121362,1,0
主分组K=1,1,20.703125,46.875,167,77,11周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.5948909422974877,0.40510905770251227,1,1
主分组K=1,1,20.703125,46.875,167,78,11周1天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6001199251009752,0.3998800748990248,1,0
主分组K=1,1,20.703125,46.875,167,79,11周2天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6053586317053756,0.3946413682946244,1,0
主分组K=1,1,20.703125,46.875,167,80,11周3天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6106050515590018,0.3893949484409982,1,0
主分组K=1,1,20.703125,46.875,167,81,11周4天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6158571335024661,0.38414286649753393,1,0
主分组K=1,1,20.703125,46.875,167,82,11周5天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6211127887212854,0.3788872112787146,1,0
主分组K=1,1,20.703125,46.875,167,83,11周6天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6263698938949285,0.3736301061050715,1,0
主分组K=1,1,20.703125,46.875,167,84,12周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6316262945358545,0.3683737054641455,1,1
主分组K=1,1,20.703125,46.875,167,85,12周1天,12周后至13周前（题面未单列）,主样本观测范围内,0.6368798085107351,0.3631201914892649,1,1
主分组K=1,1,20.703125,46.875,167,86,12周2天,12周后至13周前（题面未单列）,主样本观测范围内,0.6421282297346934,0.3578717702653066,1,0
主分组K=1,1,20.703125,46.875,167,87,12周3天,12周后至13周前（题面未单列）,主样本观测范围内,0.6473693320280575,0.35263066797194254,1,0
主分组K=1,1,20.703125,46.875,167,88,12周4天,12周后至13周前（题面未单列）,主样本观测范围内,0.6526008731237842,0.34739912687621577,1,0
主分组K=1,1,20.703125,46.875,167,89,12周5天,12周后至13周前（题面未单列）,主样本观测范围内,0.6578205988124256,0.3421794011875744,1,0
主分组K=1,1,20.703125,46.875,167,90,12周6天,12周后至13周前（题面未单列）,主样本观测范围内,0.6630262472102484,0.3369737527897516,1,1
主分组K=1,1,20.703125,46.875,167,91,13周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6682155531349511,0.33178444686504893,1,1
主分组K=1,1,20.703125,46.875,167,92,13周1天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6733862525722906,0.32661374742770943,1,0
主分组K=1,1,20.703125,46.875,167,93,13周2天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6785360872159251,0.32146391278407493,1,0
主分组K=1,1,20.703125,46.875,167,94,13周3天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6836628090618477,0.31633719093815227,1,0
主分组K=1,1,20.703125,46.875,167,95,13周4天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.688764185037991,0.311235814962009,1,0
主分组K=1,1,20.703125,46.875,167,96,13周5天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6938380016488983,0.3061619983511017,1,0
主分组K=1,1,20.703125,46.875,167,97,13周6天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6988820696148167,0.3011179303851833,1,0
主分组K=1,1,20.703125,46.875,167,98,14周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7038942284841815,0.2961057715158185,1,0
