组数K,孕妇等权负对数似然,参数计数,贝叶斯信息准则
1,76.84155819041864,10,204.86305450500484
2,74.31883232461418,12,210.0535903982294
3,73.06276503868948,14,217.77744345121351
4,71.93278293073222,16,225.7534668601325
5,71.33614759018648,18,234.79618380387456
6,70.72150657978398,20,243.80288940790308
7,69.95388089312686,22,252.50362565942237
8,69.02227108611564,24,260.87639367023337
9,68.4256357455699,26,269.9191106139755
10,67.61719993683901,28,278.5382266213472
11,67.02056459629328,30,287.5809435650892
12,66.46033927952081,32,296.69648055637776
13,65.86370393897508,34,305.7391975001199
14,65.46286769205238,36,315.173512631108
15,65.00645615665015,38,324.496677185137
16,64.58951414852281,40,333.89878079371584
17,64.18867790160013,42,343.333095924704
18,63.732266366197884,44,352.65626047873303
19,63.32177336693218,46,362.0712621050351
20,62.9209371200095,48,371.5055772360232
21,62.51075895936759,50,380.92120853957294
22,62.10992271244491,52,390.35552367056107
23,61.72150564782828,54,399.81467716616135
24,61.32657695299726,56,409.26080740133284
25,60.938159888380625,58,418.71996089693306
26,60.5822071325795,60,428.2440430101643
27,60.24678142722228,62,437.8091792242834
28,59.903436566586485,64,447.35847712784533
29,59.56801086122927,66,456.92361334196437
30,59.246743973229485,68,466.51706719079834
31,58.91131826787227,70,476.08220340491744
32,58.60358862535654,72,485.7027317447195
33,58.26816291999932,74,495.26786795883856
34,57.96399769347725,76,504.8955251306279
35,57.62857198812004,78,514.460661344747
36,57.33074447388821,80,524.1009939411168
37,57.01528979624753,82,533.706072210669
38,56.7174622820157,84,543.3464048070389
39,56.40712563172225,86,552.9617191312855
40,56.109298117490425,88,562.6020517276554
41,55.84210496305587,90,572.3036530436198
42,55.60650055043087,92,582.0684318432033
43,55.383351543439055,94,591.8581214540532
44,55.17190770793416,96,601.6712214078768
45,54.94875870094234,98,611.4609110187267
46,54.76208567231282,100,621.3235525863012
47,54.538936665321,102,631.1132421971511
48,54.354159516188105,104,640.9796755237187
49,54.15490076528565,106,650.8171456467475
50,53.970123616152755,108,660.6835789733151
51,53.83540201268999,110,670.6501233912231
52,53.69205616164905,112,680.5994193139747
53,53.557334558186284,114,690.5659637318827
54,53.431208913410124,116,700.5497000671638
55,53.3016962769497,118,710.5266624190766
56,53.17557063217354,120,720.5103987543578
57,53.05794538829495,122,730.5111358914342
58,52.94797293677919,124,740.5271786132361
59,52.830347692900595,126,750.5279157503124
60,52.72192992249994,128,760.5470678343446
61,52.606620537835106,130,770.5524366898484
62,52.49820276743445,132,780.5715887738806
63,52.39973331594688,134,790.610637495739
64,52.29131554554622,136,800.6297895797712
65,52.19655368760613,138,810.6762534887245
66,52.08813591720547,140,820.6954055727567
67,51.994054686736085,142,830.7432307366514
68,51.908958911702186,144,840.8090268114172
69,51.8148776812328,146,850.8568519753119
70,51.73891691321961,148,860.940918064119
71,51.66784219636733,150,871.0347562552479
72,51.59188142835414,152,881.1188223440552
73,51.52322132115509,154,891.2174897544905
74,51.45795325275194,156,901.3229412425178
75,51.38929314555289,158,911.4216086529531
76,51.33236575613053,160,921.5437414989419
77,51.27365264487252,162,931.6623029012594
78,51.21672525545016,164,941.7844357472483
79,51.15943951715832,166,951.905851895498
80,51.10251212773596,168,962.0279847414869
81,51.04586677097765,170,972.1506816528038
82,50.99394844695256,172,982.2828326295871
83,50.94237694699224,174,992.4156772544999
84,50.890458622967145,176,1002.5478282312833
85,50.84098405477654,178,1012.6848667197355
86,50.794255300160536,180,1022.8273968353371
87,50.75456378824922,182,1032.9840014363479
88,50.72829068068274,184,1043.1674428460485
89,50.71078945688739,186,1053.3684280232912
90,50.698829550051926,188,1063.5804958344538
91,50.6894566877464,190,1073.7977377346763
92,50.68327512162459,192,1084.021362227266
93,50.678402166767796,194,1094.2476039423861
94,50.673707101824775,196,1104.4742014373335
95,50.66996677018807,198,1114.7027083988937
96,50.66639281173117,200,1124.9315481068134
97,50.66307276243809,202,1135.1608956330608
98,50.6614446932578,204,1145.3936271195337
99,50.65812464396471,206,1155.622974645781
100,50.65666037176513,208,1165.8560337262154
101,50.65571176016823,210,1176.0901241278552
102,50.65571176016823,212,1186.3261117526886
103,50.65571176016823,214,1196.562099377522
104,50.65571176016823,216,1206.7980870023557
105,50.65571176016823,218,1217.034074627189
106,50.65571176016823,220,1227.2700622520229
