参数,估计值,标准误,双侧Wald检验P值,95%区间下限,95%区间上限,尺度解释
截距,-2.826444636580809,0.038754338976336275,0.0,-2.902401745219085,-2.750487527942533,logit浓度位置尺度
孕周标准化,0.34710056149991114,0.029497462984159,5.765081004685904e-32,0.2892865964156561,0.40491452658416616,logit浓度位置尺度
首次BMI标准化,-0.1256703012844897,0.0374489277412919,0.00079141967344935,-0.19906885091706472,-0.05227175165191465,logit浓度位置尺度
首次年龄标准化,-0.08348259785712782,0.040516848588589484,0.03935634926798521,-0.16289416185782574,-0.004071033856429915,logit浓度位置尺度
首次身高标准化,-0.0413234578883262,0.039626331659683336,0.2970278474361695,-0.11898964078074484,0.03634272500409244,logit浓度位置尺度
首次生产次数,0.18192467085208297,0.051533633717520566,0.0004152262361165333,0.08092060477326368,0.28292873693090226,logit浓度位置尺度
随机截距方差,0.1231150986094333,,,,,logit浓度随机效应
随机截距与孕周斜率协方差,0.00013291150659236497,,,,,logit浓度随机效应
随机孕周斜率方差,0.056026668954987424,,,,,logit浓度随机效应
残差方差,0.08945695308537772,,,,,logit浓度事件残差
