复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
检测误差传播,100,100,抽样技术误差标准差,0.004772188210749722,0.003644754434906182,0.0069345739370053755
检测误差传播,100,100,达标事件数,485.0,474.95,491.525
检测误差传播,100,100,一组方案BIC,210.3555098290755,204.66252004976428,216.4892951562148
检测误差传播,100,100,两组方案BIC,215.786559565479,209.23608451452478,222.0742903676182
检测误差传播,100,100,BIC两组挑战胜出标志,0.0,0.0,0.0
检测误差传播,100,100,两组切点,36.43617476,29.716817785,36.999319045
检测误差传播,100,100,两组低BMI组人数,151.0,44.0,153.0
检测误差传播,100,100,两组高BMI组人数,16.0,14.0,123.0
检测误差传播,100,100,固定效应_孕周标准化,0.34927393427145376,0.33731806826481003,0.36458596035783286
检测误差传播,100,100,固定效应_首次BMI标准化,-0.12563870836483176,-0.1500443240416866,-0.10805274453848257
检测误差传播,100,100,固定效应_首次年龄标准化,-0.08575651349950321,-0.10199994207158417,-0.07543963209890868
检测误差传播,100,100,固定效应_首次身高标准化,-0.04330373749468762,-0.057828706825698156,-0.028233719235424816
检测误差传播,100,100,固定效应_首次生产次数,0.18247563585005427,0.1689526930045996,0.20264302938194131
检测误差传播,100,100,一组第1组_12周0天已达标比例,0.6244882555958633,0.6001877178723731,0.6450895250047176
检测误差传播,100,100,一组第1组_13周0天已达标比例,0.6594030985468503,0.6369191216767833,0.6800747794342487
检测误差传播,100,100,一组第1组_25周0天已达标比例,0.920515616808529,0.904678168710557,0.9296877960442511
检测误差传播,100,100,两组第1组_12周0天已达标比例,0.6591257082917509,0.6303463940868355,0.7512385849831328
检测误差传播,100,100,两组第1组_13周0天已达标比例,0.6923982165674639,0.6665765838149115,0.7820216558138745
检测误差传播,100,100,两组第1组_25周0天已达标比例,0.9330529814578067,0.9182043743302343,0.9570605371128497
检测误差传播,100,100,两组第2组_12周0天已达标比例,0.38449013156015893,0.3221501877219603,0.5877336157581633
检测误差传播,100,100,两组第2组_13周0天已达标比例,0.4159767292878571,0.35162559677397787,0.6232065504790265
检测误差传播,100,100,两组第2组_25周0天已达标比例,0.7902414314141234,0.735804458093063,0.9092656568802284
检测误差传播,200,200,抽样技术误差标准差,0.004765503661114475,0.0035902526774033777,0.0070164515933784895
检测误差传播,200,200,达标事件数,484.0,476.0,492.05
检测误差传播,200,200,一组方案BIC,210.3903689644306,204.2051092415421,216.7379209057816
检测误差传播,200,200,两组方案BIC,215.75002850606876,209.3980395337148,222.62427249230254
检测误差传播,200,200,BIC两组挑战胜出标志,0.0,0.0,0.0
检测误差传播,200,200,两组切点,36.43617476,29.716817785,36.999319045
检测误差传播,200,200,两组低BMI组人数,151.0,44.0,153.0
检测误差传播,200,200,两组高BMI组人数,16.0,14.0,123.0
检测误差传播,200,200,固定效应_孕周标准化,0.3510075280288588,0.3368770781295101,0.37095003320029957
检测误差传播,200,200,固定效应_首次BMI标准化,-0.12641162128591527,-0.1466316368311552,-0.10518877600540567
