分组方案,组别,BMI区间下限,BMI区间上限,组内孕妇数,检测孕周天数,检测孕周_周加天,题面风险等级,数据支持标志,预计已达标比例,预计尚未达标比例,是否帕累托非支配点,是否题面边界点
主分组K=1,1,20.703125,46.875,167,70,10周0天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5587195123755383,0.4412804876244617,1,1
主分组K=1,1,20.703125,46.875,167,77,11周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.5948909422974877,0.40510905770251227,1,1
主分组K=1,1,20.703125,46.875,167,84,12周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6316262945358545,0.3683737054641455,1,1
主分组K=1,1,20.703125,46.875,167,85,12周1天,12周后至13周前（题面未单列）,主样本观测范围内,0.6368798085107351,0.3631201914892649,1,1
主分组K=1,1,20.703125,46.875,167,90,12周6天,12周后至13周前（题面未单列）,主样本观测范围内,0.6630262472102484,0.3369737527897516,1,1
主分组K=1,1,20.703125,46.875,167,91,13周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6682155531349511,0.33178444686504893,1,1
主分组K=1,1,20.703125,46.875,167,175,25周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9240632568349624,0.07593674316503762,1,1
固定两组敏感性,1,20.703125,36.43617476,151,70,10周0天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.5898059019497109,0.41019409805028906,1,1
固定两组敏感性,1,20.703125,36.43617476,151,77,11周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6260530038021098,0.3739469961978902,1,1
固定两组敏感性,1,20.703125,36.43617476,151,84,12周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.6624740522749457,0.3375259477250543,1,1
固定两组敏感性,1,20.703125,36.43617476,151,85,12周1天,12周后至13周前（题面未单列）,主样本观测范围内,0.6676493384997324,0.3323506615002676,1,1
固定两组敏感性,1,20.703125,36.43617476,151,90,12周6天,12周后至13周前（题面未单列）,主样本观测范围内,0.6932787054292464,0.3067212945707536,1,1
固定两组敏感性,1,20.703125,36.43617476,151,91,13周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.6983396369808843,0.3016603630191157,1,1
固定两组敏感性,1,20.703125,36.43617476,151,175,25周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.9346807618088774,0.06531923819112262,1,1
固定两组敏感性,2,36.43617476,46.875,16,70,10周0天,早期发现（12周以内，题面称风险较低）,题目窗口内边界外推,0.2867275075331868,0.7132724924668132,1,1
固定两组敏感性,2,36.43617476,46.875,16,77,11周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.31285420949978326,0.6871457905002167,1,1
固定两组敏感性,2,36.43617476,46.875,16,84,12周0天,早期发现（12周以内，题面称风险较低）,主样本观测范围内,0.3418327690620161,0.6581672309379839,1,1
固定两组敏感性,2,36.43617476,46.875,16,85,12周1天,12周后至13周前（题面未单列）,主样本观测范围内,0.346201799468887,0.6537982005311129,1,1
固定两组敏感性,2,36.43617476,46.875,16,90,12周6天,12周后至13周前（题面未单列）,主样本观测范围内,0.3688735085124961,0.6311264914875039,1,1
固定两组敏感性,2,36.43617476,46.875,16,91,13周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.3735678005047317,0.6264321994952683,1,1
固定两组敏感性,2,36.43617476,46.875,16,175,25周0天,中期发现（13至27周，题面称风险高）,主样本观测范围内,0.7678564162634415,0.23214358373655852,1,1
