候选模型,检测孕周天数,检测孕周_周加天,预计达标比例,预计尚未达标比例,相邻日达标比例变化
第二问信息集_线性浓度混合,70,10周0天,0.5563735849488061,0.44362641505119393,
第二问信息集_线性浓度混合,71,10周1天,0.5613657049782084,0.43863429502179163,0.004992120029402303
第二问信息集_线性浓度混合,72,10周2天,0.5663803816795863,0.43361961832041374,0.005014676701377896
第二问信息集_线性浓度混合,73,10周3天,0.5714160741390694,0.42858392586093064,0.005035692459483099
第二问信息集_线性浓度混合,74,10周4天,0.5764711889657032,0.42352881103429685,0.005055114826633789
第二问信息集_线性浓度混合,75,10周5天,0.5815440815658883,0.4184559184341117,0.005072892600185175
第二问信息集_线性浓度混合,76,10周6天,0.5866330576033897,0.4133669423966103,0.005088976037501358
第二问信息集_线性浓度混合,77,11周0天,0.5917363746471549,0.4082636253528451,0.00510331704376521
第二问信息集_线性浓度混合,78,11周1天,0.5968522440083204,0.4031477559916796,0.0051158693611654815
第二问信息集_线性浓度混合,79,11周2天,0.6019788327668104,0.3980211672331896,0.005126588758490036
第二问信息集_线性浓度混合,80,11周3天,0.6071142659869572,0.39288573401304283,0.005135433220146757
第二问信息集_线性浓度混合,81,11周4天,0.6122566291205035,0.3877433708794965,0.005142363133546324
第二问信息集_线性浓度混合,82,11周5天,0.6174039705942576,0.38259602940574244,0.0051473414737540635
第二问信息集_线性浓度混合,83,11周6天,0.622554304578551,0.377445695421449,0.0051503339842934315
第二问信息集_线性浓度混合,84,12周0天,0.6277056139314654,0.3722943860685346,0.005151309352914413
第二问信息集_线性浓度混合,85,12周1天,0.6328558533126413,0.36714414668735873,0.0051502393811758695
第二问信息集_线性浓度混合,86,12周2天,0.6380029524592705,0.3619970475407295,0.005147099146629253
第二问信息集_线性浓度混合,87,12周3天,0.6431448196156895,0.3568551803843105,0.0051418671564189555
第二问信息集_线性浓度混合,88,12周4天,0.6482793451068153,0.3517206548931847,0.005134525491125808
第二问信息集_线性浓度混合,89,12周5天,0.6534044050445028,0.3465955949554972,0.005125059937687526
第二问信息集_线性浓度混合,90,12周6天,0.6585178651547685,0.3414821348452315,0.0051134601102657
第二问信息集_线性浓度混合,91,13周0天,0.663617584712768,0.336382415287232,0.0050997195579994825
第二问信息集_线性浓度混合,92,13周1天,0.6687014205713703,0.3312985794286297,0.005083835858602281
第二问信息集_线性浓度混合,93,13周2天,0.6737672312682291,0.3262327687317709,0.005065810696858852
第二问信息集_线性浓度混合,94,13周3天,0.6788128811953841,0.3211871188046159,0.005045649927154949
第二问信息集_线性浓度混合,95,13周4天,0.6838362448146361,0.3161637551853639,0.0050233636192520414
第二问信息集_线性浓度混合,96,13周5天,0.688835210901268,0.311164789098732,0.004998966086631862
第二问信息集_线性浓度混合,97,13周6天,0.6938076867981244,0.30619231320187557,0.004972475896856454
第二问信息集_线性浓度混合,98,14周0天,0.6987516026616111,0.30124839733838893,0.0049439158634866365
第二问信息集_线性浓度混合,99,14周1天,0.7036649156808716,0.29633508431912836,0.004913313019260568
第二问信息集_线性浓度混合,100,14周2天,0.7085456142512212,0.2914543857487788,0.004880698570349562
第二问信息集_线性浓度混合,101,14周3天,0.7133917220828728,0.2866082779171272,0.004846107831651625
第二问信息集_线性浓度混合,102,14周4天,0.7182013022261189,0.2817986977738811,0.004809580143246062
第二问信息集_线性浓度混合,103,14周5天,0.722972460994374,0.27702753900562604,0.004771158768255068
第二问信息集_线性浓度混合,104,14周6天,0.7277033517668909,0.27229664823310906,0.004730890772516982
第二问信息集_线性浓度混合,105,15周0天,0.7323921786535238,0.2676078213464762,0.0046888268866328575
