复核类型,请求前缀次数,有效次数,统计量,中位数,2.5%分位,97.5%分位
孕妇整簇自助,100,100,一组方案BIC,202.33826066210196,186.48985486744914,220.0037891015295
孕妇整簇自助,100,100,两组方案BIC,206.02851287125083,190.6837294830609,225.0204294096757
孕妇整簇自助,100,100,BIC两组挑战胜出标志,0.0,0.0,1.0
孕妇整簇自助,100,100,两组切点,35.689195755,29.11299756375,37.022638103874996
孕妇整簇自助,100,100,两组低BMI组人数,145.5,35.425,157.04999999999998
孕妇整簇自助,100,100,两组高BMI组人数,21.5,9.95,131.575
孕妇整簇自助,100,100,固定效应_孕周标准化,0.34876505369507305,0.28453647044240493,0.4167132506715888
孕妇整簇自助,100,100,固定效应_首次BMI标准化,-0.11870976955952535,-0.19630320573793783,-0.05880436183805102
孕妇整簇自助,100,100,固定效应_首次年龄标准化,-0.07795781189651588,-0.16668570727732712,-0.0027095682440566775
孕妇整簇自助,100,100,固定效应_首次身高标准化,-0.05386489576538511,-0.13640056133870537,0.04098420853575336
孕妇整簇自助,100,100,固定效应_首次生产次数,0.18075762924667169,0.07163249502807117,0.2762637985099957
孕妇整簇自助,100,100,一组第1组_12周0天已达标比例,0.6325694939424593,0.5620313583824709,0.693012254964976
孕妇整簇自助,100,100,一组第1组_13周0天已达标比例,0.6714739836434285,0.601927960354647,0.7250907228895112
孕妇整簇自助,100,100,一组第1组_25周0天已达标比例,0.9243062517822814,0.8957359958929003,0.9524762249039572
孕妇整簇自助,100,100,两组第1组_12周0天已达标比例,0.6876554531028787,0.6036448883941625,0.8161376750175671
孕妇整簇自助,100,100,两组第1组_13周0天已达标比例,0.7237653245053426,0.6392942706395923,0.8424342202635451
孕妇整簇自助,100,100,两组第1组_25周0天已达标比例,0.9486612878028613,0.9122594094925651,0.9726925952790868
孕妇整簇自助,100,100,两组第2组_12周0天已达标比例,0.43058945854428965,0.2664485749927082,0.6244342907803622
孕妇整簇自助,100,100,两组第2组_13周0天已达标比例,0.46731156579721644,0.2918583690182323,0.6603495546277497
孕妇整簇自助,100,100,两组第2组_25周0天已达标比例,0.8416967596362508,0.6571141711970108,0.9264310990137302
孕妇整簇自助,200,200,一组方案BIC,202.28219822653392,185.80157960727524,219.13669223608605
孕妇整簇自助,200,200,两组方案BIC,206.15521054254538,187.69765263679207,224.82848964214904
孕妇整簇自助,200,200,BIC两组挑战胜出标志,0.0,0.0,1.0
孕妇整簇自助,200,200,两组切点,35.689195755,29.093920005,37.063880299750004
孕妇整簇自助,200,200,两组低BMI组人数,145.5,33.875,158.0
孕妇整簇自助,200,200,两组高BMI组人数,21.5,9.0,133.12500000000003
孕妇整簇自助,200,200,固定效应_孕周标准化,0.3460006813770642,0.28065289005074406,0.395968722044599
孕妇整簇自助,200,200,固定效应_首次BMI标准化,-0.1218770690287283,-0.21697777186614917,-0.054767647908007804
孕妇整簇自助,200,200,固定效应_首次年龄标准化,-0.08270978121252182,-0.17163339605912883,0.0030738456764243085
孕妇整簇自助,200,200,固定效应_首次身高标准化,-0.04992442132630759,-0.1286980299518507,0.04261023537803515
孕妇整簇自助,200,200,固定效应_首次生产次数,0.18188378069976718,0.07952807803706775,0.27862844253793906
孕妇整簇自助,200,200,一组第1组_12周0天已达标比例,0.6319972587587366,0.5637641808895665,0.6938505737603051
孕妇整簇自助,200,200,一组第1组_13周0天已达标比例,0.670266415849035,0.6020297769472797,0.7263773233783464
孕妇整簇自助,200,200,一组第1组_25周0天已达标比例,0.9244090736582308,0.887494986542552,0.9546581604594329
孕妇整簇自助,200,200,两组第1组_12周0天已达标比例,0.6898529284608199,0.6076038802796981,0.8236751823079719
孕妇整簇自助,200,200,两组第1组_13周0天已达标比例,0.7260547033042737,0.6455659911405095,0.8509716773263823
