自助序号,有效标志,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
1,1,200.99610168511617,202.7114330036328,0,36.738591400000004,148,19,0.3310061765508076,-0.10199947466580674,-0.14452145777899997,0.027097293254735116,0.289632999405731,0.636762647536236,0.6733544873048237,0.9106564909269159,0.6787515413555727,0.7142427874418034,0.9258732932758386,0.4074015512494532,0.44224579539280273,0.7976629645726094,
2,1,190.00209025916186,196.40364124781263,0,30.11780753,62,105,0.41028294269086335,-0.10700334772295178,-0.09818353009889708,-0.034334455155835185,0.19333019411891675,0.6223507055124742,0.6658284819555627,0.9477090961870483,0.688801682410106,0.730722566779845,0.9645112234939412,0.5654753471641183,0.6092200435226784,0.9301228407594895,
3,1,205.65966008693638,211.58754550760221,0,31.41103571,91,76,0.36537033464888724,-0.11620139539288026,-0.04895132065314,-0.08099782108774654,0.2669209439686341,0.6110034229200902,0.6496573448898223,0.9201077379356147,0.6909603461142566,0.7279774856420166,0.9465017738928273,0.5171516326791814,0.555389798522927,0.8806533573195775,
4,1,197.1343625411696,202.44228861214071,0,36.43617476,147,20,0.3606791327085762,-0.10885843537535027,-0.07624973709954022,-0.021035175973765387,0.23315418940105323,0.650284807985014,0.6851766706579121,0.9309262691685268,0.6850144895513248,0.7186978642384094,0.9422013812665615,0.4273693831360289,0.463031880106613,0.828112470860321,
5,1,189.79823230088152,193.71478232633825,0,36.43617476,149,18,0.3455013831904777,-0.1160132930935873,-0.07698637074542962,0.004766873681067676,0.20762594090945152,0.6921213349197407,0.7263188128552817,0.9431021085153312,0.7247779537287395,0.7573424955415583,0.952437186285829,0.464324221961635,0.5026217930804155,0.8524331405537625,
6,1,186.79640621144327,192.25257153239772,0,29.756464415,49,118,0.3772360243371047,-0.09847478816432936,-0.0880172409365841,-0.07265471158292922,0.16832580548533513,0.6638010610522118,0.7032709041472605,0.9482776564097697,0.7158913590966293,0.7541119085524868,0.9629430270258444,0.6076391879947314,0.6478897682126449,0.9302991441263658,
7,1,216.21764105777302,222.6411018384715,0,36.43617476,151,16,0.3274403629715527,-0.07070942861615033,-0.06284020508113713,-0.14413544197650635,0.1901134591789375,0.5774422560307505,0.612962916414233,0.8952222803020055,0.6064125337639038,0.6419032731364286,0.9074660932838199,0.4696248511786283,0.5039963528254812,0.8453436136693405,
8,1,207.830000213539,214.18851149385938,0,36.09730783,149,18,0.32914010247470954,-0.10181125973471257,-0.07752876490228454,-0.1062028504235579,0.21202810435253264,0.5821528263297663,0.6165192128307824,0.9107948845230595,0.6223309419079605,0.6570514776107,0.9279880664900031,0.4403158047646787,0.47048519416166606,0.8308013553946741,
9,1,210.4080218136175,213.52900787424215,0,31.269159645000002,78,89,0.43318670389957786,-0.11079266726195572,-0.0014499214196513578,-0.10174655734922443,0.11020668937727868,0.5959261002311105,0.641183541139208,0.9367468461968923,0.6830223811530317,0.7245042848725509,0.9584866376285683,0.4726988535924878,0.5195056465761599,0.8954652934074282,
10,1,196.84478738792185,198.95521720246978,0,36.226429295,147,20,0.3521827321941244,-0.1381289924579927,-0.055629453209050786,-0.01609662204271838,0.16977006832129884,0.653090415796854,0.688796390163899,0.9215725905938046,0.7003431503843204,0.7346484640142514,0.9377995373998937,0.3963888247177939,0.42956871435666566,0.7923738964551484,
11,1,201.20693008407423,205.35847178209093,0,36.43617476,151,16,0.333293787342372,-0.16389728443297755,-0.07287698167998977,-0.0957558286099932,0.2499237643090208,0.6196590106368972,0.6558223435503346,0.9176984207501829,0.6573421220871171,0.6928044746054757,0.9311465807759546,0.34711944562248814,0.3780423259045208,0.773495319079445,
12,1,210.40783747145102,215.03178819268703,0,36.43617476,148,19,0.36229775580901263,-0.1153077352412084,-0.09247111660271223,0.03921231616633515,0.14096970454887442,0.6138805373561309,0.6528443027596034,0.9219658976987664,0.6418749348200163,0.6801867090643082,0.9314395619118311,0.37324498651606497,0.40992703269098435,0.8079535916662391,
13,1,192.6751961538232,200.68939582454766,0,36.783008655,147,20,0.3481447138285407,-0.09787544179181991,-0.08878585194529083,0.015340836480790338,0.18933423418859674,0.6439706807276033,0.6848231205833022,0.9445397627693186,0.6629181007526136,0.7032736356698064,0.9498654205863319,0.5134249757561393,0.55497276673946,0.8987124964312778,
14,1,198.38689263253147,201.82566332460277,0,29.75646442,53,114,0.311418052340937,-0.15226889062311116,-0.17138407833193192,-0.030579904653609637,0.1488838886276137,0.6482728005450602,0.6826030944076757,0.9324113058612875,0.7488230421061988,0.7805898396441653,0.9645977978241391,0.5996626494406686,0.6342429680671443,0.9126442050114624,
15,1,216.17354705478988,208.35089643033245,1,36.43617476,142,25,0.34665687574246884,-0.19978206330258386,-0.08309669078302188,0.07104253952196252,0.19323353355304584,0.5881252379153235,0.6295604184802591,0.9208667578697907,0.6613944249277702,0.701124625942465,0.9438256237258025,0.2737932203118185,0.3061913796695358,0.7473678713499186,
16,1,198.18175302606227,203.78158065111097,0,35.475127404999995,142,25,0.3126394548054238,-0.09921237860538522,-0.10629982191094475,-0.05788100831926935,0.2600349134066197,0.6472893044319397,0.680852614960707,0.9253947831473806,0.6884638353234886,0.721238085084114,0.9404045420881475,0.39478567527384056,0.4242324637050116,0.7823704600798645,
17,1,184.40375693074657,186.32810627403973,0,36.226429295,151,16,0.24111413800197803,-0.1353735150359172,-0.16701946624334754,-0.03674731307401529,0.19191452360082542,0.7199983161227136,0.7453082654708169,0.9164557090877683,0.7657582820258849,0.7892493529569037,0.935066119367878,0.2974638437379636,0.3192667962843761,0.6358640244152598,
18,1,208.3162311388596,213.15481879865723,0,35.689195755,142,25,0.3865863243507178,-0.13418899289936775,-0.11467693968365571,0.04258734925094132,0.12515728784743488,0.6171566277926434,0.6591321359810112,0.9362784097848135,0.6571740220496903,0.6974819955791729,0.947107727678224,0.42865496241388107,0.47240699834342215,0.8660726898960364,
19,1,199.6056529886326,205.96052770009203,0,35.689195755,147,20,0.3112290121497504,-0.07963290971738939,-0.015830277324209743,-0.07664820238536177,0.2254715254399698,0.6436217117114645,0.6779068718547779,0.9176611095406088,0.6761544903404898,0.7098783226901532,0.9299532451661994,0.4325239546746983,0.4641379374327669,0.808941107308646,
20,1,197.51160147554566,200.40973188367855,0,31.71929008,108,59,0.3410497355886237,-0.10655320590991282,-0.050532163792625026,-0.024915412100989853,0.19984398740608075,0.6606460223851892,0.696720791478105,0.926223896315395,0.7612518754038778,0.7930127421101135,0.9570509507116433,0.5067550224702971,0.5437552801686475,0.8611628204358281,
21,1,192.82203090481434,194.43646860116382,0,36.43617476,151,16,0.2929167878300427,-0.19259433387820854,-0.12180799427102289,-0.08403365664782826,0.12378976479545634,0.6896204964479767,0.7215011447895211,0.922742383375325,0.7346638490638525,0.764840305395393,0.9386970151177233,0.3156582228597842,0.3424777889249825,0.7074274493818065,
22,1,199.56393824687393,203.8007060481006,0,36.39922521,154,13,0.28776913132837034,-0.13449303942493643,-0.06757695842864835,-0.08770128371096156,0.1545739104917028,0.6768514984389953,0.7061070667086601,0.9238959060408142,0.7034740793210325,0.7321775225096718,0.9345569924500886,0.3449328506503413,0.3680600812374649,0.7047229937552218,
23,1,207.51093118470604,214.5539729233451,0,29.716817785,40,127,0.37133895828357844,-0.07270816047142416,-0.09502597113773756,-0.1049165540977131,0.2529745044336742,0.5871147635287888,0.6244995539528874,0.904800248877908,0.7199556854619866,0.7549499788655993,0.9526275309127523,0.5504605690859278,0.5875746487330571,0.8875918381713207,
24,1,201.57971215759883,204.98265013490493,0,29.756464415,51,116,0.33906112495780943,-0.17400162831910124,-0.0942892980970648,-0.019449026142096683,0.14793050452711898,0.6684620216596103,0.7030988264049947,0.9091836030000197,0.8994997855490032,0.9164600789370566,0.9779509988416989,0.6026224454954756,0.6393804067363784,0.8840110735938582,
25,1,201.26482249047515,208.17914498881822,0,28.813373329999997,18,149,0.3870542849072481,-0.09601129957083257,-0.07721252646027854,-0.041905925965772,0.18964785177466434,0.6396218915165669,0.679848754606245,0.9296425752751512,0.7769522327189297,0.8097932053666923,0.965919155433618,0.6195738328715057,0.6604292749008444,0.9233348792607841,
26,1,197.29505828645694,200.4894367216384,0,35.689195755,142,25,0.3470706100940128,-0.10733059026454142,-0.0721226223468279,-0.11379415376998162,0.08099696312807615,0.64894141279797,0.6884619277505837,0.9278845888793135,0.7048388553179584,0.7424082325223188,0.9448292491260344,0.4172805602362063,0.4551401530723291,0.8273943005873121,
27,1,196.71221729346377,203.33774675641843,0,36.783008655,158,9,0.36922535906210957,-0.11087224527089061,-0.15393470929627592,-0.047473306301974494,0.20448516981994852,0.6032661406495464,0.6435405402028944,0.9335837910793814,0.6218256937142405,0.6619094423367303,0.9395444898704086,0.30515460900044744,0.3358039306913782,0.7681459506133478,
28,1,210.49485848208852,212.7824154699718,0,32.93975158,121,46,0.3010228763355856,-0.1428752891154453,-0.12600708064135865,0.025000369002854135,0.23680292583979462,0.6500452039265012,0.6802111610703137,0.8976412057152842,0.7137231878769628,0.7419318691380682,0.9239549473971954,0.5124449599855627,0.5436752756095461,0.8266552125970349,
29,1,188.0861808753958,189.84736037204317,0,36.43617476,154,13,0.38906999022564664,-0.13330877117737314,-0.0783868588907472,0.036594077016019765,0.16877443110689067,0.6338254297137544,0.6797728154761331,0.9456208923108957,0.6731710263637478,0.7176741982837124,0.9551718263337442,0.3214912117600424,0.36182975571153686,0.8162597044705766,
