重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
1,1,0.005514184765269046,486,204.2137635529677,210.55187660411053,0,36.43617476,151,16,0.3554797938555834,-0.10082394532551983,-0.10255228570412404,-0.06696331061593565,0.1991056423263662,0.6311233222277258,0.6645074750183628,0.9243509895711954,0.6580746174256793,0.6911518878585411,0.9346433945979099,0.3971902601662328,0.4260398024269928,0.790871421635416,
2,1,0.004596228240775824,494,202.9211053232369,208.54307071871273,0,36.696902405,152,15,0.3456729560342459,-0.12370394761962576,-0.07772610062401873,-0.043818529606836264,0.1741368891968804,0.6450038119784314,0.6811101556340348,0.9271600800962911,0.674025808084472,0.7094672747521384,0.9371007130554189,0.43353814604916013,0.4678417516131603,0.8261561964532217,
3,1,0.004795181620145966,482,211.20779419403212,214.43361081816738,0,31.269159645000002,90,77,0.33819869990593665,-0.13392985568431126,-0.08672974432165537,-0.04684673627900591,0.1795718664834896,0.6351745146891677,0.6696547111635301,0.9137517587195403,0.7528859521116975,0.7828431611104533,0.9533289868122139,0.5191517789439801,0.5545006892892128,0.8612880015735659,
4,1,0.004179521674603277,485,210.3377847837565,217.28002807024785,0,29.756464415,48,119,0.3495038944752693,-0.12277577475925232,-0.08828907609297887,-0.05234219510773766,0.18028183905936784,0.6234480657480101,0.6588141493883213,0.9246179940680787,0.7228204079212895,0.7551680833530939,0.9568121052135288,0.5839448260881952,0.6197705974981955,0.9088306336309958,
5,1,0.004728318966828087,484,212.8948193100071,218.71852985159643,0,36.999319045,153,14,0.3490726124088513,-0.12898243403985188,-0.07622000993032528,-0.025640641401410466,0.18964397977240058,0.636261915993491,0.667087157181563,0.9213565245206045,0.6624500450890776,0.6923410202552249,0.9311156035519667,0.3430106631642968,0.3745127244115305,0.7493853580470452,
6,1,0.006005917542351808,477,213.00826743825846,217.8023697371999,0,36.43617476,151,16,0.3627717966257473,-0.12014016913658469,-0.0772987678059664,-0.04240062273743336,0.17888775735563095,0.5990876490440655,0.6364271920851557,0.9201080860449791,0.6308024713200855,0.6676999868241263,0.9315159976322404,0.3485569750216557,0.380657740064549,0.7825027072854571,
7,1,0.004483773932620183,479,213.93311350443705,220.5277826730993,0,36.43617476,151,16,0.3469524765231099,-0.12450315519958421,-0.0817183165464765,-0.03833592471062181,0.18769996113434742,0.6187160044189158,0.6533660610181307,0.9123664402983916,0.6450024686667827,0.679067052652262,0.9224060907181386,0.43155258487900333,0.46571049562596245,0.8182391096719266,
8,1,0.005547872792986714,491,208.20500395836078,213.11030712473809,0,36.43617476,151,16,0.35258290249631913,-0.1245246672648068,-0.07936205526733747,-0.03765203039783497,0.17040415863399241,0.6435857859165952,0.6789326440773178,0.9288345536843574,0.6743342012155685,0.7089535285701413,0.9393388350280368,0.34936054133299355,0.379800981488039,0.7674383900506514,
9,1,0.005207869300741737,482,214.52685568078357,218.9746164094517,0,36.999319045,153,14,0.34092043298739916,-0.12642935510038913,-0.08759079602578713,-0.05483892735280399,0.18409463414011987,0.6222638098746944,0.6577364412164314,0.9120903956190871,0.6548835074406517,0.689635180117888,0.9243092426963291,0.33720769492160857,0.3681256561402853,0.7501807500263068,
10,1,0.00456401968605737,483,210.47154609004656,216.589159579269,0,36.43617476,151,16,0.33689451339704274,-0.1269506115058261,-0.09455252776627214,-0.03796324419387628,0.20279189511427922,0.6337119443593121,0.6680705408103046,0.9099119674191928,0.6601107482186541,0.6938705231629646,0.9201020141319247,0.4354566778126784,0.46903145088926285,0.8099001203157054,
11,1,0.003744830704611922,484,210.81596777455226,215.95744875111905,0,36.43617476,151,16,0.35580104587542777,-0.12476454673369702,-0.0852579540398419,-0.039695749037250906,0.1779904755859878,0.6129770987152102,0.6497413281046251,0.9187415943859526,0.6445864435464254,0.6809816323755287,0.9303638371864573,0.3444740708743643,0.37438169138530664,0.7663108475042704,
12,1,0.003984912244306306,487,210.4777022652637,215.96029568281887,0,36.43617476,151,16,0.36064608038385737,-0.12398395316370242,-0.09283354553819684,-0.0450325437607901,0.1777337717798146,0.6212200049857126,0.6582648538203835,0.9239149655715275,0.6520791822377194,0.6885485637440414,0.9346353962562367,0.34033748593309565,0.37159950821426807,0.7703376716215562,
13,1,0.006485733828687036,476,216.7153931683541,221.96082166644624,0,36.43617476,151,16,0.3406875276087532,-0.13050250457872523,-0.06181983695904263,-0.04393826750832668,0.18803988168792038,0.6100061522314522,0.6448597335014447,0.9037821442053683,0.6400155921865667,0.674371205407643,0.9158167257160428,0.33324712417959446,0.3628699632305987,0.7393517668009812,
