校准十分位组,记录数,孕妇数,概率下限,概率上限,等孕妇权平均预测概率,等孕妇权实际异常比例
1,61,40,0.00013761375160457548,0.007493435789594107,0.004215196345066418,0.03589334548769371
2,60,45,0.007518061199997935,0.015590434709996657,0.011384748840224631,0.02336448598130841
3,61,49,0.015885287425806034,0.02539309559872285,0.021118998557241746,0.04291344329294994
4,60,47,0.025507348422829496,0.03778388000293905,0.03164007821743363,0.045004592305337286
5,61,55,0.037833597450769196,0.05399822923360127,0.04496109201707761,0.07007396696512987
6,60,46,0.05440395696730771,0.07701056118145382,0.06465105856926866,0.07877057440376219
7,60,46,0.07725540314777388,0.11417330266588316,0.09387542172726585,0.018134715025906738
8,61,44,0.11477693170688308,0.15518696178221517,0.13342433579290044,0.06335362843508312
9,60,46,0.15537126122414943,0.2518715821691742,0.20193429219772557,0.31439454054911925
10,61,47,0.2526879665817928,0.9637711867374789,0.4693888603941664,0.4354485776805251
