特征,训练中位数填补值,训练标准化均值,训练标准化尺度,输入变换
孕周数,17.714285714285715,18.345926800472252,4.365844836394786,原值
孕妇年龄,30.0,30.01818181818182,4.3054453316854735,原值
孕妇体质指数,31.475280775,32.16127756190909,2.949380825543792,原值
原始读段数_对数,15.338902663459546,15.345218967852038,0.19886011891764546,log(1+x)
参考基因组比对比例,0.801418,0.7957746598363636,0.017715310200321892,原值
重复读段比例,0.0302392,0.03040611532231405,0.0033513010429387924,原值
唯一比对读段数_对数,15.057295776563667,15.061708593286355,0.20688219625920984,log(1+x)
总GC含量,0.4010638,0.401088925785124,0.004426105388115723,原值
13号染色体Z值,0.303587253,0.4347932442297521,1.3293145902340457,原值
18号染色体Z值,0.700946782,0.8040434034198347,1.2831972988710616,原值
21号染色体Z值,-0.141454103,-0.11744321538181819,1.1240244289048573,原值
X染色体Z值,0.527573404,0.4772221146198347,1.2994453327468662,原值
X染色体浓度,-0.007788753,-0.006850891368595041,0.0179831696710763,原值
13号染色体GC含量,0.378912628,0.3790796892776859,0.004384305729119204,原值
18号染色体GC含量,0.391897202,0.3919494467454545,0.004180762643526841,原值
21号染色体GC含量,0.401256502,0.4012309752826446,0.005040558587150537,原值
过滤读段比例,0.022705113,0.023593128084297522,0.009399063317315793,原值
