参数,标准化模型估计值,原变换尺度估计值,非零标志,优势尺度倍数
截距,-3.0182393877830944,-45.157410072454724,1.0,
孕周数,0.3513962142429724,0.08048756367007016,1.0,1.421050254735528
孕妇年龄,-0.424496374914846,-0.09859523050747142,1.0,0.6540991229179791
孕妇体质指数,-0.2877236322998248,-0.09755391023360835,1.0,0.749968830761666
原始读段数_对数,0.0,0.0,0.0,1.0
参考基因组比对比例,0.16243512840966132,9.169194700678164,1.0,1.1763720028507052
重复读段比例,-0.1812037871052635,-54.069683619459006,1.0,0.8342653288550443
唯一比对读段数_对数,-0.017886755834055156,-0.08645865210964902,1.0,0.9822722626632063
总GC含量,-0.1633122921352806,-36.897515493820116,1.0,0.849325909192708
13号染色体Z值,-0.04622093511747348,-0.03477050162319786,1.0,0.9548309831897993
18号染色体Z值,0.21716079232318622,0.16923414077807142,1.0,1.2425438775928928
21号染色体Z值,0.23457942986133645,0.20869602459609207,1.0,1.2643768977289997
X染色体Z值,-0.4480476822972386,-0.34479917777696845,1.0,0.6388742203151608
X染色体浓度,-0.8863565458578198,-49.28811561420201,1.0,0.41215468714691994
13号染色体GC含量,3.29136907682657,750.7161407486511,1.0,26.879638766720458
18号染色体GC含量,1.0286540730130158,246.0446001654032,1.0,2.7972983405546
21号染色体GC含量,-4.081012857968997,-809.6350409203401,1.0,0.016890349460982258
过滤读段比例,0.30727204406379505,32.691772966111536,1.0,1.3597108190186142
正则强度倒数,21.54434690031882,,,
训练内MCC参考阈值,0.6440717655716327,,,
