请求前缀次数,有效次数,路线,统计量,中位数,2.5%分位,97.5%分位
100,100,三标准差Z值规则基准,灵敏度,0.034574208123933796,0.0,0.06680742407755463
100,100,三标准差Z值规则基准,特异度,0.9429326674226941,0.9098026694294292,0.96513571460145
100,100,三标准差Z值规则基准,精确率,0.066619339287778,0.0,0.19054195804195773
100,92,三标准差Z值规则基准,F1分数,0.047972587093089665,0.015165774891499652,0.09179577340048392
100,100,三标准差Z值规则基准,马修斯相关系数,-0.03716517556525907,-0.0871129417881953,0.04518417913215384
100,100,三标准差Z值规则基准,ROC曲线下面积,0.5338041838616454,0.438947664122723,0.6068306005196639
100,100,三标准差Z值规则基准,PR曲线下面积,0.1268329882442339,0.08479487805732627,0.1809655782179655
100,100,L1正则多因素逻辑回归,灵敏度,0.30071581976514417,0.17601485403924805,0.4040183809525629
100,100,L1正则多因素逻辑回归,特异度,0.9688355920128608,0.9516778972802487,0.9832375018548158
100,100,L1正则多因素逻辑回归,精确率,0.5367338425841437,0.40001058297048864,0.7127466887417219
100,100,L1正则多因素逻辑回归,F1分数,0.38216305925082766,0.24074599123342394,0.4955540807712812
100,100,L1正则多因素逻辑回归,马修斯相关系数,0.34191423819504485,0.21770910809367713,0.46531784834860507
100,100,L1正则多因素逻辑回归,ROC曲线下面积,0.8004641358991685,0.7332116942935523,0.8569172656721545
100,100,L1正则多因素逻辑回归,PR曲线下面积,0.49672289294286986,0.3526942072189469,0.6171200026988948
100,100,L1正则多因素逻辑回归,布里尔分数,0.07676885208809633,0.06276686424300264,0.0997166298507197
100,100,L1正则多因素逻辑回归,对数损失,0.2797643635571391,0.22417486241233295,0.35369627662776026
100,100,L1正则多因素逻辑回归,校准截距,-0.1138030420787576,-0.7094311627580606,0.32974054141628384
100,100,L1正则多因素逻辑回归,校准斜率,0.8742987403715965,0.6411327657947744,1.1455375286132568
100,100,贝叶斯信息准则剪枝决策树,灵敏度,0.3288426957932461,0.2007947661409158,0.4643046876525244
100,100,贝叶斯信息准则剪枝决策树,特异度,0.9234430563929084,0.898789684317289,0.9407202961870279
100,100,贝叶斯信息准则剪枝决策树,精确率,0.33588509236989056,0.21905163827560198,0.5045972782689991
100,100,贝叶斯信息准则剪枝决策树,F1分数,0.3299982760029449,0.21236320665366762,0.4600397600110968
100,100,贝叶斯信息准则剪枝决策树,马修斯相关系数,0.24422118492144268,0.12666427479794948,0.3983809481288875
100,100,贝叶斯信息准则剪枝决策树,ROC曲线下面积,0.4615679385583282,0.35069895350969216,0.5666713955899885
100,100,贝叶斯信息准则剪枝决策树,PR曲线下面积,0.17080766066238964,0.10726062453261295,0.26880629938275247
100,100,贝叶斯信息准则剪枝决策树,布里尔分数,0.09522837886673399,0.07702357860518874,0.1223045891266546
100,100,贝叶斯信息准则剪枝决策树,对数损失,0.3299267399823522,0.2746051417585767,0.4132112073485148
100,100,贝叶斯信息准则剪枝决策树,校准截距,-0.6986018717380786,-1.2577517115323853,-0.12439478215172699
100,100,贝叶斯信息准则剪枝决策树,校准斜率,0.6279718995740344,0.3803077401707648,0.919613987965821
200,200,三标准差Z值规则基准,灵敏度,0.031648504521214926,0.0,0.07750504517370924
200,200,三标准差Z值规则基准,特异度,0.9431453199321196,0.9115585339567138,0.965057356889398
200,200,三标准差Z值规则基准,精确率,0.06791131786668138,0.0,0.18339729036378594
200,186,三标准差Z值规则基准,F1分数,0.04628164776110623,0.014662707756106287,0.10256002234243486
200,200,三标准差Z值规则基准,马修斯相关系数,-0.036809023760219495,-0.08671761913311746,0.04399820400797212
200,200,三标准差Z值规则基准,ROC曲线下面积,0.5353977498732192,0.44689396050935243,0.6151699397599693
200,200,三标准差Z值规则基准,PR曲线下面积,0.1283641998514372,0.0885816037903425,0.18603544118061174
200,200,L1正则多因素逻辑回归,灵敏度,0.2952877900138021,0.18502240610368753,0.3975131567512857
200,200,L1正则多因素逻辑回归,特异度,0.9690411841791164,0.9511565110827201,0.9843889668585356
200,200,L1正则多因素逻辑回归,精确率,0.545239121068505,0.3877301463160296,0.7298493183448935
200,200,L1正则多因素逻辑回归,F1分数,0.38216305925082766,0.25248084101705104,0.5025956406612587
200,200,L1正则多因素逻辑回归,马修斯相关系数,0.3534200124985961,0.2167182918024986,0.46603998938375846
200,200,L1正则多因素逻辑回归,ROC曲线下面积,0.7964438562617399,0.7264101022881503,0.8692573864727361
200,200,L1正则多因素逻辑回归,PR曲线下面积,0.49881947400722426,0.36306672053332234,0.6185535788534015
