自助序号,异常类型,路线,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率
1,T13,对应染色体三标准差Z值规则,0.4,4.780952380952382,8.366666666666667,133.45238095238096,0.045627376425855515,0.9654138964483792,0.07720588235294117,0.05735745988391942,0.014179819343164025,0.5055206364371173,0.9105604146420474,0.5440680992011792,0.10054283017504854,0.05963718820861677,0.03524457402008422,,,,,,
1,T13,L1正则多因素逻辑回归,1.5,5.45,7.266666666666667,132.78333333333333,0.1711026615969582,0.960573908849771,0.2158273381294964,0.19088016967126195,0.14692584091247884,0.5658382852233645,0.9134920634920635,0.5773796152713159,0.21765933292825068,0.05963718820861677,0.04727891156462585,0.05424554233326628,0.24931228065783712,-1.5503297263492526,0.32458445716792256,0.05963718820861677,0.04398780003340693
1,T18,对应染色体三标准差Z值规则,0.0,8.214285714285714,14.733333333333333,124.05238095238096,0.0,0.9378960253456221,0.0,,-0.08119659601663397,0.46894801267281105,0.8438937479753806,0.5695842271461935,0.11666194329304846,0.1002267573696145,0.055879494655004865,,,,,,
1,T18,L1正则多因素逻辑回归,7.1,4.916666666666666,7.633333333333334,127.35,0.48190045248868774,0.962827620967742,0.5908460471567268,0.5308411214953271,0.4874590922268282,0.7223640367282149,0.914625850340136,0.8547127423394918,0.6717077522703141,0.1002267573696145,0.08174603174603173,0.053054872128941354,0.21329379338173465,-0.25725251253790593,0.7995829997995577,0.1002267573696145,0.09767622076829344
1,T21,对应染色体三标准差Z值规则,0.0,0.0,2.3333333333333335,144.66666666666669,0.0,1.0,,,,0.5,0.9841269841269841,0.6738385215837486,0.03562323911606792,0.015873015873015872,0.0,,,,,,
1,T21,L1正则多因素逻辑回归,0.25,0.5,2.0833333333333335,144.16666666666666,0.10714285714285714,0.9965437788018433,0.3333333333333333,0.16216216216216214,0.18189335989946678,0.5518433179723502,0.9824263038548752,0.5240947992100065,0.12605708258400247,0.015873015873015872,0.00510204081632653,0.014953980966995654,0.08329242542791176,-2.1149916157685573,0.5300698722254067,0.015873015873015872,0.024739222295030297
2,T13,对应染色体三标准差Z值规则,0.4,3.1666666666666665,5.416666666666667,138.01666666666665,0.06876790830945559,0.9775705347656711,0.11214953271028039,0.0852575488454707,0.05871025066931611,0.5231692215375634,0.941609977324263,0.5473246640086209,0.07675338765074345,0.039569160997732424,0.024263038548752835,,,,,,
2,T13,L1正则多因素逻辑回归,0.75,4.7,5.066666666666666,136.48333333333335,0.12893982808022922,0.9667099515995751,0.13761467889908258,0.1331360946745562,0.09868691887506327,0.5478248898399022,0.933560090702948,0.5401732998374025,0.15250556275047847,0.039569160997732424,0.03707482993197279,0.03755141185874786,0.18472062607638007,-2.2279547358648073,0.24789019448620472,0.039569160997732424,0.038090192396323164
2,T18,对应染色体三标准差Z值规则,0.0,4.476190476190475,9.933333333333334,132.5904761904762,0.0,0.967342968315731,0.0,,-0.04770810291387969,0.4836714841578655,0.9019760285066407,0.6064346682938445,0.09237880879281016,0.0675736961451247,0.030450275348234534,,,,,,
2,T18,L1正则多因素逻辑回归,3.95,5.5,5.983333333333333,131.56666666666666,0.3976510067114094,0.9598735408560312,0.417989417989418,0.40756663800515913,0.36590900234691975,0.6787622737837202,0.9218820861678003,0.8352185370041523,0.5472596774417612,0.0675736961451247,0.06428571428571428,0.046046619909967834,0.18187175586106158,-0.7191412158736763,0.7315780643383768,0.0675736961451247,0.08078039893424242
2,T21,对应染色体三标准差Z值规则,0.0,0.0,1.6666666666666665,145.33333333333331,0.0,1.0,,,,0.5,0.9886621315192744,0.6186839231105284,0.0227238446941126,0.011337868480725622,0.0,,,,,,
2,T21,L1正则多因素逻辑回归,0.0,0.0,1.6666666666666665,145.33333333333331,0.0,1.0,,,,0.5,0.9886621315192744,0.6667125382262997,0.02767559822708268,0.011337868480725622,0.0,0.011481376574700629,0.06551514022411264,-2.1459759905003493,0.6100020166354819,0.011337868480725622,0.023573427028727667
3,T13,对应染色体三标准差Z值规则,0.2,3.0666666666666664,6.45,137.28333333333333,0.03007518796992481,0.9781498634366466,0.06122448979591837,0.04033613445378151,0.011596434862581502,0.5041125257032857,0.9352607709750566,0.31516234391430925,0.03552084684745603,0.045238095238095244,0.022222222222222223,,,,,,
3,T13,L1正则多因素逻辑回归,1.5,4.4,5.15,135.95,0.22556390977443608,0.9686498040612753,0.2542372881355932,0.2390438247011952,0.2056399130354696,0.5971068569178557,0.9350340136054421,0.6141512023905933,0.2489996653896529,0.045238095238095244,0.04013605442176871,0.03898225443245898,0.18648267145451541,-1.4199428734615718,0.4489930579738754,0.045238095238095244,0.04071417913574361
3,T18,对应染色体三标准差Z值规则,0.0,4.0928571428571425,11.25,131.65714285714284,0.0,0.9698500394632991,0.0,,-0.0487183607557668,0.48492501973164953,0.8956268221574343,0.6111010509471733,0.10488988118218481,0.07653061224489796,0.027842565597667637,,,,,,
3,T18,L1正则多因素逻辑回归,4.0,3.25,7.25,132.5,0.35555555555555557,0.9760589318600368,0.5517241379310345,0.4324324324324324,0.4071315553448381,0.6658072437077962,0.9285714285714286,0.8794249206674007,0.5847332229131813,0.07653061224489796,0.04931972789115646,0.04780023785694794,0.17743552685902056,0.058895319817323245,0.9713765257645742,0.07653061224489796,0.07132825144989273
3,T21,对应染色体三标准差Z值规则,0.0,0.0,3.583333333333333,143.41666666666666,0.0,1.0,,,,0.5,0.9756235827664398,0.4761030923456772,0.0338385216911237,0.02437641723356009,0.0,,,,,,
3,T21,L1正则多因素逻辑回归,1.0,0.0,2.583333333333333,143.41666666666666,0.27906976744186046,1.0,1.0,0.43636363636363634,0.5235760585976671,0.6395348837209303,0.9824263038548752,0.7221367473519413,0.31671673730604694,0.02437641723356009,0.006802721088435374,0.01901663550276583,0.09342889322469033,0.9989995214715593,1.3499705890076363,0.02437641723356009,0.027115450299212224
4,T13,对应染色体三标准差Z值规则,0.0,4.454761904761905,1.75,140.79523809523812,0.0,0.9693303827555119,0.0,,-0.019404249292086343,0.48466519137775593,0.9577907353417557,0.2952911744158364,0.009898282399499844,0.011904761904761904,0.03030450275348234,,,,,,
4,T13,L1正则多因素逻辑回归,0.0,4.95,1.75,140.3,0.0,0.9659208261617901,0.0,,-0.020490046040533224,0.48296041308089505,0.9544217687074831,0.6997295303663635,0.05662438644316607,0.011904761904761904,0.0336734693877551,0.013981445165474027,0.07322022905958983,-2.2055040577557974,0.6237087791115452,0.011904761904761904,0.035391849774317294
