特征,外层拟合次数,非零比例,正系数比例,负系数比例,标准化系数中位数,标准化系数2.5%分位,标准化系数97.5%分位,正则强度倒数中位数
孕周数,147,1.0,1.0,0.0,0.338749321692911,0.09588423304956113,0.38260747422197855,21.54434690031882
孕妇年龄,147,0.9795918367346939,0.0,0.9795918367346939,-0.4082041191511122,-0.46796136789660414,-0.0006032002183643632,21.54434690031882
孕妇体质指数,147,0.9931972789115646,0.0,0.9931972789115646,-0.2756649968852413,-0.3079715619070684,-0.040451029562286155,21.54434690031882
原始读段数_对数,147,0.06802721088435375,0.047619047619047616,0.02040816326530612,0.0,0.0,0.002556273103544449,21.54434690031882
参考基因组比对比例,147,0.8979591836734694,0.8979591836734694,0.0,0.15211082419362854,0.0,0.18810634370861368,21.54434690031882
重复读段比例,147,0.8979591836734694,0.0,0.8979591836734694,-0.16947799636671854,-0.20408040086099846,0.0,21.54434690031882
唯一比对读段数_对数,147,0.7891156462585034,0.0,0.7891156462585034,-0.013973697041472263,-0.045938403654741986,0.0,21.54434690031882
总GC含量,147,0.8979591836734694,0.0,0.8979591836734694,-0.15067282171834662,-0.19797031038743207,0.0,21.54434690031882
13号染色体Z值,147,0.5918367346938775,0.013605442176870748,0.5782312925170068,-0.032875949928534334,-0.07714805421267192,0.0,21.54434690031882
18号染色体Z值,147,0.8979591836734694,0.8979591836734694,0.0,0.2044044182843748,0.0,0.24587425437381685,21.54434690031882
21号染色体Z值,147,0.9863945578231292,0.9863945578231292,0.0,0.2188128811610357,0.0028012952560792868,0.2601618210566477,21.54434690031882
X染色体Z值,147,1.0,0.0,1.0,-0.44014866235001016,-0.472037671104852,-0.1802575475718082,21.54434690031882
X染色体浓度,147,1.0,0.0,1.0,-0.8883641137653435,-0.9595531006101844,-0.7740402323521276,21.54434690031882
13号染色体GC含量,147,0.9931972789115646,0.9931972789115646,0.0,3.2204413380618275,0.1683412391825424,3.4596539396485557,21.54434690031882
18号染色体GC含量,147,0.564625850340136,0.564625850340136,0.0,0.9304577293992394,0.0,1.1747387247275352,21.54434690031882
21号染色体GC含量,147,0.8979591836734694,0.0,0.8979591836734694,-4.009615204492057,-4.191284874425872,0.0,21.54434690031882
过滤读段比例,147,1.0,1.0,0.0,0.3045782136723638,0.20529154629388055,0.3296422975548004,21.54434690031882
