异常类型,参数,标准化模型估计值,原变换尺度估计值,非零标志,优势尺度倍数
T13,截距,-2.893898202768381,-13.614438815316763,1.0,
T13,孕周数,0.0,0.0,0.0,1.0
T13,孕妇年龄,0.0,0.0,0.0,1.0
T13,孕妇体质指数,0.0,0.0,0.0,1.0
T13,原始读段数_对数,0.0,0.0,0.0,1.0
T13,参考基因组比对比例,0.0,0.0,0.0,1.0
T13,重复读段比例,0.0,0.0,0.0,1.0
T13,唯一比对读段数_对数,0.0,0.0,0.0,1.0
T13,总GC含量,0.0,0.0,0.0,1.0
T13,13号染色体Z值,0.0,0.0,0.0,1.0
T13,18号染色体Z值,0.0,0.0,0.0,1.0
T13,21号染色体Z值,0.03596404533422947,0.03199578622082922,1.0,1.0366185745464982
T13,X染色体Z值,-0.34167418590773496,-0.26293848405725395,1.0,0.7105796838722256
T13,X染色体浓度,-0.2515185964129096,-13.986332833051454,1.0,0.7776189965513598
T13,13号染色体GC含量,0.11675987317630578,26.63132554849512,1.0,1.1238495308687027
T13,18号染色体GC含量,0.0,0.0,0.0,1.0
T13,21号染色体GC含量,0.0,0.0,0.0,1.0
T13,过滤读段比例,0.262360004271966,27.91342024354948,1.0,1.2999944617576145
T13,正则强度倒数,0.3593813663804626,,,
T13,训练内MCC参考阈值,0.06951885773010831,,,
T18,截距,-4.010460902876076,-49.05200536726251,1.0,
T18,孕周数,0.3345982448594125,0.07663997631572174,1.0,1.3973788682901789
T18,孕妇年龄,-0.35573201655910325,-0.08262374485192757,1.0,0.7006603604527882
T18,孕妇体质指数,-0.11121767713202274,-0.037708822193728404,1.0,0.8947439624298805
T18,原始读段数_对数,0.0,0.0,0.0,1.0
T18,参考基因组比对比例,0.3567119446513701,20.13580008578617,1.0,1.4286242877102464
T18,重复读段比例,-0.12497153749709013,-37.29045403438338,1.0,0.8825220210127181
T18,唯一比对读段数_对数,-0.009143866878241874,-0.0441984232745925,1.0,0.9908978111430038
T18,总GC含量,-0.45910634086388064,-103.72693386303007,1.0,0.6318480500592959
T18,13号染色体Z值,0.2485995429718926,0.18701332611426685,1.0,1.282228452847688
T18,18号染色体Z值,0.40557110546721714,0.31606293578082867,1.0,1.500159004465457
T18,21号染色体Z值,-0.018070708056089457,-0.01607679298722701,1.0,0.9820915881160984
T18,X染色体Z值,-0.8440697823942361,-0.6495615945689515,1.0,0.429957125934693
T18,X染色体浓度,-0.9453734486602016,-52.56990096583016,1.0,0.3885344461367632
T18,13号染色体GC含量,5.527602949459056,1260.7704140581313,1.0,251.54023313745338
T18,18号染色体GC含量,0.0,0.0,0.0,1.0
T18,21号染色体GC含量,-5.056994753903554,-1003.2607828019134,1.0,0.006364658164565089
T18,过滤读段比例,-0.42723630248369804,-45.455199955574855,1.0,0.6523093916849635
T18,正则强度倒数,21.54434690031882,,,
T18,训练内MCC参考阈值,0.2818236851918354,,,
T21,截距,-3.162992292979586,-3.7606619429976913,1.0,
T21,孕周数,0.0,0.0,0.0,1.0
T21,孕妇年龄,0.0,0.0,0.0,1.0
T21,孕妇体质指数,0.0,0.0,0.0,1.0
T21,原始读段数_对数,0.0,0.0,0.0,1.0
T21,参考基因组比对比例,0.0,0.0,0.0,1.0
T21,重复读段比例,0.0,0.0,0.0,1.0
T21,唯一比对读段数_对数,0.0,0.0,0.0,1.0
T21,总GC含量,0.0,0.0,0.0,1.0
T21,13号染色体Z值,0.0,0.0,0.0,1.0
T21,18号染色体Z值,0.0,0.0,0.0,1.0
T21,21号染色体Z值,0.0,0.0,0.0,1.0
T21,X染色体Z值,0.0,0.0,0.0,1.0
T21,X染色体浓度,0.0,0.0,0.0,1.0
T21,13号染色体GC含量,0.0,0.0,0.0,1.0
T21,18号染色体GC含量,0.0,0.0,0.0,1.0
T21,21号染色体GC含量,0.0,0.0,0.0,1.0
T21,过滤读段比例,0.238100469903222,25.33236151995828,1.0,1.2688366663182484
T21,正则强度倒数,0.3593813663804626,,,
T21,训练内MCC参考阈值,0.4483195996290771,,,
