自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
1,-0.3338170524299999,-0.4518665366030532,0.08257669887748692
2,-0.2101719963991288,-0.36440889554443745,0.03732552663143818
3,-0.2766854365422795,-0.30687955958979396,0.04119080567725619
4,-0.39107452617889654,-0.35165502604550575,0.06572656584377295
5,-0.37902019240346263,-0.41499808202993904,0.07562454028369864
6,-0.3061568798083584,-0.4520609689081232,0.06949976186343693
7,-0.3293913877015666,-0.30589932207410453,0.04745866263397991
8,-0.2367527825132754,-0.28754321993659593,0.022410786030129304
9,-0.30844029605819234,-0.2834514826323947,0.04224447834858347
10,-0.35366634001006664,-0.3054462684092314,0.06508006557247947
11,-0.2834403402383483,-0.28348114494387366,0.040547886488244145
12,-0.3163754625626606,-0.2962925886848227,0.03278931374617411
13,-0.2399980782472528,-0.2264821172196928,0.02220848924943225
14,-0.2268539916750306,-0.2763561477736129,0.02654049655163576
15,-0.3624864406047641,-0.405486564477655,0.0825809221226132
16,-0.3021409120891481,-0.33398463918030014,0.04911188096832003
17,-0.23528464278517622,-0.34662454328045855,0.028888718823147475
18,-0.34519174570633193,-0.3432275201223005,0.060919465397163086
19,-0.28224513818331914,-0.3623084558691111,0.04926901297374531
20,-0.36385311541344945,-0.3317136643922107,0.057940867821760056
21,-0.2972238333743602,-0.3733974713501136,0.07245217823550154
22,-0.24455205752509107,-0.34160672294582495,0.045496602636192374
23,-0.34943476138343127,-0.3365939472634252,0.07718614370290139
24,-0.27271724846561607,-0.3407547179538736,0.05023967957071579
25,-0.36177086666499936,-0.3385200395576731,0.062471406744251945
26,-0.36967826661974423,-0.3130184966557814,0.07135331488253438
27,-0.3616730366721512,-0.3514081210470514,0.07643872847850958
28,-0.23385213390957754,-0.308721444582144,0.03492617105257784
29,-0.27673033688193616,-0.29379229397023043,0.036539643432825064
30,-0.28687070262633885,-0.2606252893896407,0.0401870653820004
31,-0.30620588152581907,-0.2651553974286599,0.051427091055952445
32,-0.29758834726185407,-0.3839436860149175,0.052495301073888834
33,-0.3715640562050948,-0.32383174140668425,0.05730861144299093
34,-0.3388441924189336,-0.3533727057126021,0.048998626081747376
35,-0.31355826008376864,-0.3628072628058719,0.06317525656079881
36,-0.43382644655181213,-0.36662201599904093,0.07116465070976422
37,-0.3243740139379872,-0.20017912005261296,0.01620912768497912
38,-0.32756143638846413,-0.2998589954729924,0.04719124107848771
39,-0.369414914487186,-0.31466622509418357,0.059624707713869296
40,-0.32071398415067814,-0.35410095999440516,0.05362028087835036
41,-0.36927296824586425,-0.4101026993724947,0.0675233912165456
42,-0.4120027753443883,-0.43499926425269975,0.0837995799681357
43,-0.3483579629733944,-0.3278873046075796,0.07261069832900852
44,-0.3180937449759911,-0.2972923276733187,0.05127756144123752
45,-0.27890809862087107,-0.3420507344453432,0.05543882875414097
46,-0.2937147092601372,-0.3044459322632031,0.028516630804796772
47,-0.3298508894932624,-0.34438037603615346,0.05410034107886802
48,-0.3016020410503681,-0.2666235860505015,0.039393667962778545
49,-0.2541120030379739,-0.322855440984926,0.04475446123213417
50,-0.27358978845377546,-0.3024476399868336,0.045034118895641795
51,-0.42782934575708365,-0.3472078775253219,0.09329157226204177
52,-0.32233766498345057,-0.4430509973339009,0.07198440753077717
53,-0.33099379144521873,-0.3363775110052397,0.06723248421612404
54,-0.25192437702431647,-0.21259090721864404,0.012582149663862813
55,-0.2813562054151719,-0.3049428766572421,0.03537078857281717
56,-0.330232501997765,-0.34205983066281825,0.05450184762110927
57,-0.35531325419775345,-0.4872607583788411,0.09758563305430062
58,-0.3343578366969764,-0.29780354033097134,0.050958461799682275
59,-0.21759227570924355,-0.3681907456790842,0.061053750058167267
60,-0.3339024668446617,-0.4215582609287329,0.06945846401911318
61,-0.2831060709392013,-0.3098139652858827,0.03136310814294191
62,-0.2541202797688895,-0.39181228559231535,0.03864097723341414
63,-0.2647083903324996,-0.3118042147671679,0.032945791278740755
64,-0.39310686134663797,-0.424984214755855,0.09031441546007352
65,-0.2850462103553647,-0.3437181339765747,0.05933331855248436
66,-0.2692926760201494,-0.2872941937844933,0.0310742432460413
