自助序号,路线,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,ROC曲线下面积,PR曲线下面积,实际异常比例,预测异常比例,布里尔分数,对数损失,校准截距,校准斜率,校准实际异常比例,校准平均预测概率
1,三标准差Z值规则基准,0.2,7.947619047619049,18.866666666666667,119.98571428571428,0.01048951048951049,0.9378768703938063,0.024547048509643482,0.014698162729658794,-0.0758175573922617,0.4741831904416584,0.8175898931000972,0.57492096990208,0.16015632037017552,0.12970521541950114,0.05542597991577583,,,,,,
1,L1正则多因素逻辑回归,4.75,3.75,14.316666666666666,124.18333333333332,0.24912587412587414,0.9706878582595102,0.5588235294117647,0.34461910519951633,0.316409646741603,0.6099068661926922,0.8770975056689343,0.8059984407203012,0.4763469182735841,0.12970521541950114,0.05782312925170068,0.09195087195362715,0.3149342920998739,0.11101115724375984,0.8747604867446137,0.12970521541950114,0.10251019622597676
1,贝叶斯信息准则剪枝决策树,4.316666666666666,8.269047619047619,14.75,119.66428571428571,0.22639860139860138,0.9353644011017642,0.34298146046159667,0.272754626147134,0.19424363456927157,0.5808815012501828,0.8434078393262067,0.35413190411724804,0.14252986584358418,0.12970521541950114,0.08561710398445092,0.11716301741825967,0.3975109909773608,-0.8941643676218478,0.4448449647191357,0.12970521541950114,0.10934024450223867
2,三标准差Z值规则基准,0.8,5.526190476190477,15.899999999999999,124.77380952380953,0.04790419161676647,0.957588714687717,0.1264584117425668,0.06948609244131941,0.008589242774666305,0.5027464531522418,0.854243602202786,0.5197282043011155,0.13692697100106593,0.11360544217687074,0.043035309361839975,,,,,,
2,L1正则多因素逻辑回归,2.4,2.9,14.299999999999999,127.4,0.1437125748502994,0.9777436684574059,0.4528301886792453,0.21818181818181814,0.2067413879618112,0.5607281216538527,0.8829931972789117,0.7556344753025838,0.34788696533338653,0.11360544217687074,0.03605442176870748,0.0896511785791885,0.31844575306052086,-0.39032929519818754,0.685001472930873,0.11360544217687074,0.09786615950978579
2,贝叶斯信息准则剪枝决策树,4.216666666666668,9.376190476190475,12.483333333333334,120.92380952380952,0.25249500998003993,0.9280415159156524,0.31021194605009644,0.27839346066179366,0.19776553412322237,0.5902682629478462,0.8512957563977972,0.3912255797581463,0.13771496893425772,0.11360544217687074,0.09246841593780368,0.10368460826823594,0.35577127969195904,-0.9185167287386746,0.5071230432887479,0.11360544217687074,0.1098693821942276
3,三标准差Z值规则基准,0.0,6.147619047619047,17.3,123.55238095238096,0.0,0.9526012409589896,0.0,,-0.07629998296008289,0.4763006204794948,0.840492387431163,0.5949425732295048,0.17502041887657951,0.11768707482993197,0.04182053773890508,,,,,,
3,L1正则多因素逻辑回归,5.983333333333333,5.116666666666667,11.316666666666666,124.58333333333331,0.34585741811175336,0.9605499871498329,0.5390390390390389,0.4213615023474178,0.37369826280974544,0.6532037026307931,0.8882086167800453,0.8240949545638891,0.5181861236475117,0.11768707482993197,0.07551020408163266,0.07808401898082477,0.27900046448973875,0.027250498246933097,0.978191770590985,0.11768707482993197,0.1127127731170717
3,贝叶斯信息准则剪枝决策树,7.983333333333333,7.785714285714285,9.316666666666666,121.91428571428571,0.4614643545279383,0.9399713624848552,0.5062660425788917,0.482828137374901,0.41801144945875995,0.7007178585063968,0.8836572724327825,0.5172153949740952,0.2415006871052322,0.11768707482993197,0.10727243278263686,0.09282958392638607,0.32019127016699495,-0.30277103377373293,0.8166475399315632,0.11768707482993197,0.11506756308191815
4,三标准差Z值规则基准,1.0,6.826190476190478,16.8,122.37380952380951,0.056179775280898875,0.9471657083886186,0.12777608761788864,0.07804515469664591,0.004861230430738802,0.5016727418347587,0.839277615808228,0.5344481137944372,0.14614860233929342,0.12108843537414964,0.053239390994493034,,,,,,
4,L1正则多因素逻辑回归,6.466666666666667,4.116666666666667,11.333333333333334,125.08333333333333,0.36329588014981273,0.9681372549019608,0.611023622047244,0.4556664709336465,0.418304203438871,0.6657165675258867,0.8948979591836733,0.80814989114116,0.5483595316289165,0.12108843537414964,0.07199546485260772,0.07881330298589148,0.29582599910505897,-0.20869462095372635,0.8097517761273862,0.12108843537414964,0.11350584077525243
4,贝叶斯信息准则剪枝决策树,6.033333333333334,12.326190476190474,11.766666666666666,116.87380952380953,0.33895131086142327,0.9045960489458943,0.3286214498767995,0.33370645947191685,0.24032843481104788,0.6217736799036588,0.8361030126336249,0.45649486509565423,0.15728500545001994,0.12108843537414964,0.12489471979267897,0.10662919909475885,0.3615525649488319,-0.7728496342340008,0.5699561050746205,0.12108843537414964,0.12148703531782855
5,三标准差Z值规则基准,1.0,5.566666666666667,14.733333333333333,125.7,0.0635593220338983,0.9575926866429659,0.15228426395939085,0.08968609865470852,0.03165422088259631,0.5105760043384321,0.861904761904762,0.6105003615360116,0.17022351242194123,0.10702947845804989,0.04467120181405895,,,,,,
5,L1正则多因素逻辑回归,5.4,2.15,10.333333333333332,129.11666666666667,0.3432203389830509,0.983621127475876,0.7152317880794702,0.4638511095204009,0.45776440094722937,0.6634207332294635,0.9150793650793652,0.8383264218264457,0.5603015868235508,0.10702947845804989,0.05136054421768707,0.06767491451004874,0.24404826752748815,0.15099268223750084,1.123191739456618,0.10702947845804989,0.11056602534651992
5,贝叶斯信息准则剪枝决策树,3.983333333333333,7.883333333333334,11.75,123.38333333333333,0.2531779661016949,0.9399441340782123,0.33567415730337075,0.2886473429951691,0.21916639278874658,0.5965610500899536,0.8664399092970521,0.42332833979650664,0.18128139442008817,0.10702947845804989,0.08072562358276644,0.09028959551876747,0.3196728078111868,-0.5400007434915672,0.7106363971693745,0.10702947845804989,0.10464184168509649
6,三标准差Z值规则基准,0.2,6.809523809523809,13.683333333333334,126.30714285714285,0.01440576230492197,0.9488454452771469,0.028532608695652176,0.019145299145299145,-0.05043275139194715,0.4816256037910344,0.8605928085519922,0.6250011782781045,0.15308204574859807,0.09444444444444444,0.04768383543893748,,,,,,
6,L1正则多因素逻辑回归,2.0,1.95,11.883333333333335,131.16666666666669,0.14405762304921968,0.9853511956930012,0.5063291139240506,0.22429906542056074,0.23403698066050277,0.5647044093711104,0.9058956916099773,0.8224389328250932,0.4205747124281868,0.09444444444444444,0.02687074829931973,0.06946702884956647,0.24784794581194008,0.10738236221739847,1.0332266488653246,0.09444444444444444,0.09123620218910151
6,贝叶斯信息准则剪枝决策树,3.5333333333333337,8.852380952380953,10.35,124.2642857142857,0.25450180072028816,0.9334990788602909,0.2852748942714341,0.2690111483730627,0.19793239031255247,0.5940004397902896,0.8693715581470682,0.37037796391697,0.11441783261982844,0.09444444444444444,0.08425655976676386,0.09019899554615031,0.317347707675377,-1.1495207434349575,0.48667841849596327,0.09444444444444444,0.10423974310087544
7,三标准差Z值规则基准,0.6000000000000001,8.097619047619046,17.849999999999998,120.45238095238095,0.032520325203252036,0.9370080198551611,0.06898439638653164,0.04420277144360639,-0.042787336065250474,0.48476417252920656,0.8234855847100745,0.5374615867005972,0.13782401437700384,0.12551020408163266,0.05916747651441529,,,,,,
7,L1正则多因素逻辑回归,5.633333333333334,3.9166666666666665,12.816666666666665,124.63333333333333,0.3053297199638663,0.9695319590302088,0.5898778359511344,0.4023809523809524,0.3694659014566993,0.6374308394970376,0.8861678004535146,0.8085432352412711,0.5499626156903968,0.12551020408163266,0.06496598639455783,0.08138531914216415,0.29572152445861666,0.11342557875535836,0.9245739055112232,0.12551020408163266,0.10633991602884336
7,贝叶斯信息准则剪枝决策树,7.333333333333334,10.135714285714286,11.116666666666665,118.41428571428571,0.39747064137308047,0.9211535255875978,0.4197901049475262,0.4083255998939414,0.3262056996942616,0.6593120834803391,0.8554259799157757,0.5026439131671666,0.22057122798883022,0.12551020408163266,0.11883705863297697,0.10025101373768819,0.34318018709259657,-0.33924388738527744,0.762762286812823,0.12551020408163266,0.11758226320542084
8,三标准差Z值规则基准,0.8,7.5500000000000025,18.733333333333334,119.91666666666666,0.040955631399317405,0.9407688284518828,0.0958083832335329,0.0573819485953377,-0.026801156957866137,0.49086222992560014,0.8212018140589569,0.5329849334899397,0.13988349748167964,0.1328798185941043,0.05680272108843537,,,,,,
8,L1正则多因素逻辑回归,4.15,5.3,15.383333333333335,122.16666666666666,0.21245733788395904,0.9584205020920502,0.43915343915343924,0.2863714778608396,0.2364972194726004,0.5854389199880046,0.8592970521541949,0.7445697284618791,0.40762456217831317,0.1328798185941043,0.06428571428571428,0.10164423366244832,0.3591963556078924,-0.18253757169042395,0.674151217220013,0.1328798185941043,0.09611946450995006
8,贝叶斯信息准则剪枝决策树,5.633333333333334,9.216666666666667,13.900000000000002,118.25,0.2883959044368601,0.9276935146443515,0.3793490460157127,0.32767813863305867,0.2434014642394467,0.6080447095406057,0.8427437641723357,0.45702650852528315,0.17087177966503778,0.1328798185941043,0.10102040816326531,0.11261485987604514,0.38160714163802173,-0.5323967593349939,0.6109943973689538,0.1328798185941043,0.11281005763882901
9,三标准差Z值规则基准,0.6000000000000001,6.992857142857145,14.166666666666666,125.24047619047619,0.04063205417607224,0.9471172890633441,0.07902163687676386,0.05366840592056225,-0.016638951388723677,0.4938746716197082,0.8560576611597019,0.5427413008334563,0.11473715014226059,0.10045351473922902,0.051652089407191445,,,,,,
9,L1正则多因素逻辑回归,5.65,5.2,9.116666666666665,127.03333333333333,0.38261851015801357,0.9606755734812201,0.5207373271889401,0.4411190631099544,0.39468837543476654,0.6716470418196169,0.9026077097505669,0.80292555065911,0.4849396031946258,0.10045351473922902,0.07380952380952381,0.07077854832058869,0.25980935791387577,-0.3638313876389439,0.911113682273586,0.10045351473922902,0.11815240145543682
9,贝叶斯信息准则剪枝决策树,5.983333333333334,11.226190476190476,8.783333333333333,121.00714285714287,0.4051918735891648,0.9151031726025424,0.3476757055893747,0.37423678332092336,0.2994719087796838,0.6601475230958536,0.8638807904114028,0.5194740680267153,0.17649930713643347,0.10045351473922902,0.1170715905409783,0.08703355330575757,0.30205383626245924,-0.6924209510351671,0.7258850250677039,0.10045351473922902,0.11855219919342452
10,三标准差Z值规则基准,0.8,9.995238095238095,16.75,119.45476190476191,0.045584045584045586,0.9227868822306828,0.07410674900749889,0.05644687106257876,-0.0393154980604733,0.4841854639073642,0.8180596047942987,0.4219633123685884,0.103603972290861,0.11938775510204079,0.0734369938451571,,,,,,
10,L1正则多因素逻辑回归,6.6499999999999995,3.0,10.9,126.45000000000002,0.37891737891737887,0.9768250289687138,0.689119170984456,0.48897058823529405,0.4657439686788948,0.6778712039430463,0.9054421768707485,0.8422724166683656,0.5671112377144846,0.11938775510204079,0.06564625850340135,0.07466003224499931,0.2649753198781582,0.07323094484343713,1.005359581967797,0.11938775510204079,0.11447994998733928
10,贝叶斯信息准则剪枝决策树,6.416666666666666,8.838095238095237,11.133333333333333,120.61190476190475,0.365622032288699,0.9317257996284648,0.4206336819104105,0.391203367687618,0.31614344675463085,0.6486739159585819,0.8641399416909621,0.5368261482591342,0.21344489770441794,0.11938775510204079,0.10377389050858438,0.09596460226020719,0.3300553854506377,-0.35265898648154786,0.7793709306080093,0.11938775510204079,0.11527577085945104
11,三标准差Z值规则基准,0.6000000000000001,8.25952380952381,16.05,122.0904761904762,0.036036036036036036,0.9366357973952911,0.06772373018005913,0.04704125443345156,-0.03639212944463453,0.48633591671566356,0.8346290897311306,0.5452782682037254,0.12875490356335134,0.11326530612244896,0.06026886945254292,,,,,,
11,L1正则多因素逻辑回归,5.999999999999999,4.266666666666667,10.650000000000002,126.08333333333333,0.3603603603603603,0.9672676128372331,0.5844155844155844,0.44582043343653244,0.407372473756931,0.6638139865987966,0.8985260770975055,0.8235143284369726,0.5486738068923975,0.11326530612244896,0.06984126984126984,0.07400547316519746,0.2670089460774114,-0.05319296373687606,0.9257711318377547,0.11326530612244896,0.10810753624699
11,贝叶斯信息准则剪枝决策树,7.483333333333333,9.65952380952381,9.166666666666666,120.69047619047619,0.4494494494494495,0.9258954828575082,0.4365277777777778,0.44289438455576696,0.3706113100722947,0.6876724661534789,0.8719306770327179,0.5400331834930989,0.26523346665404923,0.11326530612244896,0.11661807580174927,0.08801576665783384,0.3075568325656555,-0.18040550774745862,0.8967640491952805,0.11326530612244896,0.1128053485576894
12,三标准差Z值规则基准,0.6000000000000001,10.097619047619048,13.716666666666665,122.58571428571427,0.041909196740395824,0.9238968543076066,0.05608724682839974,0.04797258709308967,-0.03902861297268114,0.4829030255240012,0.8379980563654031,0.4543091219565106,0.08912006114979028,0.0973922902494331,0.07277291869128603,,,,,,
12,L1正则多因素逻辑回归,4.800000000000001,6.783333333333333,9.516666666666666,125.9,0.33527357392316653,0.9488757693757066,0.41438848920863314,0.3706563706563707,0.3126964591067065,0.6420746716494365,0.8891156462585035,0.7714821211914653,0.4815256385322369,0.0973922902494331,0.07879818594104307,0.0692640809970776,0.26933345218883487,-0.5299225754549916,0.7841394652230186,0.0973922902494331,0.1107353137468753
12,贝叶斯信息准则剪枝决策树,5.666666666666666,12.235714285714284,8.649999999999999,120.44761904761904,0.39580908032596046,0.9077825829490193,0.3165314536507514,0.3517587939698492,0.2752355144540166,0.6517958316374899,0.8579203109815354,0.4751895325066426,0.16515017596957632,0.0973922902494331,0.12178490443796566,0.08664297431649005,0.302122765935009,-0.8057799182150562,0.6799802712973316,0.0973922902494331,0.11749100858131377
13,三标准差Z值规则基准,0.0,7.849999999999999,13.95,125.2,0.0,0.940999624201428,0.0,,-0.07690824256860627,0.470499812100714,0.8517006802721089,0.453247799123915,0.08499392820669907,0.09489795918367347,0.05340136054421769,,,,,,
13,L1正则多因素逻辑回归,3.9833333333333334,5.5,9.966666666666665,127.55,0.2855436081242533,0.958662157083803,0.42003514938488573,0.33997155049786626,0.2913347430735148,0.6221028826040281,0.8947845804988662,0.7264139787404953,0.3920524852108812,0.09489795918367347,0.06451247165532879,0.0748964451680885,0.28209425740202676,-0.724117006593276,0.6703773621703109,0.09489795918367347,0.1075464290111169
13,贝叶斯信息准则剪枝决策树,6.3500000000000005,14.054761904761905,7.6,118.9952380952381,0.45519713261648753,0.8943648109375278,0.31120186697782964,0.3696721879548132,0.29630858726685405,0.6747809717770077,0.8526886945254292,0.4999318615208025,0.1520544069636284,0.09489795918367347,0.13880790411402658,0.08798177336957984,0.304302746651459,-0.9655968557219577,0.6324648921467572,0.09489795918367347,0.12449866922442322
14,三标准差Z值规则基准,1.0,6.766666666666667,16.233333333333334,123.0,0.058027079303675046,0.947855124582584,0.12875536480686695,0.08,0.008458967356621388,0.5029411019431296,0.8435374149659864,0.5381719351310161,0.1300492884713943,0.11723356009070296,0.0528344671201814,,,,,,
14,L1正则多因素逻辑回归,5.233333333333333,6.2,12.0,123.56666666666668,0.3036750483558994,0.9522219368096584,0.4577259475218659,0.36511627906976746,0.3073749679665278,0.627948492582779,0.8761904761904763,0.7695106143781071,0.4063270371378513,0.11723356009070296,0.07777777777777778,0.08684616249258985,0.3145073780808111,-0.4321255819093997,0.7256236667512447,0.11723356009070296,0.11616846488242112
14,贝叶斯信息准则剪枝决策树,4.883333333333334,10.838095238095237,12.35,118.92857142857143,0.28336557059961315,0.9164801291695717,0.310616386490989,0.2963658695180984,0.20802623158610156,0.5999228498845924,0.8422578555231617,0.4931544666044942,0.1794730454628207,0.11723356009070296,0.10694849368318757,0.09995770754010298,0.34104787463244685,-0.6066480380796475,0.66755166503326,0.11723356009070296,0.11801471331205803
15,三标准差Z值规则基准,0.6000000000000001,7.597619047619047,17.03333333333333,121.76904761904763,0.03402646502835539,0.9412706592557146,0.07319198373511474,0.04645589455249332,-0.03497708335113578,0.487648562142035,0.8324425008098477,0.5252083434373531,0.13144409895688175,0.1199546485260771,0.055766115970197594,,,,,,
15,L1正则多因素逻辑回归,5.1499999999999995,2.5666666666666664,12.483333333333333,126.8,0.2920604914933837,0.9801597526410718,0.6673866090712743,0.4063116370808678,0.3965832573986964,0.6361101220672277,0.8976190476190475,0.8217868712757046,0.5091646485274429,0.1199546485260771,0.05249433106575964,0.08108491747704726,0.28562950369060136,0.08082327668637632,0.9256305466476623,0.1199546485260771,0.10384814096197824
15,贝叶斯信息准则剪枝决策树,5.05,10.985714285714286,12.583333333333332,118.38095238095238,0.28638941398865786,0.9150807965546435,0.3149220489977728,0.29997878509299203,0.20997551195556682,0.6007351052716506,0.8396663427275672,0.4163003067980496,0.1466782079226788,0.1199546485260771,0.10908649173955295,0.10722215936758069,0.36821042581321456,-0.8659406492404088,0.5097572230217056,0.1199546485260771,0.11377628223748759
16,三标准差Z值规则基准,0.2,7.273809523809525,14.75,124.77619047619046,0.013377926421404684,0.9449162474531653,0.026760114686205795,0.01783818220428966,-0.05738358095331408,0.47914708693728497,0.850178166504697,0.5427862301905403,0.11868753411087282,0.10170068027210884,0.05084224165856819,,,,,,
16,L1正则多因素逻辑回归,3.983333333333333,3.5,10.966666666666665,128.55,0.26644370122630995,0.9734948882998864,0.532293986636971,0.3551263001485884,0.3299356996523565,0.6199692947630981,0.9015873015873016,0.7874044365985826,0.46663847034993494,0.10170068027210884,0.050907029478458043,0.07274177146254517,0.26590579785461216,-0.25756229414866805,0.8725484591080008,0.10170068027210884,0.10493846743310795
16,贝叶斯信息准则剪枝决策树,4.233333333333333,9.454761904761904,10.716666666666665,122.5952380952381,0.2831661092530658,0.9284001370332305,0.30927117759610373,0.29564349850349186,0.22005447451916946,0.6057831231431482,0.862779397473275,0.4534197974182825,0.16449755826078682,0.10170068027210884,0.09311629413670229,0.09002514094096113,0.3150176788229322,-0.8086553857000938,0.6401552130657913,0.10170068027210884,0.11448574743999362
17,三标准差Z值规则基准,0.6000000000000001,8.80952380952381,14.0,123.5904761904762,0.04109589041095891,0.9334628111063157,0.06376518218623482,0.049980166600555334,-0.03108720549878181,0.4872793507586373,0.8448331713637836,0.5176195862886257,0.10684696730214868,0.09931972789115646,0.06401036605118238,,,,,,
17,L1正则多因素逻辑回归,2.7333333333333334,2.45,11.866666666666665,129.95,0.18721461187214616,0.9814954682779456,0.5273311897106109,0.27632687447346255,0.27358560717501074,0.5843550400750459,0.9026077097505667,0.7099092292492326,0.34991136254561306,0.09931972789115646,0.03526077097505669,0.08039389874004682,0.30181195793234333,-0.6931994406244015,0.6146733690740509,0.09931972789115646,0.09737939122202792
17,贝叶斯信息准则剪枝决策树,2.9,10.176190476190476,11.7,122.22380952380954,0.19863013698630136,0.923140555315782,0.2217771303714494,0.20956641431520992,0.12793626840398123,0.5608853461510417,0.8511823777129901,0.36328468596877406,0.11462671976043684,0.09931972789115646,0.08895367670877875,0.09521025290397861,0.3307006767554908,-1.1601459587202863,0.4684795938158255,0.09931972789115646,0.1112213648111189
18,三标准差Z值规则基准,0.2,6.952380952380953,15.333333333333334,124.5142857142857,0.012875536480686695,0.9471167777455809,0.027962716378162448,0.017632241813602016,-0.05716506872580367,0.4799961571131338,0.8483965014577259,0.5816484818731401,0.12856642654306344,0.1056689342403628,0.048655652737285386,,,,,,
18,L1正则多因素逻辑回归,5.583333333333333,2.833333333333333,9.950000000000001,128.63333333333333,0.35944206008583685,0.9784482758620688,0.6633663366336634,0.4662491301322198,0.4470852704313811,0.6689451679739529,0.9130385487528345,0.8842090928424056,0.5818052989330155,0.1056689342403628,0.0572562358276644,0.065658982325301,0.22790750032996393,0.5831750376658424,1.3994683526572775,0.1056689342403628,0.10747048267846404
18,贝叶斯信息准则剪枝决策树,6.533333333333333,6.402380952380952,9.0,125.06428571428572,0.4206008583690987,0.951300347725297,0.5050616602245537,0.458978004516183,0.4035673164267193,0.6859506030471979,0.8952218982831228,0.540981572720105,0.23661355322668354,0.1056689342403628,0.0879980563654033,0.08180143325158098,0.288826965727127,-0.12622540242847954,0.9402877420915486,0.1056689342403628,0.10672956913059456
19,三标准差Z值规则基准,0.2,6.371428571428572,15.7,124.72857142857141,0.01257861635220126,0.9514002397297591,0.03043478260869565,0.017800381436745075,-0.05413769658963017,0.48198942804098016,0.8498542274052477,0.5366184503887252,0.12570600848117403,0.10816326530612244,0.04470359572400388,,,,,,
19,L1正则多因素逻辑回归,3.75,4.083333333333333,12.15,127.01666666666667,0.2358490566037736,0.9688532926519197,0.4787234042553192,0.3160112359550562,0.2830621614034829,0.6023511746278466,0.8895691609977323,0.7758179896616637,0.4286866500475095,0.10816326530612244,0.05328798185941043,0.0805518807245439,0.2870724232990724,-0.22021029842538065,0.8489322619883893,0.10816326530612244,0.10529971140453515
19,贝叶斯信息准则剪枝决策树,4.616666666666666,11.05952380952381,11.283333333333333,120.0404761904762,0.29035639412997905,0.9156405506519922,0.294501822600243,0.29241441713165434,0.2072853862172183,0.6029984723909856,0.8480077745383868,0.4135095337925526,0.14644151186419035,0.10816326530612244,0.1066407515387107,0.09731414695170308,0.3363414362728177,-0.8543403984512624,0.5737651525695098,0.10816326530612244,0.11265255935003902
20,三标准差Z值规则基准,0.6000000000000001,7.330952380952383,16.483333333333334,122.58571428571427,0.0351219512195122,0.9435718867405846,0.07565295706994894,0.04797258709308966,-0.030223590497513633,0.4893469189800484,0.8379980563654031,0.5338271964741091,0.12930738707538417,0.11621315192743763,0.053952057013281506,,,,,,
