目标,路线,外层留出孕妇,训练内阈值,阈值来源,正则强度倒数,训练内对数损失,剪枝复杂度,叶节点数
任一T13_T18_T21异常,三标准差Z值规则基准,固定领域规则,3.0,文献三标准差规则,,,,
任一T13_T18_T21异常,L1正则多因素逻辑回归,B001,0.41030184575041234,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.30687229199238913,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B001,0.35509578544061304,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450826,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B002,0.4128961694681115,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.30734290818468896,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B002,0.35509578544061304,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B003,0.33966376333142334,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.30624645041326704,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B003,0.35509578544061304,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B004,0.6288419938024422,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2839521136453025,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B004,0.38820058997050155,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007679515408532248,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B005,0.45929035151781067,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3110818863699427,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B005,0.3915593705293277,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B006,0.2496805193422264,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3238101317791885,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B006,0.3969834087481146,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B007,0.41825466609635337,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.29439737310797837,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B007,0.37403789224393136,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.008882643751914263,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B008,0.3130441953536063,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3232589627567947,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B008,0.3787439613526571,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450826,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B009,0.325226806220984,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3237848115466671,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B009,0.2940320232896652,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B010,0.32139200348823027,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3218458889658318,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B010,0.39793281653746776,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007579709348369608,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B011,0.4038970533061673,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2919179287296113,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B011,0.3867822318526545,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B012,0.3770846310271982,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3198289101293186,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B012,0.3693045563549161,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B013,0.37404265193587155,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.32028662041032574,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B013,0.3693045563549161,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B014,0.24675814029716775,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.3214005828295056,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B014,0.2105057605936341,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B015,0.18946767478928425,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.28129303800659244,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B015,0.2105057605936341,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B016,0.19485643418837323,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.28320004389403614,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B016,0.38040089086859696,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.0076795154085318035,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B017,0.4839203925666357,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.26868839316739607,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B017,0.33821376281112747,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007645147511760174,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B018,0.2617437306765287,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3078404947851962,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B018,0.3704735376044569,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.013472381917912495,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B019,0.3411593727708833,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2763995196863799,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B019,0.3723905723905724,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012167937712347393,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B020,0.3205110898606673,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.30781039600265603,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B020,0.3448950551405195,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.011319879676805034,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B021,0.5071301417573038,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.29208214966093327,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B021,0.4063076664989095,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B022,0.2155678971756391,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2873941148196239,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B022,0.5159010600706715,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B023,0.4733146829029317,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.308393024855687,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B023,0.36606189967982933,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007690335800065132,4.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B024,0.4900829849367242,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.31108164771932006,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B024,0.3553878034339847,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007630966020695226,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B025,0.38865246710102397,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.24721945573256893,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B025,0.39886953864955704,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B026,0.40483806403933364,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.28770394296317503,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B026,0.34260162601626015,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B027,0.4275115788886518,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.27784966202345124,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B027,0.3697801387044415,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B028,0.4813680950231956,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2800104081652284,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B028,0.350859950859951,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B029,0.18675942240410598,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2921263995424804,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B029,0.42000000000000004,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B030,0.44882637174666373,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2772165346127493,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B030,0.38391413027495963,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B031,0.4866241939906277,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2883771934189871,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B031,0.3570000000000001,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.011896754060819886,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B032,0.40582154635454903,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2833212071456294,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B032,0.4148395297108357,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B033,0.30309874638131623,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2816668541765356,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B033,0.31302479984378057,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007783128514292255,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B034,0.38151818461326215,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2825712370975416,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B034,0.31302479984378057,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012167937712347393,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B035,0.5063076409421551,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2804740213649258,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B035,0.36971375807940904,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007579709348369976,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B036,0.49630791544134734,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.28182722402272126,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B036,0.29252099199375126,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B037,0.40861464058183933,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.28455831231818635,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B037,0.4019890920757139,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012282688852992017,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B038,0.44989870839831103,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.28859503385336305,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B038,0.38834038551951117,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B039,0.41793460915920844,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2904619842097728,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B039,0.32291187739463606,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.0075857986527054985,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B040,0.32228736075817926,外层训练集内5折分层分组交叉拟合概率的MCC最大点,0.3593813663804626,0.32451683397990394,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B040,0.3746326372776489,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B041,0.48043275445316197,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2862253112635171,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B041,0.3623529411764706,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B042,0.38198850919651944,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.31425595935513545,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B042,0.37994286573447605,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
