异常类型,路线,统计量,有效次数,中位数,2.5%分位,97.5%分位
T13,对应染色体三标准差Z值规则,灵敏度,400,0.030303223543666102,0.0,0.11778807413376297
T13,对应染色体三标准差Z值规则,特异度,400,0.9753814463698106,0.9560302539771145,0.9880226195839044
T13,对应染色体三标准差Z值规则,精确率,400,0.04858299595141701,0.0,0.19331154974659906
T13,对应染色体三标准差Z值规则,F1分数,249,0.05222256760957414,0.031004617888582463,0.14200694380800127
T13,对应染色体三标准差Z值规则,马修斯相关系数,400,0.007728308059556764,-0.04009891597259823,0.10447848673152892
T13,对应染色体三标准差Z值规则,ROC曲线下面积,400,0.48141185622569793,0.2984686983588785,0.639352823429869
T13,对应染色体三标准差Z值规则,PR曲线下面积,400,0.056664104619104386,0.01786854079029606,0.1639750225201957
T13,L1正则多因素逻辑回归,灵敏度,400,0.16754385964912283,0.0,0.37951157687651327
T13,L1正则多因素逻辑回归,特异度,400,0.9767042948881255,0.957375138382139,0.9892988036957038
T13,L1正则多因素逻辑回归,精确率,400,0.2302163039517705,0.0,0.41944789081885847
T13,L1正则多因素逻辑回归,F1分数,388,0.19976283760497726,0.05412293317663407,0.3670636904880959
T13,L1正则多因素逻辑回归,马修斯相关系数,400,0.16837803195112525,-0.016508391206626696,0.349800224943397
T13,L1正则多因素逻辑回归,ROC曲线下面积,400,0.6347012173496949,0.4910939605005473,0.7834165145245495
T13,L1正则多因素逻辑回归,PR曲线下面积,400,0.23285159197437783,0.08987695352464282,0.4191566102089029
T18,对应染色体三标准差Z值规则,灵敏度,400,0.0,0.0,0.0
T18,对应染色体三标准差Z值规则,特异度,400,0.9565537180739996,0.9371141720303539,0.9749180974261514
T18,对应染色体三标准差Z值规则,精确率,400,0.0,0.0,0.0
T18,对应染色体三标准差Z值规则,F1分数,0,,,
T18,对应染色体三标准差Z值规则,马修斯相关系数,400,-0.05840189852036378,-0.07812617271959658,-0.0416557497018224
T18,对应染色体三标准差Z值规则,ROC曲线下面积,400,0.5743715996156462,0.4809869562340264,0.672815354006608
T18,对应染色体三标准差Z值规则,PR曲线下面积,400,0.09594628078488529,0.05678981849969667,0.14239231814619674
T18,L1正则多因素逻辑回归,灵敏度,400,0.40200412614205716,0.22069872958257714,0.5534709288388131
T18,L1正则多因素逻辑回归,特异度,400,0.9748055058316956,0.9599584006749059,0.9889133895834235
T18,L1正则多因素逻辑回归,精确率,400,0.5684210526315789,0.3332089552238806,0.7684022144870927
T18,L1正则多因素逻辑回归,F1分数,400,0.47122245779968464,0.2517878501731193,0.6245886448708216
T18,L1正则多因素逻辑回归,马修斯相关系数,400,0.441474288458748,0.22334037117594752,0.6050880547572837
T18,L1正则多因素逻辑回归,ROC曲线下面积,400,0.875529898545151,0.8036750517704002,0.923783867518152
T18,L1正则多因素逻辑回归,PR曲线下面积,400,0.5972967791862254,0.3773709737440736,0.7398411129012455
T21,对应染色体三标准差Z值规则,灵敏度,400,0.0,0.0,0.0
T21,对应染色体三标准差Z值规则,特异度,400,1.0,1.0,1.0
T21,对应染色体三标准差Z值规则,精确率,0,,,
T21,对应染色体三标准差Z值规则,F1分数,0,,,
T21,对应染色体三标准差Z值规则,马修斯相关系数,0,,,
T21,对应染色体三标准差Z值规则,ROC曲线下面积,400,0.4996601223408881,0.3323191825074619,0.6587516858007102
T21,对应染色体三标准差Z值规则,PR曲线下面积,400,0.02892010342298562,0.014236201454622933,0.04860480074534368
T21,L1正则多因素逻辑回归,灵敏度,400,0.15620915032679739,0.0,0.4445833333333332
T21,L1正则多因素逻辑回归,特异度,400,0.9965277777777778,0.9894176779991966,1.0
T21,L1正则多因素逻辑回归,精确率,339,0.5384615384615384,0.3333333333333333,1.0
T21,L1正则多因素逻辑回归,F1分数,339,0.2641509433962264,0.11,0.5224148606811146
T21,L1正则多因素逻辑回归,马修斯相关系数,339,0.31347313733027676,0.13885164269070874,0.5509190724604351
T21,L1正则多因素逻辑回归,ROC曲线下面积,400,0.5565990741014333,0.359775344955796,0.7473880790332357
T21,L1正则多因素逻辑回归,PR曲线下面积,400,0.1904732470896362,0.019370122325213422,0.46978045460387596
