目标,路线,外层留出孕妇,训练内阈值,外层参数
T13,L1正则多因素逻辑回归,B001,0.11947157652050959,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B002,0.11947157652050959,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B003,0.11885524950410005,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B004,0.06621755144428569,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B005,0.664420873380171,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B006,0.6728507461008789,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B007,0.4227938500000895,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B008,0.09860348008934795,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B009,0.0976728972015938,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B010,0.09394288345072228,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B011,0.09511984328897731,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B012,0.09402053735579163,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B013,0.09353851252976357,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B014,0.4009975720610798,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B015,0.11373505710713665,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B016,0.1141334659288806,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B017,0.7553087010259522,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B018,0.06609374271980531,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B019,0.07538853776529769,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B020,0.05538845241675928,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B021,0.058639640222957194,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B022,0.059013761198149245,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B023,0.059013761198149245,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B024,0.6948012076509797,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B025,0.13184543609133503,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B026,0.514534997639952,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B027,0.655849536168557,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B028,0.655849536168557,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B029,0.5232338750257376,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B030,0.42400291613867375,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B031,0.6991943999972505,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B032,0.26835501890845803,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B033,0.5317240079470988,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B034,0.6723406248991626,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B035,0.6814756543391838,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B036,0.6814756543391838,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B037,0.18669885955400745,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B038,0.40668639071659984,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B039,0.4418696276479529,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B040,0.6346042715606297,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B041,0.6352354354186395,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B042,0.6132370047055519,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B043,0.6097194706332623,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B044,0.6097112461911276,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B045,0.3128270592039431,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B046,0.6252626635747036,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B047,0.6263086474725313,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B048,0.6263086474725313,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B049,0.6123489097107535,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B050,0.5806893100515401,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B051,0.6136491096488532,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B052,0.6093148350264228,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B053,0.3181367132941384,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B054,0.6183630576614575,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B055,0.43317459304293693,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B056,0.4637188385708083,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B057,0.40300214314759697,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B058,0.7607249597189312,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B059,0.34892039846016665,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B060,0.34857217286868686,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B061,0.34857217286868686,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B062,0.3503119082257094,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B063,0.3480141202559673,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B064,0.3469808786979462,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B065,0.3469808786979462,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B066,0.29498459685796663,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B067,0.3214960048448776,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B068,0.33981509983895636,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B069,0.32772532192905834,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B070,0.46796637488933185,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B071,0.33524103953681644,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B072,0.33532932384635544,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B073,0.38622814615571766,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B074,0.34785017972778465,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B075,0.6067031169873448,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B076,0.6190701241105827,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B077,0.3112089563054525,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B078,0.45055304080924513,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B079,0.38932660156322957,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B080,0.2911696547887476,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B081,0.43086596961413576,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B082,0.2850193706640977,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B083,0.16872062684353717,正则强度倒数=0.35938136638
T13,L1正则多因素逻辑回归,B084,0.248122482670914,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B085,0.248122482670914,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B086,0.2478268690933722,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B087,0.2099912734779812,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B088,0.2636426434063659,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B089,0.2636426434063659,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B090,0.26284976832025075,正则强度倒数=21.5443469003
T13,L1正则多因素逻辑回归,B091,0.7943619392469863,正则强度倒数=2.78255940221
T13,L1正则多因素逻辑回归,B092,0.599258019035254,正则强度倒数=10000
T13,L1正则多因素逻辑回归,B093,0.2401700182375716,正则强度倒数=21.5443469003
